vg	V(vg)	V(n002)
-2.500000000000000e+000	-2.500000e+000	-8.476980e+000
-2.400000000000000e+000	-2.400000e+000	-8.476968e+000
-2.300000000000000e+000	-2.300000e+000	-8.476501e+000
-2.200000000000000e+000	-2.200000e+000	-8.474901e+000
-2.100000000000000e+000	-2.100000e+000	-8.472266e+000
-2.000000000000000e+000	-2.000000e+000	-8.468468e+000
-1.900000000000000e+000	-1.900000e+000	-8.463244e+000
-1.799999999999999e+000	-1.800000e+000	-8.455968e+000
-1.699999999999999e+000	-1.700000e+000	-8.444893e+000
-1.599999999999999e+000	-1.600000e+000	-8.424816e+000
-1.499999999999999e+000	-1.500000e+000	-8.311988e+000
-1.399999999999999e+000	-1.400000e+000	-7.763174e+000
-1.299999999999999e+000	-1.300000e+000	-7.208654e+000
-1.199999999999999e+000	-1.200000e+000	-6.654138e+000
-1.099999999999999e+000	-1.100000e+000	-6.099621e+000
-9.999999999999988e-001	-1.000000e+000	-5.545105e+000
-8.999999999999988e-001	-9.000000e-001	-4.990588e+000
-7.999999999999988e-001	-8.000000e-001	-4.436071e+000
-6.999999999999989e-001	-7.000000e-001	-3.881555e+000
-5.999999999999989e-001	-6.000000e-001	-3.327038e+000
-4.999999999999989e-001	-5.000000e-001	-2.772521e+000
-3.999999999999989e-001	-4.000000e-001	-2.218005e+000
-2.999999999999989e-001	-3.000000e-001	-1.663488e+000
-1.999999999999989e-001	-2.000000e-001	-1.108972e+000
-9.999999999999892e-002	-1.000000e-001	-5.544553e-001
1.082467449009528e-015	1.082467e-015	6.123652e-005
1.000000000000011e-001	1.000000e-001	5.545777e-001
2.000000000000011e-001	2.000000e-001	1.109094e+000
3.000000000000011e-001	3.000000e-001	1.663611e+000
4.000000000000011e-001	4.000000e-001	2.218127e+000
5.000000000000011e-001	5.000000e-001	2.772644e+000
6.000000000000011e-001	6.000000e-001	3.327160e+000
7.000000000000011e-001	7.000000e-001	3.881676e+000
8.000000000000010e-001	8.000000e-001	4.436193e+000
9.000000000000010e-001	9.000000e-001	4.990709e+000
1.000000000000001e+000	1.000000e+000	5.545226e+000
1.100000000000001e+000	1.100000e+000	6.099742e+000
1.200000000000001e+000	1.200000e+000	6.654258e+000
1.300000000000001e+000	1.300000e+000	7.208775e+000
1.400000000000002e+000	1.400000e+000	7.763291e+000
1.500000000000002e+000	1.500000e+000	8.312051e+000
1.600000000000002e+000	1.600000e+000	8.424606e+000
1.700000000000002e+000	1.700000e+000	8.444702e+000
1.800000000000002e+000	1.800000e+000	8.455700e+000
1.900000000000002e+000	1.900000e+000	8.463219e+000
2.000000000000002e+000	2.000000e+000	8.468297e+000
2.100000000000002e+000	2.100000e+000	8.471984e+000
2.200000000000002e+000	2.200000e+000	8.474555e+000
2.300000000000002e+000	2.300000e+000	8.476086e+000
2.400000000000002e+000	2.400000e+000	8.476489e+000
2.500000000000000e+000	2.500000e+000	8.476467e+000
