vg	V(out)
-2.500000000000000e+000	-8.477078e+000
-2.400000000000000e+000	-8.477068e+000
-2.300000000000000e+000	-8.477057e+000
-2.200000000000000e+000	-8.477046e+000
-2.100000000000000e+000	-8.477035e+000
-2.000000000000000e+000	-8.477024e+000
-1.900000000000000e+000	-8.477013e+000
-1.799999999999999e+000	-8.477002e+000
-1.699999999999999e+000	-8.476991e+000
-1.599999999999999e+000	-8.476980e+000
-1.499999999999999e+000	-8.476969e+000
-1.399999999999999e+000	-8.476958e+000
-1.299999999999999e+000	-8.476947e+000
-1.199999999999999e+000	-8.476936e+000
-1.099999999999999e+000	-8.476925e+000
-9.999999999999988e-001	-8.476914e+000
-8.999999999999988e-001	-8.476903e+000
-7.999999999999988e-001	-8.476892e+000
-6.999999999999989e-001	-8.476881e+000
-5.999999999999989e-001	-8.476870e+000
-4.999999999999989e-001	-8.476859e+000
-3.999999999999989e-001	-8.476848e+000
-2.999999999999989e-001	-8.476837e+000
-1.999999999999989e-001	-8.476826e+000
-9.999999999999892e-002	-8.476815e+000
1.082467449009528e-015	-8.476804e+000
1.000000000000011e-001	-8.476792e+000
2.000000000000011e-001	-8.476782e+000
3.000000000000011e-001	-8.476768e+000
4.000000000000011e-001	-8.476187e+000
5.000000000000011e-001	-8.474737e+000
6.000000000000011e-001	-8.472483e+000
7.000000000000011e-001	-8.469338e+000
8.000000000000010e-001	-8.465144e+000
9.000000000000010e-001	-8.459537e+000
1.000000000000001e+000	-8.451758e+000
1.100000000000001e+000	-8.439588e+000
1.200000000000001e+000	-8.414495e+000
1.300000000000001e+000	8.476664e+000
1.400000000000002e+000	8.476674e+000
1.500000000000002e+000	8.476664e+000
1.600000000000002e+000	8.476664e+000
1.700000000000002e+000	8.476664e+000
1.800000000000002e+000	8.476664e+000
1.900000000000002e+000	8.476664e+000
2.000000000000002e+000	8.476664e+000
2.100000000000002e+000	8.476664e+000
2.200000000000002e+000	8.476664e+000
2.300000000000002e+000	8.476664e+000
2.400000000000002e+000	8.476664e+000
2.500000000000000e+000	8.476664e+000
