time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+001	8.454711e+000
9.791790144717910e-007	-9.960833e+000	8.455754e+000
1.958358028943582e-006	-9.921666e+000	8.456925e+000
2.937537043415373e-006	-9.882499e+000	8.458226e+000
3.916716057887164e-006	-9.843331e+000	8.459657e+000
4.895895072358955e-006	-9.804164e+000	8.461216e+000
5.875074086830746e-006	-9.764997e+000	8.462905e+000
6.854253101302535e-006	-9.725830e+000	8.464723e+000
1.079535427666971e-005	-9.568186e+000	8.469796e+000
1.665472927666971e-005	-9.333811e+000	8.475038e+000
2.165539531934282e-005	-9.133784e+000	8.477241e+000
2.679384698518152e-005	-8.928246e+000	8.477760e+000
3.216282605276969e-005	-8.713487e+000	8.477765e+000
2.431003260527698e-004	-2.759870e-001	8.474680e+000
2.600129932528233e-004	4.005197e-001	8.413998e+000
2.612497448063566e-004	4.499898e-001	8.370727e+000
2.614213285273456e-004	4.568531e-001	8.321558e+000
2.616902524710194e-004	4.676101e-001	8.050529e+000
2.619998338239882e-004	4.799933e-001	7.423966e+000
2.622884408137432e-004	4.915376e-001	6.440193e+000
2.627800613190111e-004	5.112024e-001	3.802942e+000
2.632655339429471e-004	5.306213e-001	-4.840372e-002
2.636658821606969e-004	5.466353e-001	-4.275326e+000
2.639630380422410e-004	5.585215e-001	-7.041493e+000
2.642879496473354e-004	5.715179e-001	-8.400465e+000
2.644191504705288e-004	5.767660e-001	-8.439185e+000
2.654737932700538e-004	6.189517e-001	-8.454665e+000
2.665284360695789e-004	6.611374e-001	-8.466765e+000
2.675830788691040e-004	7.033231e-001	-8.475483e+000
2.686377216686290e-004	7.455088e-001	-8.480821e+000
2.696923644681540e-004	7.876945e-001	-8.482778e+000
2.707470072676791e-004	8.298802e-001	-8.481355e+000
2.718016500672042e-004	8.720660e-001	-8.476550e+000
5.001677740793296e-004	9.993289e+000	-8.476714e+000
7.435648177648063e-004	2.574074e-001	-8.474587e+000
7.460333331742858e-004	1.586667e-001	-8.479910e+000
7.485018485837653e-004	5.992613e-002	-8.479705e+000
7.509703639932447e-004	-3.881449e-002	-8.473975e+000
7.534388794027242e-004	-1.375551e-001	-8.462718e+000
7.559073948122037e-004	-2.362957e-001	-8.445935e+000
7.583759102216831e-004	-3.350363e-001	-8.423625e+000
7.608444256311626e-004	-4.337769e-001	-8.395789e+000
7.611842654657772e-004	-4.473705e-001	-8.377337e+000
7.614481452223110e-004	-4.579257e-001	-8.324362e+000
7.616433784010153e-004	-4.657350e-001	-8.172956e+000
7.618528343768440e-004	-4.741133e-001	-7.826145e+000
7.620629188704526e-004	-4.825167e-001	-7.292723e+000
7.623847702657993e-004	-4.953907e-001	-6.110238e+000
7.627830442464025e-004	-5.113217e-001	-3.940080e+000
7.632194531512074e-004	-5.287780e-001	-4.871278e-001
7.636427304598036e-004	-5.457091e-001	3.914069e+000
7.639310864265750e-004	-5.572434e-001	6.670539e+000
7.642558313617721e-004	-5.702332e-001	8.366805e+000
7.642996815070378e-004	-5.719872e-001	8.430756e+000
7.653684329846643e-004	-6.147372e-001	8.450206e+000
7.664371844622908e-004	-6.574873e-001	8.465356e+000
7.675059359399173e-004	-7.002374e-001	8.476206e+000
7.685746874175438e-004	-7.429874e-001	8.482756e+000
7.696434388951703e-004	-7.857375e-001	8.485005e+000
7.707121903727969e-004	-8.284875e-001	8.482955e+000
7.717809418504233e-004	-8.712376e-001	8.476604e+000
9.654059772494765e-004	-8.616239e+000	8.477746e+000
9.712653522494765e-004	-8.850614e+000	8.477763e+000
9.771247272494764e-004	-9.084989e+000	8.477657e+000
9.829841022494764e-004	-9.319364e+000	8.476751e+000
9.877518820359786e-004	-9.510076e+000	8.474243e+000
9.927229123024637e-004	-9.708917e+000	8.469502e+000
9.956178150260227e-004	-9.824713e+000	8.465788e+000
1.000000002000000e-003	-1.000000e+001	8.458121e+000
1.001446075741013e-003	-9.942157e+000	8.458627e+000
1.002892149482026e-003	-9.884315e+000	8.459487e+000
1.004338223223039e-003	-9.826472e+000	8.460702e+000
1.005784296964052e-003	-9.768629e+000	8.462272e+000
1.007230370705065e-003	-9.710786e+000	8.464197e+000
1.008676444446078e-003	-9.652943e+000	8.466476e+000
1.010122518187091e-003	-9.595099e+000	8.469110e+000
1.015624567476818e-003	-9.375017e+000	8.474384e+000
1.020475965087947e-003	-9.180962e+000	8.476935e+000
1.025622760669820e-003	-8.975090e+000	8.477718e+000
