time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+001	-8.471088e+000
1.193727912597130e-006	-9.952251e+000	-8.471484e+000
2.387455825194260e-006	-9.904502e+000	-8.471930e+000
3.581183737791391e-006	-9.856753e+000	-8.472427e+000
4.774911650388521e-006	-9.809004e+000	-8.472975e+000
5.968639562985651e-006	-9.761254e+000	-8.473574e+000
7.162367475582782e-006	-9.713505e+000	-8.474224e+000
8.356095388179908e-006	-9.665756e+000	-8.474925e+000
1.341086376116238e-005	-9.463566e+000	-8.476721e+000
1.927023876116238e-005	-9.229191e+000	-8.477612e+000
2.512961376116237e-005	-8.994816e+000	-8.477757e+000
3.098898876116237e-005	-8.760441e+000	-8.477739e+000
2.822062198113034e-004	1.288249e+000	-8.474674e+000
2.934913881410799e-004	1.739655e+000	-8.459030e+000
2.993507631410799e-004	1.974030e+000	-8.441364e+000
3.000831850160799e-004	2.003327e+000	-8.437481e+000
3.015480287660799e-004	2.061921e+000	-8.426206e+000
3.019142397035799e-004	2.076570e+000	-8.422275e+000
3.026466615785798e-004	2.105866e+000	-8.412151e+000
3.027336131056653e-004	2.109344e+000	-8.410683e+000
3.029075161598361e-004	2.116301e+000	-8.406977e+000
3.032553222681779e-004	2.130213e+000	-8.396725e+000
3.037016707002964e-004	2.148067e+000	-8.377981e+000
3.037854183242926e-004	2.151417e+000	-8.371580e+000
3.039529135722851e-004	2.158117e+000	-8.348863e+000
3.040415699172707e-004	2.161663e+000	-8.322558e+000
3.041114984418214e-004	2.164460e+000	-8.270254e+000
3.041776127582446e-004	2.167104e+000	-8.172485e+000
3.042526739700988e-004	2.170107e+000	-7.983050e+000
3.044027963938073e-004	2.176112e+000	-7.323290e+000
3.046031011713081e-004	2.184124e+000	-5.936026e+000
3.046913900576853e-004	2.187655e+000	-5.068722e+000
3.047633111334909e-004	2.190532e+000	-4.204695e+000
3.049272405958722e-004	2.197090e+000	-2.109980e+000
3.052007064372691e-004	2.208028e+000	1.405251e+000
3.055040526558804e-004	2.220162e+000	4.800458e+000
3.059366670600514e-004	2.237467e+000	8.391261e+000
3.059449029629669e-004	2.237796e+000	8.420869e+000
3.069101747488357e-004	2.276407e+000	8.444466e+000
3.078754465347046e-004	2.315018e+000	8.462840e+000
3.088407183205733e-004	2.353629e+000	8.475993e+000
3.098059901064421e-004	2.392240e+000	8.483923e+000
3.107712618923109e-004	2.430850e+000	8.486632e+000
3.117365336781797e-004	2.469461e+000	8.484118e+000
3.127018054640485e-004	2.508072e+000	8.476382e+000
5.000026233599895e-004	9.999895e+000	8.476665e+000
7.802686701170957e-004	-1.210747e+000	8.475411e+000
7.908330104225799e-004	-1.633320e+000	8.464990e+000
7.966923854225799e-004	-1.867695e+000	8.446556e+000
8.025517604225799e-004	-2.102070e+000	8.413017e+000
8.026922020867345e-004	-2.107688e+000	8.411186e+000
8.029730854150439e-004	-2.118923e+000	8.404587e+000
8.035348520716625e-004	-2.141394e+000	8.386999e+000
8.036409710507152e-004	-2.145639e+000	8.381495e+000
8.038532090088207e-004	-2.154128e+000	8.363534e+000
8.039630243485986e-004	-2.158521e+000	8.346866e+000
8.040467592424877e-004	-2.161870e+000	8.318904e+000
8.041116154910624e-004	-2.164464e+000	8.266910e+000
8.041783265406941e-004	-2.167133e+000	8.164899e+000
8.042518241992547e-004	-2.170073e+000	7.977792e+000
8.043988195163759e-004	-2.175953e+000	7.331782e+000
8.045969514384714e-004	-2.183878e+000	5.961884e+000
8.046873638930891e-004	-2.187495e+000	5.074760e+000
8.047592574056538e-004	-2.190370e+000	4.209830e+000
8.049243560994049e-004	-2.196974e+000	2.089611e+000
8.051949371038822e-004	-2.207797e+000	-1.418379e+000
8.054856156776860e-004	-2.219424e+000	-4.719764e+000
8.059149538324301e-004	-2.236598e+000	-8.389864e+000
8.059230530062117e-004	-2.236922e+000	-8.420225e+000
8.066395753242077e-004	-2.265583e+000	-8.442589e+000
8.073560976422039e-004	-2.294244e+000	-8.460167e+000
8.080726199601999e-004	-2.322905e+000	-8.472957e+000
8.087891422781960e-004	-2.351566e+000	-8.480961e+000
8.095056645961921e-004	-2.380227e+000	-8.484177e+000
8.102221869141882e-004	-2.408887e+000	-8.482607e+000
8.109387092321843e-004	-2.437548e+000	-8.476251e+000
9.687376174920802e-004	-8.749505e+000	-8.477736e+000
9.745969924920802e-004	-8.983880e+000	-8.477748e+000
9.804563674920802e-004	-9.218255e+000	-8.477724e+000
9.863157424920802e-004	-9.452630e+000	-8.477324e+000
9.921751174920802e-004	-9.687005e+000	-8.476106e+000
9.941406270000000e-004	-9.765625e+000	-8.475344e+000
9.949776805714286e-004	-9.799107e+000	-8.474934e+000
9.958147341428572e-004	-9.832589e+000	-8.474505e+000
9.966517877142858e-004	-9.866071e+000	-8.474057e+000
9.974888412857142e-004	-9.899554e+000	-8.473589e+000
9.983258948571428e-004	-9.933036e+000	-8.473102e+000
9.991629484285714e-004	-9.966518e+000	-8.472596e+000
1.000000002000000e-003	-1.000000e+001	-8.472070e+000
1.000720752240361e-003	-9.971170e+000	-8.471950e+000
1.001441502480722e-003	-9.942340e+000	-8.471931e+000
1.002162252721083e-003	-9.913511e+000	-8.472014e+000
1.002883002961444e-003	-9.884681e+000	-8.472198e+000
1.003603753201805e-003	-9.855850e+000	-8.472484e+000
1.004324503442166e-003	-9.827020e+000	-8.472871e+000
1.005045253682527e-003	-9.798190e+000	-8.473360e+000
1.007875231261387e-003	-9.684991e+000	-8.474754e+000
1.012528124456515e-003	-9.498875e+000	-8.476495e+000
1.018387499456515e-003	-9.264500e+000	-8.477535e+000
1.024246874456515e-003	-9.030125e+000	-8.477754e+000
1.030106249456515e-003	-8.795750e+000	-8.477741e+000
1.282059374456515e-003	1.282375e+000	-8.474592e+000
1.293643871814545e-003	1.745755e+000	-8.458620e+000
1.299503246814545e-003	1.980130e+000	-8.440524e+000
1.300235668689545e-003	2.009427e+000	-8.436453e+000
1.301700512439546e-003	2.068020e+000	-8.424518e+000
1.302066723377046e-003	2.082669e+000	-8.420316e+000
1.302799145252046e-003	2.111966e+000	-8.409226e+000
1.302919023550451e-003	2.116761e+000	-8.406885e+000
1.303158780147263e-003	2.126351e+000	-8.400111e+000
1.303638293340887e-003	2.145532e+000	-8.382063e+000
1.303716804086415e-003	2.148672e+000	-8.377301e+000
1.303873825577473e-003	2.154953e+000	-8.362517e+000
1.303959619214943e-003	2.158385e+000	-8.348442e+000
1.304056467958259e-003	2.162259e+000	-8.314734e+000
1.304121032814708e-003	2.164841e+000	-8.260038e+000
1.304189756829639e-003	2.167590e+000	-8.149616e+000
1.304264101327468e-003	2.170564e+000	-7.952971e+000
1.304412790323124e-003	2.176512e+000	-7.272792e+000
1.304615558040297e-003	2.184622e+000	-5.823024e+000
1.304701823082836e-003	2.188073e+000	-4.956644e+000
1.304775266689439e-003	2.191010e+000	-4.064103e+000
