time	V(vc)	V(vout)
0.000000000000000e+000	1.309260e-005	1.313265e-005
1.146836875006556e-004	1.309253e-005	1.294012e-005
1.188829062506556e-004	1.309290e-005	1.399092e-005
1.221501363870378e-004	1.309163e-005	1.032412e-005
1.244078500515573e-004	1.601132e-005	8.455105e-003
1.251013150438537e-004	2.375872e-005	3.086315e-002
1.254067399501343e-004	3.502243e-005	6.344090e-002
1.255916936556830e-004	4.952817e-005	1.053928e-001
1.257599242351823e-004	7.280747e-005	1.727073e-001
1.259331814008344e-004	1.132968e-004	2.897305e-001
1.261155793707838e-004	1.851995e-004	4.972703e-001
1.262949498739512e-004	3.058143e-004	8.439050e-001
1.264795271833702e-004	5.174606e-004	1.444359e+000
1.266638703675499e-004	8.750408e-004	2.421060e+000
1.268531041513868e-004	1.438527e-003	3.869997e+000
1.269628057123485e-004	1.905718e-003	4.939084e+000
1.270839096968644e-004	2.587899e-003	6.263122e+000
1.272063253293379e-004	3.427434e-003	7.502990e+000
1.273174605544849e-004	4.298707e-003	8.175839e+000
1.274682958442319e-004	5.554016e-003	8.414347e+000
1.285104944286421e-004	1.435735e-002	8.441406e+000
1.295526930130522e-004	2.315557e-002	8.462404e+000
1.305948915974624e-004	3.194869e-002	8.477340e+000
1.316370901818726e-004	4.073669e-002	8.486214e+000
1.326792887662827e-004	4.951958e-002	8.489026e+000
1.337214873506929e-004	5.829735e-002	8.485777e+000
1.347636859351031e-004	6.707002e-002	8.476466e+000
1.583999122704495e-004	2.634030e-001	8.482466e+000
1.820361386057958e-004	4.552864e-001	8.483688e+000
2.056723649411422e-004	6.427202e-001	8.480131e+000
2.293085912764886e-004	8.257044e-001	8.471796e+000
2.529448176118350e-004	1.004239e+000	8.458683e+000
2.765810439471813e-004	1.178324e+000	8.440791e+000
3.002172702825277e-004	1.347960e+000	8.418121e+000
3.013651310483834e-004	1.356092e+000	8.422971e+000
3.025129918142391e-004	1.364202e+000	8.422536e+000
3.036608525800948e-004	1.372290e+000	8.416817e+000
3.048087133459505e-004	1.380356e+000	8.405814e+000
3.059565741118061e-004	1.388401e+000	8.389527e+000
3.071044348776619e-004	1.396424e+000	8.367955e+000
3.082522956435176e-004	1.404425e+000	8.341100e+000
3.086041720755796e-004	1.406860e+000	8.293089e+000
3.087154123654147e-004	1.407623e+000	8.247792e+000
3.088635624589126e-004	1.408628e+000	8.143926e+000
3.089989954520753e-004	1.409529e+000	7.992300e+000
3.091557113347668e-004	1.410536e+000	7.710104e+000
3.093318764820496e-004	1.411596e+000	7.190429e+000
3.095199218697825e-004	1.412583e+000	6.259154e+000
3.097435792656902e-004	1.413528e+000	4.620900e+000
3.098462491115482e-004	1.413830e+000	3.642293e+000
3.099587491327410e-004	1.414008e+000	2.418163e+000
3.100755150104550e-004	1.414050e+000	1.115951e+000
3.101846954301834e-004	1.413944e+000	-1.051774e-001
3.105568578197143e-004	1.412409e+000	-4.263258e+000
3.109243551939570e-004	1.409609e+000	-7.290550e+000
3.113328431388004e-004	1.405803e+000	-8.415157e+000
3.124782492900652e-004	1.394521e+000	-8.464241e+000
3.148491768662557e-004	1.371157e+000	-8.470401e+000
3.172201044424462e-004	1.347847e+000	-8.475107e+000
3.195910320186368e-004	1.324590e+000	-8.478361e+000
3.219619595948273e-004	1.301387e+000	-8.480161e+000
3.243328871710178e-004	1.278238e+000	-8.480509e+000
3.267038147472084e-004	1.255142e+000	-8.479403e+000
3.290747423233989e-004	1.232100e+000	-8.476845e+000
3.482711708948276e-004	1.047662e+000	-8.476845e+000
3.674675994662563e-004	8.665711e-001	-8.476845e+000
3.866640280376850e-004	6.888267e-001	-8.476845e+000
4.058604566091137e-004	5.144290e-001	-8.476845e+000
4.250568851805424e-004	3.433781e-001	-8.476845e+000
4.442533137519711e-004	1.756740e-001	-8.476845e+000
4.634497423233997e-004	1.131657e-002	-8.476845e+000
4.676489610733997e-004	-2.425240e-002	-8.476845e+000
4.802466173233998e-004	-1.300675e-001	-8.476845e+000
5.030423762519711e-004	-3.181249e-001	-8.483358e+000
5.258381351805424e-004	-5.020440e-001	-8.484600e+000
5.486338941091137e-004	-6.818246e-001	-8.480571e+000
