time	V(tr)	V(vc)
0.000000000000000e+000	0.000000e+000	6.309151e-001
1.999000000000000e-002	0.000000e+000	6.309151e-001
1.999054942209310e-002	-1.648266e-001	6.309151e-001
1.999164826627930e-002	-4.944799e-001	6.309150e-001
1.999217278659593e-002	-6.518360e-001	6.309149e-001
1.999266751053007e-002	-8.002532e-001	6.309146e-001
1.999320454629629e-002	-9.613639e-001	6.309142e-001
1.999370956395666e-002	-1.112869e+000	6.309134e-001
1.999419891194876e-002	-1.259674e+000	6.308994e-001
1.999477428534075e-002	-1.432286e+000	6.308065e-001
1.999549766557397e-002	-1.649300e+000	6.305169e-001
1.999603297065639e-002	-1.809891e+000	6.301817e-001
1.999604291039930e-002	-1.812873e+000	6.301740e-001
1.999647126744634e-002	-1.941380e+000	6.298181e-001
1.999689962449338e-002	-2.069887e+000	6.294641e-001
1.999732798154042e-002	-2.198394e+000	6.291121e-001
1.999775633858746e-002	-2.326901e+000	6.287620e-001
1.999818469563450e-002	-2.455409e+000	6.284139e-001
1.999861305268154e-002	-2.583916e+000	6.280676e-001
1.999904140972857e-002	-2.712423e+000	6.277233e-001
2.000000000000000e-002	-3.000000e+000	6.269572e-001
2.000222432043527e-002	-3.000000e+000	6.252319e-001
2.000444864087054e-002	-3.000000e+000	6.235472e-001
2.000667296130580e-002	-3.000000e+000	6.219032e-001
2.000889728174107e-002	-3.000000e+000	6.202998e-001
2.001112160217633e-002	-3.000000e+000	6.187372e-001
2.001334592261160e-002	-3.000000e+000	6.172152e-001
2.001557024304687e-002	-3.000000e+000	6.157338e-001
2.002673098850377e-002	-3.000000e+000	6.086670e-001
2.004905247941758e-002	-3.000000e+000	5.958398e-001
2.009369546124519e-002	-3.000000e+000	5.727434e-001
2.018298142490042e-002	-3.000000e+000	5.301083e-001
2.028161423740042e-002	-3.000000e+000	4.849963e-001
2.038024704990041e-002	-3.000000e+000	4.407528e-001
2.047887986240041e-002	-3.000000e+000	3.968546e-001
2.057751267490041e-002	-3.000000e+000	3.531952e-001
2.067614548740041e-002	-3.000000e+000	3.097547e-001
2.087341111240041e-002	-3.000000e+000	2.235156e-001
2.116930954990041e-002	-3.000000e+000	9.574161e-002
2.136657517490041e-002	-3.000000e+000	1.160316e-002
2.146520798740041e-002	-3.000000e+000	-3.015587e-002
2.166247361240040e-002	-3.000000e+000	-1.130587e-001
2.191610084454326e-002	-3.000000e+000	-2.184159e-001
2.216972807668611e-002	-3.000000e+000	-3.224840e-001
2.242335530882897e-002	-3.000000e+000	-4.252628e-001
2.267698254097182e-002	-3.000000e+000	-5.267525e-001
2.293060977311468e-002	-3.000000e+000	-6.269531e-001
2.318423700525753e-002	-3.000000e+000	-7.258644e-001
2.343786423740039e-002	-3.000000e+000	-8.234866e-001
2.399000000000000e-002	-3.000000e+000	-1.031771e+000
2.399025718930534e-002	-2.922843e+000	-1.031867e+000
2.399051437861068e-002	-2.845686e+000	-1.031962e+000
2.399077156791602e-002	-2.768530e+000	-1.032058e+000
2.399102875722136e-002	-2.691373e+000	-1.032153e+000
2.399128594652670e-002	-2.614216e+000	-1.032249e+000
2.399154313583204e-002	-2.537059e+000	-1.032344e+000
2.399180032513738e-002	-2.459903e+000	-1.032440e+000
2.399239803723826e-002	-2.280589e+000	-1.032652e+000
2.399301024437375e-002	-2.096927e+000	-1.032813e+000
2.399369749510188e-002	-1.890751e+000	-1.032842e+000
2.399434513235170e-002	-1.696460e+000	-1.032715e+000
2.399435781617179e-002	-1.692655e+000	-1.032710e+000
