time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.101069e-005
1.000000000000000e-012	0.000000e+000	1.101069e-005
2.000000000000000e-012	1.000000e+000	1.304620e-001
1.738211064463048e-009	1.000000e+000	1.294300e-001
3.474422128926095e-009	1.000000e+000	1.272909e-001
5.210633193389142e-009	1.000000e+000	1.240444e-001
6.946844257852190e-009	1.000000e+000	1.196907e-001
8.683055322315239e-009	1.000000e+000	1.142297e-001
1.041926638677829e-008	1.000000e+000	1.076615e-001
1.215547745124133e-008	1.000000e+000	9.998602e-002
1.801739458054702e-008	1.000000e+000	6.919958e-002
2.578732916181783e-008	1.000000e+000	1.722906e-002
3.606108775592973e-008	1.000000e+000	-6.568497e-002
4.963612396697473e-008	1.000000e+000	-1.912251e-001
6.559207818318718e-008	1.000000e+000	-3.529332e-001
8.492506449761245e-008	1.000000e+000	-5.602270e-001
1.084033828111603e-007	1.000000e+000	-8.198013e-001
3.467262371467213e-007	1.000000e+000	-3.511491e+000
5.549086821076431e-007	1.000000e+000	-5.776548e+000
8.124205159186308e-007	1.000000e+000	-8.225614e+000
8.500712642102078e-007	1.000000e+000	-8.393105e+000
1.377181740292286e-006	1.000000e+000	-8.444608e+000
3.671167953166206e-006	1.000000e+000	-8.472186e+000
1.755660015932723e-005	1.000000e+000	-8.477168e+000
3.144203236548826e-005	1.000000e+000	-8.478156e+000
4.532746457164929e-005	1.000000e+000	-8.475148e+000
5.921289677781032e-005	1.000000e+000	-8.468147e+000
7.309832898397136e-005	1.000000e+000	-8.457151e+000
8.698376119013237e-005	1.000000e+000	-8.442160e+000
1.008691933962934e-004	1.000000e+000	-8.423175e+000
1.113409261807623e-004	1.000000e+000	-7.877633e+000
1.163299696653241e-004	1.000000e+000	-6.466920e+000
1.191346841401791e-004	1.000000e+000	-4.592804e+000
1.222163202500278e-004	1.000000e+000	-1.658697e+000
1.242829103792372e-004	1.000000e+000	5.241885e-001
1.264932960225112e-004	1.000000e+000	2.838336e+000
1.286001685495259e-004	1.000000e+000	4.761084e+000
1.315545308802536e-004	1.000000e+000	6.778177e+000
1.340633140239113e-004	1.000000e+000	7.748619e+000
