time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.101069e-005
1.716606633837650e-008	3.433087e-005	1.450749e-005
3.433213267675299e-008	6.866207e-005	8.001856e-006
5.149819901512949e-008	1.029936e-004	-8.506228e-006
6.866426535350598e-008	1.373254e-004	-3.501676e-005
8.583033169188247e-008	1.716576e-004	-7.152973e-005
1.029963980302590e-007	2.059901e-004	-1.180451e-004
1.201624643686354e-007	2.403229e-004	-1.745630e-004
1.887102573527528e-007	3.774185e-004	-5.324732e-004
3.048681340123108e-007	6.097343e-004	-1.652099e-003
5.371838873314270e-007	1.074366e-003	-5.425992e-003
8.232052964325752e-007	1.646409e-003	-1.239925e-002
1.056090668919934e-006	2.112179e-003	-2.025878e-002
1.306589070278178e-006	2.613176e-003	-3.108440e-002
1.553787285213687e-006	3.107573e-003	-4.419537e-002
1.884969259582348e-006	3.769937e-003	-6.557786e-002
2.313494274575479e-006	4.626987e-003	-9.932368e-002
2.876363349686664e-006	5.752725e-003	-1.537488e-001
3.582739258137862e-006	7.165477e-003	-2.377501e-001
4.488244213290073e-006	8.976487e-003	-3.696682e-001
5.632823718136883e-006	1.126565e-002	-5.719171e-001
7.116277728387821e-006	1.423255e-002	-8.840635e-001
9.059836075978048e-006	1.811967e-002	-1.354094e+000
1.174665234017827e-005	2.349330e-002	-2.049071e+000
1.515469633597120e-005	3.030939e-002	-2.881091e+000
1.871996219938296e-005	3.743992e-002	-3.574155e+000
2.129099936419752e-005	4.258200e-002	-3.877163e+000
2.342827380630371e-005	4.685654e-002	-3.943161e+000
2.567442948863221e-005	5.134886e-002	-3.831455e+000
2.775460956689384e-005	5.550922e-002	-3.567079e+000
3.065849999910527e-005	6.131700e-002	-2.999199e+000
3.370081788400064e-005	6.740163e-002	-2.265071e+000
3.663822137778299e-005	7.327644e-002	-1.509671e+000
3.912602880417520e-005	7.825205e-002	-9.144630e-001
4.126130401707957e-005	8.252261e-002	-4.932836e-001
4.312083504905992e-005	8.624167e-002	-2.281891e-001
4.485029535403151e-005	8.970059e-002	-8.315744e-002
4.639194677503378e-005	9.278389e-002	-4.476848e-002
4.791571878544062e-005	9.583144e-002	-1.015474e-001
4.999487522855847e-005	9.998975e-002	-3.156785e-001
5.253214239611075e-005	1.050643e-001	-7.460285e-001
5.561539998012274e-005	1.112308e-001	-1.440927e+000
5.875812099345039e-005	1.175162e-001	-2.229507e+000
6.226714611645329e-005	1.245343e-001	-3.042725e+000
6.591080682116115e-005	1.318216e-001	-3.674572e+000
6.835751373674986e-005	1.367150e-001	-3.898089e+000
7.046296023360425e-005	1.409259e-001	-3.906642e+000
7.262440250254525e-005	1.452488e-001	-3.744660e+000
7.494905906435023e-005	1.498981e-001	-3.398325e+000
7.790569951305750e-005	1.558114e-001	-2.774207e+000
8.120649621632211e-005	1.624130e-001	-1.957718e+000
8.397642166097382e-005	1.679528e-001	-1.263843e+000
8.629885004481922e-005	1.725977e-001	-7.473227e-001
8.835195483700132e-005	1.767039e-001	-3.889165e-001
9.014977842476156e-005	1.802996e-001	-1.771415e-001
9.182807108260694e-005	1.836561e-001	-8.085176e-002
9.351118054974359e-005	1.870224e-001	-8.495094e-002
9.506593306861089e-005	1.901319e-001	-1.898294e-001
9.755933745600809e-005	1.951187e-001	-5.244982e-001
1.001882229990062e-004	2.003765e-001	-1.039561e+000
1.034843261640500e-004	2.069687e-001	-1.831246e+000
1.066798899616827e-004	2.133598e-001	-2.612784e+000
1.103816321424909e-004	2.207633e-001	-3.376170e+000
1.134343458314865e-004	2.268687e-001	-3.789334e+000
1.156852980172673e-004	2.313706e-001	-3.901477e+000
1.177702624552608e-004	2.355405e-001	-3.834057e+000
1.198740779580870e-004	2.397482e-001	-3.606246e+000
1.225545877360435e-004	2.451092e-001	-3.131901e+000
1.255887196081933e-004	2.511774e-001	-2.440287e+000
1.288710738506556e-004	2.577421e-001	-1.620251e+000
1.315238481413552e-004	2.630477e-001	-9.913803e-001
1.337154234683931e-004	2.674308e-001	-5.589702e-001
1.356602604945290e-004	2.713205e-001	-2.797691e-001
1.373956462361774e-004	2.747913e-001	-1.317252e-001
1.389793393109453e-004	2.779587e-001	-9.203117e-002
1.406975325271090e-004	2.813951e-001	-1.567576e-001
1.427702736031367e-004	2.855406e-001	-3.726536e-001
1.454012573798075e-004	2.908025e-001	-8.206943e-001
1.484525179921428e-004	2.969050e-001	-1.501639e+000
1.517038599419063e-004	3.034077e-001	-2.299834e+000
1.552007982218389e-004	3.104016e-001	-3.076348e+000
1.589391807381919e-004	3.178784e-001	-3.677780e+000
1.613774514266238e-004	3.227549e-001	-3.867232e+000
1.634814447855337e-004	3.269629e-001	-3.848424e+000
1.656262299043004e-004	3.312525e-001	-3.663524e+000
1.680807758695773e-004	3.361616e-001	-3.277634e+000
1.710703623129763e-004	3.421407e-001	-2.636596e+000
1.745137368852822e-004	3.490275e-001	-1.795370e+000
1.772950839962655e-004	3.545902e-001	-1.128210e+000
1.795697825352121e-004	3.591396e-001	-6.604270e-001
1.815986932603726e-004	3.631974e-001	-3.479574e-001
1.834245462954508e-004	3.668491e-001	-1.736482e-001
1.851221801093724e-004	3.702444e-001	-1.172333e-001
1.869603197844029e-004	3.739206e-001	-1.753015e-001
1.890441378177140e-004	3.780883e-001	-3.827934e-001
1.916596246489558e-004	3.833193e-001	-8.178988e-001
1.946847752850088e-004	3.893695e-001	-1.481694e+000
1.979643981840582e-004	3.959288e-001	-2.277395e+000
2.014494794098577e-004	4.028990e-001	-3.046081e+000
2.052058094986127e-004	4.104116e-001	-3.650592e+000
2.076533226328255e-004	4.153067e-001	-3.844164e+000
2.097601886311259e-004	4.195204e-001	-3.830152e+000
2.119104256629296e-004	4.238209e-001	-3.651346e+000
2.143429246010315e-004	4.286858e-001	-3.277635e+000
2.173284326264605e-004	4.346569e-001	-2.648310e+000
2.207471671367705e-004	4.414943e-001	-1.823680e+000
2.235403365704091e-004	4.470807e-001	-1.159332e+000
2.258460016932436e-004	4.516920e-001	-6.876879e-001
2.279120719502916e-004	4.558241e-001	-3.712554e-001
