time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	2.526175e+000
9.999999824516700e-015	0.000000e+000	2.526178e+000
1.999999964903340e-014	0.000000e+000	2.526180e+000
3.999999929806680e-014	0.000000e+000	2.526179e+000
7.999999859613360e-014	0.000000e+000	2.526176e+000
1.599999971922672e-013	0.000000e+000	2.526174e+000
3.199999943845344e-013	0.000000e+000	2.526175e+000
6.399999887690688e-013	0.000000e+000	2.526175e+000
1.000000000000000e-012	0.000000e+000	2.526174e+000
2.000000000000000e-012	1.000000e+000	2.656625e+000
2.997921261761440e-009	1.000000e+000	2.655854e+000
5.993842523522878e-009	1.000000e+000	2.654532e+000
8.989763785284319e-009	1.000000e+000	2.652660e+000
1.198568504704576e-008	1.000000e+000	2.650238e+000
1.498160630880719e-008	1.000000e+000	2.647266e+000
1.797752757056864e-008	1.000000e+000	2.643743e+000
2.097344883233007e-008	1.000000e+000	2.639670e+000
3.142022344304878e-008	1.000000e+000	2.625106e+000
4.436804963538980e-008	1.000000e+000	2.605070e+000
5.615355119514203e-008	1.000000e+000	2.587249e+000
7.047973402433815e-008	1.000000e+000	2.567898e+000
8.414198422601100e-008	1.000000e+000	2.552807e+000
1.001403292433285e-007	1.000000e+000	2.539597e+000
1.159498841197115e-007	1.000000e+000	2.530823e+000
1.347567972612980e-007	1.000000e+000	2.524946e+000
1.571156967398639e-007	1.000000e+000	2.521751e+000
1.688888934786125e-007	1.000000e+000	2.521298e+000
1.775236375774907e-007	1.000000e+000	2.521464e+000
1.884603283785986e-007	1.000000e+000	2.521924e+000
1.986980467452251e-007	1.000000e+000	2.522469e+000
2.232885280554239e-007	1.000000e+000	2.523851e+000
2.376756539690106e-007	1.000000e+000	2.524544e+000
2.513865790642007e-007	1.000000e+000	2.525072e+000
2.678727422353693e-007	1.000000e+000	2.525528e+000
2.862900762521787e-007	1.000000e+000	2.525836e+000
3.122510019714069e-007	1.000000e+000	2.526025e+000
3.423258130462874e-007	1.000000e+000	2.526049e+000
4.383673502261789e-007	1.000000e+000	2.525806e+000
4.856865728149106e-007	1.000000e+000	2.525739e+000
1.000000002000000e-003	1.000000e+000	1.526283e+000
1.000000003000000e-003	0.000000e+000	1.395832e+000
1.000002998919988e-003	0.000000e+000	1.396601e+000
1.000005994839976e-003	0.000000e+000	1.397920e+000
1.000008990759964e-003	0.000000e+000	1.399790e+000
1.000011986679952e-003	0.000000e+000	1.402210e+000
1.000014982599940e-003	0.000000e+000	1.405180e+000
1.000017978519928e-003	0.000000e+000	1.408701e+000
1.000020974439916e-003	0.000000e+000	1.412772e+000
1.000031418006622e-003	0.000000e+000	1.427325e+000
1.000044363294909e-003	0.000000e+000	1.447349e+000
1.000056143761124e-003	0.000000e+000	1.465154e+000
1.000070465106583e-003	0.000000e+000	1.484489e+000
1.000084120342015e-003	0.000000e+000	1.499562e+000
1.000100111465250e-003	0.000000e+000	1.512756e+000
1.000115911420146e-003	0.000000e+000	1.521513e+000
1.000134705295796e-003	0.000000e+000	1.527374e+000
1.000157035821044e-003	0.000000e+000	1.530549e+000
1.000168816118600e-003	0.000000e+000	1.530992e+000
1.000177446025190e-003	0.000000e+000	1.530819e+000
1.000188385963915e-003	0.000000e+000	1.530349e+000
1.000198708698522e-003	0.000000e+000	1.529789e+000
1.000211513485610e-003	0.000000e+000	1.529041e+000
1.000223431426759e-003	0.000000e+000	1.528375e+000
1.000237878616474e-003	0.000000e+000	1.527667e+000
1.000251702559437e-003	0.000000e+000	1.527123e+000
1.000268158229688e-003	0.000000e+000	1.526655e+000
1.000286693913397e-003	0.000000e+000	1.526329e+000
1.000312757994299e-003	0.000000e+000	1.526117e+000
1.000342020699420e-003	0.000000e+000	1.526065e+000
1.000369929291209e-003	0.000000e+000	1.526103e+000
