time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	2.517904e+000
1.999900000000000e-004	0.000000e+000	2.517904e+000
1.999947585291610e-004	4.758529e-001	2.802941e+000
2.000000000000000e-004	1.000000e+000	3.114758e+000
2.000044139332866e-004	1.000000e+000	3.108429e+000
2.000088278665732e-004	1.000000e+000	3.100685e+000
2.000132417998598e-004	1.000000e+000	3.091527e+000
2.000176557331464e-004	1.000000e+000	3.080955e+000
2.000220696664331e-004	1.000000e+000	3.068968e+000
2.000264835997197e-004	1.000000e+000	3.055567e+000
2.000308975330063e-004	1.000000e+000	3.040752e+000
2.000772804026486e-004	1.000000e+000	2.880292e+000
2.000970697290031e-004	1.000000e+000	2.817816e+000
2.001211482717657e-004	1.000000e+000	2.752125e+000
2.001477373931705e-004	1.000000e+000	2.693340e+000
2.001801305794366e-004	1.000000e+000	2.639518e+000
2.002193915236717e-004	1.000000e+000	2.593743e+000
2.002582908567348e-004	1.000000e+000	2.563308e+000
2.002874544699944e-004	1.000000e+000	2.548250e+000
2.003165517109569e-004	1.000000e+000	2.538159e+000
2.003477390219758e-004	1.000000e+000	2.530662e+000
2.003811414192181e-004	1.000000e+000	2.525121e+000
2.004123373995797e-004	1.000000e+000	2.521557e+000
2.004438360164125e-004	1.000000e+000	2.519056e+000
2.004745142338197e-004	1.000000e+000	2.517317e+000
2.005061953256794e-004	1.000000e+000	2.516008e+000
2.005376582507511e-004	1.000000e+000	2.515033e+000
2.005701564450973e-004	1.000000e+000	2.514255e+000
2.006039587134534e-004	1.000000e+000	2.513611e+000
2.006448094394751e-004	1.000000e+000	2.512971e+000
2.006907185373465e-004	1.000000e+000	2.512360e+000
2.007467802613861e-004	1.000000e+000	2.511700e+000
2.008123997037781e-004	1.000000e+000	2.510988e+000
2.010047322366652e-004	1.000000e+000	2.509026e+000
3.534224150297699e-004	1.000000e+000	9.855816e-001
5.058400978228746e-004	1.000000e+000	-5.378516e-001
6.582577806159794e-004	1.000000e+000	-2.061274e+000
8.106754634090842e-004	1.000000e+000	-3.584685e+000
9.630931462021890e-004	1.000000e+000	-5.108085e+000
1.115510828995294e-003	1.000000e+000	-6.631475e+000
1.267928511788398e-003	1.000000e+000	-8.154853e+000
1.273787886788398e-003	1.000000e+000	-8.213373e+000
1.276717574288398e-003	1.000000e+000	-8.242558e+000
1.279647261788398e-003	1.000000e+000	-8.271571e+000
1.281992735985363e-003	1.000000e+000	-8.294513e+000
1.283707599014490e-003	1.000000e+000	-8.310903e+000
1.285485254105189e-003	1.000000e+000	-8.327256e+000
1.287330291050483e-003	1.000000e+000	-8.343232e+000
1.289221649574086e-003	1.000000e+000	-8.358073e+000
1.291652872833533e-003	1.000000e+000	-8.374504e+000
1.294582560333533e-003	1.000000e+000	-8.390730e+000
1.297512247833533e-003	1.000000e+000	-8.403528e+000
1.300441935333533e-003	1.000000e+000	-8.413524e+000
1.303371622833533e-003	1.000000e+000	-8.421443e+000
1.306301310333533e-003	1.000000e+000	-8.427813e+000
1.309230997833533e-003	1.000000e+000	-8.432738e+000
1.312160685333533e-003	1.000000e+000	-8.437176e+000
1.315090372833532e-003	1.000000e+000	-8.441127e+000
1.318020060333532e-003	1.000000e+000	-8.444590e+000
1.320949747833532e-003	1.000000e+000	-8.447566e+000
1.323879435333532e-003	1.000000e+000	-8.450055e+000
1.326809122833532e-003	1.000000e+000	-8.452056e+000
1.335598185333532e-003	1.000000e+000	-8.457501e+000
1.346061354976388e-003	1.000000e+000	-8.461708e+000
1.356524524619245e-003	1.000000e+000	-8.465310e+000
1.366987694262102e-003	1.000000e+000	-8.468305e+000
1.377450863904959e-003	1.000000e+000	-8.470695e+000
1.387914033547815e-003	1.000000e+000	-8.472479e+000
1.398377203190672e-003	1.000000e+000	-8.473657e+000
1.408840372833529e-003	1.000000e+000	-8.474230e+000
1.418047962119243e-003	1.000000e+000	-8.474837e+000
1.427255551404957e-003	1.000000e+000	-8.475353e+000
1.436463140690671e-003	1.000000e+000	-8.475780e+000
1.445670729976385e-003	1.000000e+000	-8.476116e+000
1.454878319262099e-003	1.000000e+000	-8.476361e+000
1.464085908547813e-003	1.000000e+000	-8.476517e+000
1.473293497833527e-003	1.000000e+000	-8.476582e+000
1.482501087119241e-003	1.000000e+000	-8.476618e+000
1.491708676404955e-003	1.000000e+000	-8.476646e+000
1.500916265690669e-003	1.000000e+000	-8.476666e+000
1.510123854976383e-003	1.000000e+000	-8.476678e+000
1.519331444262096e-003	1.000000e+000	-8.476682e+000
1.528539033547810e-003	1.000000e+000	-8.476678e+000
1.537746622833524e-003	1.000000e+000	-8.476665e+000
1.546535685333524e-003	1.000000e+000	-8.476666e+000
1.555324747833524e-003	1.000000e+000	-8.476666e+000
1.564113810333523e-003	1.000000e+000	-8.476666e+000
1.572902872833523e-003	1.000000e+000	-8.476665e+000
1.581691935333523e-003	1.000000e+000	-8.476665e+000
1.590480997833522e-003	1.000000e+000	-8.476665e+000
1.599270060333522e-003	1.000000e+000	-8.476665e+000
1.608059122833522e-003	1.000000e+000	-8.476664e+000
1.616848185333522e-003	1.000000e+000	-8.476664e+000
1.625637247833521e-003	1.000000e+000	-8.476664e+000
1.634426310333521e-003	1.000000e+000	-8.476664e+000
1.643215372833521e-003	1.000000e+000	-8.476663e+000
1.652004435333520e-003	1.000000e+000	-8.476663e+000
1.660793497833520e-003	1.000000e+000	-8.476664e+000
1.669582560333520e-003	1.000000e+000	-8.476664e+000
1.678371622833519e-003	1.000000e+000	-8.476664e+000
1.687160685333519e-003	1.000000e+000	-8.476664e+000
1.695949747833519e-003	1.000000e+000	-8.476664e+000
1.704738810333518e-003	1.000000e+000	-8.476664e+000
1.713527872833518e-003	1.000000e+000	-8.476664e+000
1.722316935333518e-003	1.000000e+000	-8.476664e+000
1.731105997833517e-003	1.000000e+000	-8.476664e+000
1.739895060333517e-003	1.000000e+000	-8.476664e+000
1.748684122833517e-003	1.000000e+000	-8.476664e+000
1.757473185333516e-003	1.000000e+000	-8.476664e+000
1.766262247833516e-003	1.000000e+000	-8.476664e+000
1.775051310333516e-003	1.000000e+000	-8.476664e+000
1.783840372833515e-003	1.000000e+000	-8.476664e+000
1.792629435333515e-003	1.000000e+000	-8.476663e+000
1.801418497833515e-003	1.000000e+000	-8.476663e+000
1.810207560333515e-003	1.000000e+000	-8.476663e+000
1.818996622833514e-003	1.000000e+000	-8.476663e+000
1.827785685333514e-003	1.000000e+000	-8.476663e+000
1.836574747833514e-003	1.000000e+000	-8.476663e+000
1.845363810333513e-003	1.000000e+000	-8.476663e+000
1.854571399619227e-003	1.000000e+000	-8.476663e+000
1.863778988904941e-003	1.000000e+000	-8.476663e+000
1.872986578190655e-003	1.000000e+000	-8.476663e+000
1.882194167476369e-003	1.000000e+000	-8.476663e+000
1.891401756762083e-003	1.000000e+000	-8.476663e+000
1.900609346047797e-003	1.000000e+000	-8.476663e+000
1.909816935333511e-003	1.000000e+000	-8.476663e+000
1.919024524619225e-003	1.000000e+000	-8.476663e+000
1.928232113904939e-003	1.000000e+000	-8.476663e+000
1.937439703190654e-003	1.000000e+000	-8.476663e+000
1.946647292476368e-003	1.000000e+000	-8.476663e+000
1.955854881762082e-003	1.000000e+000	-8.476663e+000
1.965062471047796e-003	1.000000e+000	-8.476663e+000
1.974270060333510e-003	1.000000e+000	-8.476663e+000
1.983477649619225e-003	1.000000e+000	-8.476663e+000
1.992685238904939e-003	1.000000e+000	-8.476663e+000
2.001892828190654e-003	1.000000e+000	-8.476663e+000
2.011100417476369e-003	1.000000e+000	-8.476663e+000
2.020308006762083e-003	1.000000e+000	-8.476663e+000
2.029515596047798e-003	1.000000e+000	-8.476663e+000
2.038723185333513e-003	1.000000e+000	-8.476663e+000
2.047930774619227e-003	1.000000e+000	-8.476663e+000
2.057138363904942e-003	1.000000e+000	-8.476663e+000
2.066345953190656e-003	1.000000e+000	-8.476663e+000
2.075553542476371e-003	1.000000e+000	-8.476663e+000
2.084761131762086e-003	1.000000e+000	-8.476663e+000
2.093968721047800e-003	1.000000e+000	-8.476663e+000
2.103176310333515e-003	1.000000e+000	-8.476663e+000
2.112802426404944e-003	1.000000e+000	-8.476663e+000
2.122428542476373e-003	1.000000e+000	-8.476663e+000
2.132054658547802e-003	1.000000e+000	-8.476663e+000
2.141680774619231e-003	1.000000e+000	-8.476663e+000
2.151306890690660e-003	1.000000e+000	-8.476663e+000
2.160933006762089e-003	1.000000e+000	-8.476663e+000
2.170559122833518e-003	1.000000e+000	-8.476663e+000
2.180603765690661e-003	1.000000e+000	-8.476663e+000
2.190648408547804e-003	1.000000e+000	-8.476663e+000
2.200693051404947e-003	1.000000e+000	-8.476663e+000
2.210737694262091e-003	1.000000e+000	-8.476663e+000
2.220782337119234e-003	1.000000e+000	-8.476663e+000
2.230826979976377e-003	1.000000e+000	-8.476663e+000
2.240871622833520e-003	1.000000e+000	-8.476663e+000
2.251753319262092e-003	1.000000e+000	-8.476663e+000
2.262635015690664e-003	1.000000e+000	-8.476663e+000
2.273516712119236e-003	1.000000e+000	-8.476663e+000
2.284398408547808e-003	1.000000e+000	-8.476663e+000
2.295280104976379e-003	1.000000e+000	-8.476663e+000
2.306161801404951e-003	1.000000e+000	-8.476663e+000
2.317043497833523e-003	1.000000e+000	-8.476663e+000
2.330017828190666e-003	1.000000e+000	-8.476663e+000
2.342992158547810e-003	1.000000e+000	-8.476663e+000
2.355966488904953e-003	1.000000e+000	-8.476663e+000
2.368940819262097e-003	1.000000e+000	-8.476663e+000
2.381915149619240e-003	1.000000e+000	-8.476663e+000
2.394889479976383e-003	1.000000e+000	-8.476663e+000
2.407863810333527e-003	1.000000e+000	-8.476663e+000
2.424604881762099e-003	1.000000e+000	-8.476663e+000
2.441345953190671e-003	1.000000e+000	-8.476663e+000
2.458087024619243e-003	1.000000e+000	-8.476663e+000
2.474828096047815e-003	1.000000e+000	-8.476663e+000
2.491569167476387e-003	1.000000e+000	-8.476663e+000
2.508310238904959e-003	1.000000e+000	-8.476663e+000
2.525051310333531e-003	1.000000e+000	-8.476663e+000
2.550581444262103e-003	1.000000e+000	-8.476663e+000
2.576111578190676e-003	1.000000e+000	-8.476663e+000
2.601641712119248e-003	1.000000e+000	-8.476663e+000
2.627171846047821e-003	1.000000e+000	-8.476663e+000
2.652701979976393e-003	1.000000e+000	-8.476663e+000
2.678232113904965e-003	1.000000e+000	-8.476663e+000
2.703762247833538e-003	1.000000e+000	-8.476663e+000
2.818020060333542e-003	1.000000e+000	-8.476663e+000
2.999660685333549e-003	1.000000e+000	-8.476663e+000
3.000000000000000e-003	1.000000e+000	-8.476663e+000
