time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	2.526175e+000
9.999999824516700e-015	0.000000e+000	2.526178e+000
1.999999964903340e-014	0.000000e+000	2.526180e+000
3.999999929806680e-014	0.000000e+000	2.526179e+000
7.999999859613360e-014	0.000000e+000	2.526176e+000
1.599999971922672e-013	0.000000e+000	2.526174e+000
3.199999943845344e-013	0.000000e+000	2.526175e+000
6.399999887690688e-013	0.000000e+000	2.526175e+000
1.000000000000000e-012	0.000000e+000	2.526174e+000
2.000000000000000e-012	2.000000e+000	2.787076e+000
2.997921261761440e-009	2.000000e+000	2.785562e+000
5.993842523522878e-009	2.000000e+000	2.782965e+000
8.989763785284319e-009	2.000000e+000	2.779283e+000
1.198568504704576e-008	2.000000e+000	2.774517e+000
1.498160630880719e-008	2.000000e+000	2.768667e+000
1.797752757056864e-008	2.000000e+000	2.761734e+000
2.097344883233007e-008	2.000000e+000	2.753716e+000
3.138159537683700e-008	2.000000e+000	2.725082e+000
5.633841808102499e-008	2.000000e+000	2.649363e+000
7.086977346572875e-008	2.000000e+000	2.610297e+000
8.466847200940353e-008	2.000000e+000	2.579916e+000
1.007948712209955e-007	2.000000e+000	2.553341e+000
1.166264548230013e-007	2.000000e+000	2.535772e+000
1.353900042022370e-007	2.000000e+000	2.523977e+000
1.574334505410767e-007	2.000000e+000	2.517558e+000
1.693213677903491e-007	2.000000e+000	2.516571e+000
1.776568170656775e-007	2.000000e+000	2.516830e+000
1.870178694776731e-007	2.000000e+000	2.517557e+000
1.977058032482878e-007	2.000000e+000	2.518645e+000
2.220031308700810e-007	2.000000e+000	2.521339e+000
2.354931203988772e-007	2.000000e+000	2.522662e+000
2.495844286604261e-007	2.000000e+000	2.523793e+000
2.648020665520919e-007	2.000000e+000	2.524705e+000
2.808777491818750e-007	2.000000e+000	2.525348e+000
2.988098490059380e-007	2.000000e+000	2.525733e+000
3.260530795285154e-007	2.000000e+000	2.525940e+000
3.459145735091007e-007	2.000000e+000	2.525920e+000
3.937945660619322e-007	2.000000e+000	2.525646e+000
4.206960977241793e-007	2.000000e+000	2.525508e+000
4.551663329792980e-007	2.000000e+000	2.525383e+000
4.981021395575599e-007	2.000000e+000	2.525276e+000
1.022132816322096e-006	2.000000e+000	2.524235e+000
1.546163493086631e-006	2.000000e+000	2.523193e+000
2.070194169851167e-006	2.000000e+000	2.522148e+000
2.594224846615702e-006	2.000000e+000	2.521102e+000
3.118255523380238e-006	2.000000e+000	2.520053e+000
3.642286200144773e-006	2.000000e+000	2.519003e+000
4.166316876909308e-006	2.000000e+000	2.517951e+000
1.000000002000000e-003	2.000000e+000	5.263919e-001
1.000000003000000e-003	0.000000e+000	2.654899e-001
1.000002998919988e-003	0.000000e+000	2.669992e-001
1.000005994839976e-003	0.000000e+000	2.695930e-001
1.000008990759964e-003	0.000000e+000	2.732714e-001
1.000011986679952e-003	0.000000e+000	2.780343e-001
1.000014982599940e-003	0.000000e+000	2.838817e-001
1.000017978519928e-003	0.000000e+000	2.908136e-001
1.000020974439916e-003	0.000000e+000	2.988301e-001
1.000031380043152e-003	0.000000e+000	3.274517e-001
1.000056326348170e-003	0.000000e+000	4.031223e-001
1.000070849546104e-003	0.000000e+000	4.421516e-001
1.000084638233295e-003	0.000000e+000	4.724931e-001
1.000100753896709e-003	0.000000e+000	4.990294e-001
1.000116573766449e-003	0.000000e+000	5.165634e-001
1.000135323440397e-003	0.000000e+000	5.283220e-001
1.000157344956103e-003	0.000000e+000	5.346992e-001
1.000169235841853e-003	0.000000e+000	5.356657e-001
1.000177575705064e-003	0.000000e+000	5.353900e-001
1.000187068748703e-003	0.000000e+000	5.346318e-001
1.000197797734822e-003	0.000000e+000	5.335165e-001
1.000222246754136e-003	0.000000e+000	5.307552e-001
