V(output)	I(Out)
4.928063e+000	4.928063e-001
4.928063e+000	4.928063e-001
4.928063e+000	4.928062e-001
4.928063e+000	4.928061e-001
4.928063e+000	4.928061e-001
4.928063e+000	4.928060e-001
4.928063e+000	4.928059e-001
4.928063e+000	4.928059e-001
4.928063e+000	4.928058e-001
4.928063e+000	4.928053e-001
4.928063e+000	4.928043e-001
4.928063e+000	4.928023e-001
4.928064e+000	4.927983e-001
4.928066e+000	4.927904e-001
4.928240e+000	4.918404e-001
4.928417e+000	4.908782e-001
4.928594e+000	4.899199e-001
4.928770e+000	4.889652e-001
4.928945e+000	4.880143e-001
4.929119e+000	4.870671e-001
4.929292e+000	4.861235e-001
4.929465e+000	4.851836e-001
4.929637e+000	4.842473e-001
4.929809e+000	4.833146e-001
4.929980e+000	4.823855e-001
4.930151e+000	4.814600e-001
4.930320e+000	4.805380e-001
4.930489e+000	4.796196e-001
4.930657e+000	4.787046e-001
4.930825e+000	4.777931e-001
4.930992e+000	4.768851e-001
4.931159e+000	4.759806e-001
4.931324e+000	4.750794e-001
4.931489e+000	4.741817e-001
4.931654e+000	4.732873e-001
4.931818e+000	4.723964e-001
4.931982e+000	4.715087e-001
4.932144e+000	4.706244e-001
4.932306e+000	4.697435e-001
4.932467e+000	4.688658e-001
4.932629e+000	4.679913e-001
4.932789e+000	4.671202e-001
4.932949e+000	4.662522e-001
4.933108e+000	4.653875e-001
4.933266e+000	4.645260e-001
4.933424e+000	4.636677e-001
4.933581e+000	4.628125e-001
4.933738e+000	4.619605e-001
4.933895e+000	4.611116e-001
4.934050e+000	4.602659e-001
4.934205e+000	4.594232e-001
4.934360e+000	4.585836e-001
4.934514e+000	4.577471e-001
4.934667e+000	4.569136e-001
4.934820e+000	4.560831e-001
4.934972e+000	4.552557e-001
4.935123e+000	4.544313e-001
4.935275e+000	4.536098e-001
4.935425e+000	4.527913e-001
4.935575e+000	4.519758e-001
4.935725e+000	4.511631e-001
4.935874e+000	4.503535e-001
4.936022e+000	4.495467e-001
4.936170e+000	4.487427e-001
4.936317e+000	4.479417e-001
4.936464e+000	4.471435e-001
4.936611e+000	4.463482e-001
4.936757e+000	4.455557e-001
4.936902e+000	4.447660e-001
4.937047e+000	4.439790e-001
4.937191e+000	4.431949e-001
4.937335e+000	4.424135e-001
4.937478e+000	4.416349e-001
4.937621e+000	4.408590e-001
4.937763e+000	4.400858e-001
4.937905e+000	4.393154e-001
4.938046e+000	4.385476e-001
4.938187e+000	4.377825e-001
4.938327e+000	4.370201e-001
4.938467e+000	4.362603e-001
4.938606e+000	4.355032e-001
4.938745e+000	4.347487e-001
4.938883e+000	4.339968e-001
4.939022e+000	4.332475e-001
4.939159e+000	4.325008e-001
4.939296e+000	4.317566e-001
4.939432e+000	4.310150e-001
4.939568e+000	4.302760e-001
4.939703e+000	4.295394e-001
4.939839e+000	4.288054e-001
4.939973e+000	4.280739e-001
4.940107e+000	4.273449e-001
4.940241e+000	4.266184e-001
4.940374e+000	4.258943e-001
4.940507e+000	4.251727e-001
4.940639e+000	4.244536e-001
4.940771e+000	4.237368e-001
4.940903e+000	4.230225e-001
4.941034e+000	4.223106e-001
4.941164e+000	4.216011e-001
4.941294e+000	4.208939e-001
4.941424e+000	4.201891e-001
4.941553e+000	4.194867e-001
4.941682e+000	4.187866e-001
4.941811e+000	4.180889e-001
4.941938e+000	4.173934e-001
4.942066e+000	4.167003e-001
4.942193e+000	4.160095e-001
4.942320e+000	4.153210e-001
4.942446e+000	4.146347e-001
4.942572e+000	4.139507e-001
4.942698e+000	4.132690e-001
4.942822e+000	4.125895e-001
4.942947e+000	4.119123e-001
4.943071e+000	4.112372e-001
4.943195e+000	4.105644e-001
4.943318e+000	4.098937e-001
4.943441e+000	4.092253e-001
4.943564e+000	4.085590e-001
4.943686e+000	4.078949e-001
4.943808e+000	4.072329e-001
4.943929e+000	4.065731e-001
4.944050e+000	4.059155e-001
4.944171e+000	4.052599e-001
4.944291e+000	4.046065e-001
4.944411e+000	4.039552e-001
4.944530e+000	4.033059e-001
4.944650e+000	4.026588e-001
4.944768e+000	4.020137e-001
4.944887e+000	4.013707e-001
4.945004e+000	4.007297e-001
4.945122e+000	4.000908e-001
