time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	3.519381e-005
1.814772460678909e-008	1.026230e-004	3.348307e-005
3.629544921357818e-008	2.052459e-004	1.369264e-005
5.444317382036728e-008	3.078689e-004	-2.417750e-005
7.259089842715637e-008	4.104918e-004	-8.012733e-005
9.073862303394545e-008	5.131148e-004	-1.541569e-004
1.088863476407346e-007	6.157377e-004	-2.462661e-004
1.270340722475236e-007	7.183607e-004	-3.564550e-004
1.846440512112245e-007	1.044137e-003	-7.895681e-004
2.468073274588441e-007	1.395662e-003	-1.371128e-003
3.243057078304079e-007	1.833904e-003	-2.200353e-003
4.281070669746322e-007	2.420885e-003	-3.402618e-003
8.043516542942753e-007	4.548478e-003	-8.012326e-003
5.872263274549730e-006	3.326603e-002	-7.118909e-002
1.094017489480519e-005	6.187801e-002	-1.341361e-001
1.600808651506064e-005	9.038441e-002	-1.968533e-001
2.107599813531609e-005	1.187852e-001	-2.593407e-001
2.614390975557155e-005	1.470805e-001	-3.215983e-001
3.121182137582700e-005	1.752702e-001	-3.836261e-001
3.627973299608245e-005	2.033543e-001	-4.454242e-001
4.688241156751103e-005	2.618590e-001	-5.741668e-001
5.748509013893962e-005	3.185960e-001	-6.990282e-001
6.808776871036820e-005	3.735651e-001	-8.200083e-001
7.869044728179679e-005	4.267665e-001	-9.371070e-001
8.929312585322537e-005	4.782001e-001	-1.050325e+000
9.989580442465396e-005	5.278660e-001	-1.159661e+000
1.104984829960825e-004	5.757640e-001	-1.265116e+000
1.277975901389397e-004	6.488695e-001	-1.426096e+000
1.450966972817968e-004	7.127536e-001	-1.566800e+000
1.623958044246540e-004	7.674163e-001	-1.687228e+000
1.796949115675112e-004	8.128575e-001	-1.787380e+000
1.969940187103683e-004	8.490772e-001	-1.867256e+000
2.142931258532255e-004	8.760755e-001	-1.926856e+000
2.315922329960826e-004	8.938524e-001	-1.966181e+000
2.516815187103684e-004	8.986269e-001	-1.976941e+000
2.717708044246541e-004	8.900707e-001	-1.958365e+000
2.918600901389398e-004	8.681838e-001	-1.910451e+000
3.119493758532256e-004	8.329660e-001	-1.833201e+000
3.320386615675113e-004	7.844174e-001	-1.726613e+000
3.521279472817970e-004	7.225381e-001	-1.590688e+000
3.722172329960827e-004	6.473279e-001	-1.425426e+000
3.839359829960827e-004	5.988417e-001	-1.318860e+000
3.956547329960827e-004	5.478416e-001	-1.206754e+000
4.073734829960827e-004	4.943275e-001	-1.089108e+000
4.190922329960828e-004	4.382995e-001	-9.659222e-001
4.308109829960828e-004	3.797575e-001	-8.371972e-001
4.425297329960828e-004	3.187016e-001	-7.029325e-001
