time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.281320e-003
1.606615967002446e-008	1.009467e-004	1.287652e-003
3.213231934004893e-008	2.018933e-004	1.310467e-003
4.819847901007339e-008	3.028400e-004	1.349765e-003
6.426463868009785e-008	4.037866e-004	1.405545e-003
8.033079835012231e-008	5.047333e-004	1.477807e-003
9.639695802014678e-008	6.056799e-004	1.566552e-003
1.124631176901712e-007	7.066266e-004	1.671779e-003
3.172115108895064e-007	1.993097e-003	2.986054e-003
5.268354204805902e-006	3.316449e-002	3.415654e-002
1.021949689872230e-005	6.422948e-002	6.522115e-002
1.517063959263869e-005	9.518806e-002	9.617989e-002
2.012178228655509e-005	1.260403e-001	1.270328e-001
2.507292498047148e-005	1.567860e-001	1.577798e-001
3.002406767438788e-005	1.874254e-001	1.884209e-001
3.497521036830426e-005	2.179584e-001	2.189562e-001
4.557788893973285e-005	2.831050e-001	2.841077e-001
5.618056751116143e-005	3.463198e-001	3.473286e-001
6.678324608259002e-005	4.076030e-001	4.086190e-001
7.738592465401860e-005	4.669544e-001	4.679788e-001
8.798860322544719e-005	5.243740e-001	5.254080e-001
9.859128179687577e-005	5.798620e-001	5.809066e-001
1.091939603683043e-004	6.334182e-001	6.344746e-001
1.248189603683043e-004	7.074921e-001	7.085683e-001
1.404439603683044e-004	7.733984e-001	7.744957e-001
1.560689603683044e-004	8.311370e-001	8.322568e-001
1.716939603683044e-004	8.807080e-001	8.818518e-001
1.873189603683044e-004	9.221113e-001	9.232805e-001
2.029439603683044e-004	9.553470e-001	9.565430e-001
2.185689603683044e-004	9.804150e-001	9.816393e-001
2.381002103683044e-004	9.962543e-001	9.975152e-001
2.576314603683045e-004	9.976953e-001	9.989918e-001
2.771627103683045e-004	9.847380e-001	9.860692e-001
2.966939603683045e-004	9.573826e-001	9.587474e-001
3.162252103683045e-004	9.156289e-001	9.170264e-001
3.357564603683046e-004	8.594771e-001	8.609061e-001
3.552877103683045e-004	7.889270e-001	7.903867e-001
3.675644960825902e-004	7.383550e-001	7.398321e-001
3.798412817968760e-004	6.842582e-001	6.857513e-001
3.921180675111617e-004	6.266365e-001	6.281443e-001
4.043948532254474e-004	5.654901e-001	5.670110e-001
4.166716389397332e-004	5.008188e-001	5.023516e-001
4.289484246540189e-004	4.326227e-001	4.341659e-001
4.412252103683046e-004	3.609017e-001	3.624540e-001
4.484796746540189e-004	3.178097e-001	3.193665e-001
4.557341389397332e-004	2.742862e-001	2.758469e-001
4.629886032254475e-004	2.303312e-001	2.318953e-001
4.702430675111617e-004	1.859447e-001	1.875115e-001
4.774975317968760e-004	1.411267e-001	1.426957e-001
4.847519960825903e-004	9.587723e-002	9.744773e-002
4.920064603683046e-004	5.019622e-002	5.176771e-002
5.115377103683046e-004	-7.241918e-002	-7.084808e-002
5.193502103683046e-004	-1.215512e-001	-1.199815e-001
5.271627103683046e-004	-1.701021e-001	-1.685345e-001
5.349752103683046e-004	-2.180719e-001	-2.165071e-001
5.427877103683046e-004	-2.654607e-001	-2.638992e-001
5.506002103683046e-004	-3.122683e-001	-3.107110e-001
5.584127103683047e-004	-3.584948e-001	-3.569423e-001
5.662252103683047e-004	-4.041403e-001	-4.025932e-001
5.796180675111618e-004	-4.807353e-001	-4.791993e-001
5.930109246540190e-004	-5.527500e-001	-5.512266e-001
6.064037817968761e-004	-6.201843e-001	-6.186751e-001
6.197966389397333e-004	-6.830382e-001	-6.815446e-001
6.331894960825904e-004	-7.413116e-001	-7.398354e-001
6.465823532254476e-004	-7.950047e-001	-7.935472e-001
6.599752103683047e-004	-8.441173e-001	-8.426802e-001
6.873189603683048e-004	-9.238255e-001	-9.224363e-001
7.146627103683048e-004	-9.750427e-001	-9.737010e-001
7.420064603683048e-004	-9.977689e-001	-9.964744e-001
7.693502103683048e-004	-9.920041e-001	-9.907565e-001
