time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	3.519381e-005
1.637926313328014e-008	9.262256e-005	3.956206e-005
3.275852626656027e-008	1.852451e-004	6.595178e-005
4.913778939984041e-008	2.778677e-004	1.143630e-004
6.551705253312055e-008	3.704902e-004	1.847956e-004
8.189631566640068e-008	4.631127e-004	2.772498e-004
9.827557879968082e-008	5.557353e-004	3.917254e-004
1.146548419329609e-007	6.483578e-004	5.282225e-004
1.771861765443846e-007	1.001964e-003	1.188872e-003
2.361239966923046e-007	1.335249e-003	1.973436e-003
3.159160525840628e-007	1.786462e-003	3.203286e-003
4.121895857316784e-007	2.330874e-003	4.815196e-003
5.612511125335284e-007	3.173793e-003	7.432012e-003
1.922817354394410e-005	1.084521e-001	3.442876e-001
2.815674497251554e-005	1.587489e-001	5.052537e-001
3.708531640108698e-005	2.081657e-001	6.634123e-001
4.601388782965842e-005	2.567026e-001	8.187633e-001
5.494245925822985e-005	3.043594e-001	9.713069e-001
6.387103068680130e-005	3.511362e-001	1.121043e+000
7.279960211537273e-005	3.970330e-001	1.267971e+000
8.172817354394415e-005	4.420498e-001	1.412092e+000
9.623710211537274e-005	5.127582e-001	1.638488e+000
1.107460306868013e-004	5.779886e-001	1.847371e+000
1.252549592582299e-004	6.377408e-001	2.038740e+000
1.397638878296585e-004	6.920150e-001	2.212595e+000
1.542728164010871e-004	7.408111e-001	2.368937e+000
1.687817449725157e-004	7.841291e-001	2.507765e+000
1.832906735439442e-004	8.219690e-001	2.629080e+000
2.084022806868014e-004	8.687693e-001	2.779278e+000
2.335138878296586e-004	8.940039e-001	2.860460e+000
2.586254949725157e-004	8.976728e-001	2.872625e+000
2.837371021153729e-004	8.797758e-001	2.815774e+000
3.088487092582301e-004	8.403131e-001	2.689907e+000
3.339603164010873e-004	7.792847e-001	2.495023e+000
3.590719235439444e-004	6.966904e-001	2.231122e+000
3.713487092582301e-004	6.499115e-001	2.081600e+000
3.836254949725158e-004	6.000626e-001	1.922240e+000
3.959022806868016e-004	5.471437e-001	1.753044e+000
4.081790664010873e-004	4.911548e-001	1.574010e+000
4.204558521153730e-004	4.320959e-001	1.385139e+000
4.327326378296587e-004	3.699670e-001	1.186431e+000
4.450094235439444e-004	3.047681e-001	9.778861e-001
4.517058521153730e-004	2.687214e-001	8.625790e-001
4.584022806868016e-004	2.323615e-001	7.462652e-001
4.650987092582302e-004	1.956886e-001	6.289447e-001
4.717951378296587e-004	1.587025e-001	5.106173e-001
4.784915664010873e-004	1.214034e-001	3.912832e-001
4.851879949725159e-004	8.379110e-002	2.709423e-001
4.918844235439444e-004	4.586571e-002	1.495946e-001
4.946746021153730e-004	3.009214e-002	9.912338e-002
4.974647806868015e-004	1.432144e-002	4.866044e-002
5.002549592582301e-004	-1.446390e-003	-1.794192e-003
5.030451378296587e-004	-1.721136e-002	-5.224051e-002
5.058353164010874e-004	-3.297346e-002	-1.026785e-001
5.086254949725158e-004	-4.873269e-002	-1.531082e-001
5.114156735439445e-004	-6.448906e-002	-2.035296e-001
5.192281735439445e-004	-1.087112e-001	-3.450479e-001
5.270406735439445e-004	-1.524119e-001	-4.849044e-001
5.348531735439445e-004	-1.955913e-001	-6.230992e-001
5.426656735439445e-004	-2.382493e-001	-7.596320e-001
5.504781735439445e-004	-2.803859e-001	-8.945031e-001
5.582906735439445e-004	-3.220011e-001	-1.027712e+000
5.661031735439445e-004	-3.630950e-001	-1.159260e+000
5.794960306868016e-004	-4.320569e-001	-1.380035e+000
5.928888878296588e-004	-4.969000e-001	-1.587646e+000
6.062817449725159e-004	-5.576245e-001	-1.782092e+000
6.196746021153732e-004	-6.142303e-001	-1.963374e+000
6.330674592582303e-004	-6.667174e-001	-2.131492e+000
6.464603164010875e-004	-7.150858e-001	-2.286445e+000
6.598531735439446e-004	-7.593355e-001	-2.428234e+000
6.883129949725160e-004	-8.333847e-001	-2.665663e+000
7.167728164010875e-004	-8.797678e-001	-2.814559e+000
7.452326378296590e-004	-8.984846e-001	-2.874923e+000
7.736924592582305e-004	-8.895353e-001	-2.846753e+000
8.021522806868019e-004	-8.529199e-001	-2.730050e+000
8.306121021153733e-004	-7.886382e-001	-2.524814e+000
8.590719235439448e-004	-6.966904e-001	-2.231046e+000
8.713487092582305e-004	-6.499115e-001	-2.081523e+000
8.836254949725162e-004	-6.000626e-001	-1.922164e+000
8.959022806868020e-004	-5.471437e-001	-1.752968e+000
9.081790664010877e-004	-4.911548e-001	-1.573934e+000
9.204558521153734e-004	-4.320959e-001	-1.385064e+000
9.327326378296591e-004	-3.699670e-001	-1.186356e+000
9.450094235439448e-004	-3.047681e-001	-9.778118e-001
9.517058521153734e-004	-2.687214e-001	-8.625051e-001
9.584022806868019e-004	-2.323615e-001	-7.461917e-001
9.650987092582306e-004	-1.956886e-001	-6.288716e-001
9.717951378296592e-004	-1.587025e-001	-5.105447e-001
9.784915664010877e-004	-1.214034e-001	-3.912111e-001
9.851879949725163e-004	-8.379110e-002	-2.708707e-001
9.918844235439449e-004	-4.586571e-002	-1.495236e-001
9.946746021153735e-004	-3.009214e-002	-9.905256e-002
9.974647806868021e-004	-1.432144e-002	-4.858984e-002
1.000254959258231e-003	1.446390e-003	1.864572e-003
1.003045137829659e-003	1.721136e-002	5.231067e-002
1.005835316401088e-003	3.297346e-002	1.027485e-001
1.008625494972516e-003	4.873269e-002	1.531779e-001
1.011415673543945e-003	6.448906e-002	2.035991e-001
1.019228173543945e-003	1.087112e-001	3.451168e-001
1.027040673543945e-003	1.524119e-001	4.849727e-001
1.034853173543945e-003	1.955913e-001	6.231668e-001
1.042665673543945e-003	2.382493e-001	7.596992e-001
1.050478173543945e-003	2.803859e-001	8.945697e-001
1.058290673543945e-003	3.220011e-001	1.027778e+000
1.066103173543945e-003	3.630950e-001	1.159325e+000
1.079496030686802e-003	4.320569e-001	1.380100e+000
1.092888887829659e-003	4.969000e-001	1.587710e+000
1.106281744972516e-003	5.576245e-001	1.782156e+000
1.119674602115374e-003	6.142303e-001	1.963438e+000
1.133067459258231e-003	6.667174e-001	2.131556e+000
1.146460316401088e-003	7.150858e-001	2.286509e+000
1.159853173543945e-003	7.593355e-001	2.428298e+000
1.188312994972516e-003	8.333847e-001	2.665729e+000
1.216772816401088e-003	8.797678e-001	2.814627e+000
1.245232637829660e-003	8.984846e-001	2.874992e+000
1.273692459258231e-003	8.895353e-001	2.846824e+000
1.302152280686802e-003	8.529199e-001	2.730123e+000
1.330612102115374e-003	7.886382e-001	2.524889e+000
1.359071923543945e-003	6.966904e-001	2.231122e+000
1.371348709258231e-003	6.499115e-001	2.081600e+000
1.383625494972517e-003	6.000626e-001	1.922240e+000
1.395902280686802e-003	5.471437e-001	1.753044e+000
1.408179066401088e-003	4.911548e-001	1.574010e+000
1.420455852115374e-003	4.320959e-001	1.385139e+000
1.432732637829660e-003	3.699670e-001	1.186431e+000
1.445009423543945e-003	3.047681e-001	9.778861e-001
1.451705852115374e-003	2.687214e-001	8.625790e-001
1.458402280686803e-003	2.323615e-001	7.462652e-001
1.465098709258231e-003	1.956886e-001	6.289447e-001
1.471795137829660e-003	1.587025e-001	5.106173e-001
1.478491566401088e-003	1.214034e-001	3.912832e-001
1.485187994972517e-003	8.379110e-002	2.709423e-001
1.491884423543945e-003	4.586571e-002	1.495946e-001
1.494674602115374e-003	3.009214e-002	9.912338e-002
1.497464780686803e-003	1.432144e-002	4.866044e-002
1.500254959258231e-003	-1.446390e-003	-1.794192e-003
1.503045137829660e-003	-1.721136e-002	-5.224051e-002
1.505835316401088e-003	-3.297346e-002	-1.026785e-001
1.508625494972517e-003	-4.873269e-002	-1.531082e-001
1.511415673543945e-003	-6.448906e-002	-2.035296e-001
1.519228173543945e-003	-1.087112e-001	-3.450479e-001
1.527040673543945e-003	-1.524119e-001	-4.849044e-001
1.534853173543945e-003	-1.955913e-001	-6.230992e-001
1.542665673543945e-003	-2.382493e-001	-7.596320e-001
1.550478173543945e-003	-2.803859e-001	-8.945031e-001
1.558290673543945e-003	-3.220011e-001	-1.027712e+000
1.566103173543945e-003	-3.630950e-001	-1.159260e+000
1.579496030686803e-003	-4.320569e-001	-1.380035e+000
1.592888887829660e-003	-4.969000e-001	-1.587646e+000
1.606281744972517e-003	-5.576245e-001	-1.782092e+000
