[s],CH2[V]
-9.9980e-04,8.900E+00
-9.9960e-04,9.300E+00
-9.9940e-04,9.300E+00
-9.9920e-04,9.300E+00
-9.9900e-04,9.100E+00
-9.9880e-04,8.900E+00
-9.9860e-04,9.100E+00
-9.9840e-04,9.100E+00
-9.9820e-04,8.900E+00
-9.9800e-04,9.300E+00
-9.9780e-04,9.100E+00
-9.9760e-04,9.100E+00
-9.9740e-04,8.900E+00
-9.9720e-04,9.100E+00
-9.9700e-04,9.300E+00
-9.9680e-04,9.300E+00
-9.9660e-04,9.300E+00
-9.9640e-04,8.900E+00
-9.9620e-04,9.300E+00
-9.9600e-04,9.300E+00
-9.9580e-04,9.100E+00
-9.9560e-04,9.100E+00
-9.9540e-04,8.900E+00
-9.9520e-04,9.100E+00
-9.9500e-04,8.900E+00
-9.9480e-04,9.100E+00
-9.9460e-04,9.100E+00
-9.9440e-04,9.300E+00
-9.9420e-04,9.300E+00
-9.9400e-04,9.300E+00
-9.9380e-04,9.100E+00
-9.9360e-04,9.100E+00
-9.9340e-04,9.100E+00
-9.9320e-04,9.300E+00
-9.9300e-04,9.100E+00
-9.9280e-04,9.300E+00
-9.9260e-04,8.900E+00
-9.9240e-04,9.300E+00
-9.9220e-04,9.300E+00
-9.9200e-04,9.300E+00
-9.9180e-04,9.100E+00
-9.9160e-04,9.100E+00
-9.9140e-04,9.100E+00
-9.9120e-04,9.100E+00
-9.9100e-04,9.300E+00
-9.9080e-04,9.300E+00
-9.9060e-04,9.300E+00
-9.9040e-04,9.100E+00
-9.9020e-04,9.100E+00
-9.9000e-04,9.500E+00
-9.8980e-04,8.900E+00
-9.8960e-04,9.300E+00
-9.8940e-04,9.100E+00
-9.8920e-04,9.100E+00
-9.8900e-04,9.100E+00
-9.8880e-04,9.100E+00
-9.8860e-04,9.100E+00
-9.8840e-04,9.300E+00
-9.8820e-04,9.100E+00
-9.8800e-04,8.900E+00
-9.8780e-04,9.100E+00
-9.8760e-04,9.100E+00
-9.8740e-04,9.100E+00
-9.8720e-04,8.900E+00
-9.8700e-04,9.100E+00
-9.8680e-04,8.900E+00
-9.8660e-04,9.100E+00
-9.8640e-04,9.100E+00
-9.8620e-04,9.300E+00
-9.8600e-04,9.300E+00
-9.8580e-04,9.100E+00
-9.8560e-04,9.300E+00
-9.8540e-04,9.100E+00
-9.8520e-04,8.900E+00
-9.8500e-04,9.100E+00
-9.8480e-04,9.100E+00
-9.8460e-04,8.900E+00
-9.8440e-04,9.100E+00
-9.8420e-04,9.500E+00
-9.8400e-04,9.100E+00
-9.8380e-04,9.300E+00
-9.8360e-04,9.100E+00
-9.8340e-04,9.100E+00
-9.8320e-04,9.500E+00
-9.8300e-04,9.100E+00
-9.8280e-04,9.100E+00
-9.8260e-04,9.300E+00
-9.8240e-04,9.300E+00
-9.8220e-04,9.100E+00
-9.8200e-04,8.900E+00
-9.8180e-04,9.100E+00
-9.8160e-04,9.300E+00
-9.8140e-04,9.100E+00
-9.8120e-04,9.300E+00
-9.8100e-04,9.100E+00
-9.8080e-04,9.300E+00
-9.8060e-04,9.100E+00
-9.8040e-04,9.100E+00
-9.8020e-04,9.100E+00
-9.8000e-04,9.100E+00
-9.7980e-04,9.100E+00
-9.7960e-04,8.900E+00
-9.7940e-04,9.100E+00
-9.7920e-04,9.100E+00
-9.7900e-04,9.100E+00
-9.7880e-04,9.100E+00
-9.7860e-04,9.100E+00
-9.7840e-04,9.100E+00
-9.7820e-04,9.100E+00
-9.7800e-04,9.100E+00
-9.7780e-04,9.300E+00
-9.7760e-04,9.100E+00
-9.7740e-04,8.700E+00
-9.7720e-04,9.300E+00
-9.7700e-04,9.100E+00
-9.7680e-04,9.100E+00
-9.7660e-04,9.100E+00
-9.7640e-04,9.100E+00
-9.7620e-04,9.300E+00
-9.7600e-04,9.100E+00
-9.7580e-04,8.900E+00
-9.7560e-04,9.100E+00
-9.7540e-04,9.300E+00
-9.7520e-04,9.300E+00
-9.7500e-04,9.100E+00
-9.7480e-04,9.100E+00
-9.7460e-04,9.100E+00
-9.7440e-04,9.100E+00
-9.7420e-04,9.100E+00
-9.7400e-04,9.100E+00
-9.7380e-04,9.300E+00
-9.7360e-04,9.300E+00
-9.7340e-04,9.300E+00
-9.7320e-04,9.300E+00
-9.7300e-04,9.300E+00
-9.7280e-04,9.100E+00
-9.7260e-04,9.100E+00
-9.7240e-04,9.300E+00
-9.7220e-04,9.300E+00
-9.7200e-04,9.300E+00
-9.7180e-04,9.100E+00
-9.7160e-04,9.500E+00
-9.7140e-04,9.100E+00
-9.7120e-04,9.100E+00
-9.7100e-04,9.100E+00
-9.7080e-04,9.100E+00
-9.7060e-04,9.300E+00
-9.7040e-04,9.300E+00
-9.7020e-04,9.300E+00
-9.7000e-04,9.100E+00
-9.6980e-04,9.100E+00
-9.6960e-04,9.300E+00
-9.6940e-04,9.100E+00
-9.6920e-04,9.100E+00
-9.6900e-04,9.300E+00
-9.6880e-04,9.100E+00
-9.6860e-04,9.100E+00
-9.6840e-04,9.300E+00
-9.6820e-04,8.900E+00
-9.6800e-04,9.300E+00
-9.6780e-04,9.300E+00
-9.6760e-04,9.100E+00
-9.6740e-04,9.300E+00
-9.6720e-04,9.100E+00
-9.6700e-04,9.100E+00
-9.6680e-04,9.100E+00
-9.6660e-04,9.100E+00
-9.6640e-04,9.300E+00
-9.6620e-04,9.100E+00
-9.6600e-04,9.300E+00
-9.6580e-04,9.100E+00
-9.6560e-04,9.300E+00
-9.6540e-04,9.100E+00
-9.6520e-04,9.300E+00
-9.6500e-04,9.100E+00
-9.6480e-04,9.300E+00
-9.6460e-04,9.300E+00
-9.6440e-04,9.300E+00
-9.6420e-04,9.300E+00
-9.6400e-04,9.100E+00
-9.6380e-04,9.100E+00
-9.6360e-04,9.100E+00
-9.6340e-04,9.300E+00
-9.6320e-04,9.100E+00
-9.6300e-04,9.300E+00
-9.6280e-04,9.100E+00
-9.6260e-04,9.300E+00
-9.6240e-04,9.100E+00
-9.6220e-04,9.100E+00
-9.6200e-04,9.100E+00
-9.6180e-04,9.300E+00
-9.6160e-04,9.100E+00
-9.6140e-04,9.100E+00
-9.6120e-04,9.100E+00
-9.6100e-04,9.300E+00
-9.6080e-04,9.300E+00
-9.6060e-04,9.300E+00
-9.6040e-04,9.100E+00
-9.6020e-04,9.300E+00
-9.6000e-04,9.100E+00
-9.5980e-04,9.100E+00
-9.5960e-04,9.100E+00
-9.5940e-04,9.300E+00
-9.5920e-04,9.100E+00
-9.5900e-04,9.300E+00
-9.5880e-04,9.500E+00
-9.5860e-04,9.300E+00
-9.5840e-04,9.100E+00
-9.5820e-04,9.100E+00
-9.5800e-04,9.300E+00
-9.5780e-04,8.900E+00
-9.5760e-04,9.100E+00
-9.5740e-04,9.500E+00
-9.5720e-04,9.300E+00
-9.5700e-04,9.100E+00
-9.5680e-04,9.100E+00
-9.5660e-04,9.100E+00
-9.5640e-04,9.300E+00
-9.5620e-04,9.100E+00
-9.5600e-04,9.300E+00
-9.5580e-04,9.100E+00
-9.5560e-04,9.300E+00
-9.5540e-04,9.300E+00
-9.5520e-04,9.100E+00
-9.5500e-04,9.500E+00
-9.5480e-04,9.300E+00
-9.5460e-04,9.300E+00
-9.5440e-04,9.100E+00
-9.5420e-04,9.100E+00
-9.5400e-04,8.900E+00
-9.5380e-04,9.100E+00
-9.5360e-04,9.100E+00
-9.5340e-04,9.100E+00
-9.5320e-04,9.300E+00
-9.5300e-04,9.100E+00
-9.5280e-04,9.100E+00
-9.5260e-04,8.900E+00
-9.5240e-04,9.100E+00
-9.5220e-04,9.100E+00
-9.5200e-04,9.100E+00
-9.5180e-04,9.300E+00
-9.5160e-04,9.100E+00
-9.5140e-04,9.300E+00
-9.5120e-04,9.100E+00
-9.5100e-04,9.300E+00
-9.5080e-04,9.300E+00
-9.5060e-04,9.100E+00
-9.5040e-04,9.100E+00
-9.5020e-04,9.100E+00
-9.5000e-04,9.300E+00
-9.4980e-04,9.100E+00
-9.4960e-04,9.100E+00
-9.4940e-04,9.100E+00
-9.4920e-04,9.100E+00
-9.4900e-04,9.100E+00
-9.4880e-04,9.300E+00
-9.4860e-04,9.500E+00
-9.4840e-04,8.900E+00
-9.4820e-04,9.300E+00
-9.4800e-04,9.100E+00
-9.4780e-04,9.100E+00
-9.4760e-04,9.300E+00
-9.4740e-04,9.100E+00
-9.4720e-04,9.100E+00
-9.4700e-04,9.300E+00
-9.4680e-04,9.300E+00
-9.4660e-04,9.500E+00
-9.4640e-04,8.900E+00
-9.4620e-04,9.100E+00
-9.4600e-04,9.100E+00
-9.4580e-04,9.100E+00
-9.4560e-04,9.100E+00
-9.4540e-04,9.100E+00
-9.4520e-04,9.100E+00
-9.4500e-04,9.300E+00
-9.4480e-04,9.100E+00
-9.4460e-04,9.100E+00
-9.4440e-04,9.100E+00
-9.4420e-04,9.300E+00
-9.4400e-04,9.100E+00
-9.4380e-04,9.300E+00
-9.4360e-04,9.300E+00
-9.4340e-04,9.100E+00
-9.4320e-04,9.100E+00
-9.4300e-04,9.100E+00
-9.4280e-04,9.100E+00
-9.4260e-04,9.300E+00
-9.4240e-04,9.300E+00
-9.4220e-04,9.100E+00
-9.4200e-04,9.300E+00
-9.4180e-04,9.300E+00
-9.4160e-04,9.100E+00
-9.4140e-04,9.300E+00
-9.4120e-04,9.100E+00
-9.4100e-04,9.100E+00
-9.4080e-04,9.100E+00
-9.4060e-04,9.300E+00
-9.4040e-04,9.300E+00
-9.4020e-04,8.900E+00
-9.4000e-04,9.300E+00
-9.3980e-04,9.100E+00
-9.3960e-04,9.100E+00
-9.3940e-04,9.300E+00
-9.3920e-04,9.100E+00
-9.3900e-04,9.100E+00
-9.3880e-04,9.300E+00
-9.3860e-04,9.300E+00
-9.3840e-04,9.100E+00
-9.3820e-04,9.100E+00
-9.3800e-04,9.300E+00
-9.3780e-04,9.100E+00
-9.3760e-04,9.100E+00
-9.3740e-04,9.100E+00
-9.3720e-04,9.300E+00
-9.3700e-04,8.900E+00
-9.3680e-04,9.100E+00
-9.3660e-04,9.300E+00
-9.3640e-04,9.100E+00
-9.3620e-04,9.500E+00
-9.3600e-04,9.300E+00
-9.3580e-04,9.100E+00
-9.3560e-04,8.900E+00
-9.3540e-04,9.100E+00
-9.3520e-04,9.300E+00
-9.3500e-04,9.100E+00
-9.3480e-04,9.300E+00
-9.3460e-04,9.100E+00
-9.3440e-04,9.300E+00
-9.3420e-04,9.100E+00
-9.3400e-04,9.100E+00
-9.3380e-04,8.900E+00
-9.3360e-04,9.300E+00
-9.3340e-04,9.100E+00
-9.3320e-04,9.100E+00
-9.3300e-04,8.900E+00
-9.3280e-04,9.100E+00
-9.3260e-04,8.900E+00
-9.3240e-04,9.300E+00
-9.3220e-04,9.300E+00
-9.3200e-04,9.100E+00
-9.3180e-04,9.300E+00
-9.3160e-04,9.100E+00
-9.3140e-04,9.300E+00
-9.3120e-04,9.100E+00
-9.3100e-04,9.300E+00
-9.3080e-04,9.100E+00
-9.3060e-04,9.300E+00
-9.3040e-04,9.300E+00
-9.3020e-04,9.100E+00
-9.3000e-04,9.100E+00
-9.2980e-04,9.300E+00
-9.2960e-04,9.100E+00
-9.2940e-04,9.500E+00
-9.2920e-04,9.300E+00
-9.2900e-04,9.300E+00
-9.2880e-04,9.500E+00
-9.2860e-04,9.100E+00
-9.2840e-04,9.100E+00
-9.2820e-04,9.300E+00
-9.2800e-04,9.300E+00
-9.2780e-04,9.100E+00
-9.2760e-04,9.300E+00
-9.2740e-04,9.100E+00
-9.2720e-04,8.900E+00
-9.2700e-04,9.300E+00
-9.2680e-04,9.300E+00
-9.2660e-04,9.300E+00
-9.2640e-04,9.100E+00
-9.2620e-04,9.100E+00
-9.2600e-04,9.300E+00
-9.2580e-04,9.100E+00
-9.2560e-04,9.300E+00
-9.2540e-04,8.900E+00
-9.2520e-04,9.300E+00
-9.2500e-04,9.100E+00
-9.2480e-04,9.100E+00
-9.2460e-04,9.100E+00
-9.2440e-04,9.100E+00
-9.2420e-04,9.300E+00
-9.2400e-04,9.300E+00
-9.2380e-04,9.500E+00
-9.2360e-04,9.300E+00
-9.2340e-04,9.300E+00
-9.2320e-04,9.100E+00
-9.2300e-04,9.300E+00
