time,V(v_out)
0.000000000000000e+000,-8.477222e+000
3.248733025561744e-004,-8.477219e+000
6.961570769060885e-004,-8.477209e+000
1.096157076906090e-003,-8.477194e+000
1.496157076906091e-003,-8.477171e+000
1.896157076906092e-003,-8.477142e+000
2.296157076906093e-003,-8.477108e+000
2.696157076906094e-003,-8.477068e+000
3.096157076906095e-003,-8.477023e+000
3.496157076906096e-003,-8.476974e+000
3.896157076906097e-003,-8.476921e+000
4.296157076906098e-003,-8.476866e+000
4.696157076906099e-003,-8.476444e+000
5.270482896028619e-003,-8.467775e+000
5.566178578136738e-003,-8.438643e+000
5.684057859996729e-003,-8.397825e+000
5.687741587554855e-003,-8.394496e+000
5.695109042671103e-003,-8.383043e+000
5.696950906450164e-003,-8.378921e+000
5.700634634008290e-003,-8.367873e+000
5.701178052010526e-003,-8.365716e+000
5.702264888014993e-003,-8.359836e+000
5.703573335181657e-003,-8.350183e+000
5.704485217106939e-003,-8.339971e+000
5.705098941453796e-003,-8.328923e+000
5.705498137435979e-003,-8.317114e+000
5.705787069158894e-003,-8.302847e+000
5.706012778908635e-003,-8.283810e+000
5.706214330823890e-003,-8.254069e+000
5.706429132365288e-003,-8.199962e+000
5.706658010031000e-003,-8.102638e+000
5.706929909514481e-003,-7.908274e+000
5.707200627445636e-003,-7.578362e+000
5.707473725846162e-003,-7.007077e+000
5.707748486739075e-003,-6.021216e+000
5.708039945372265e-003,-4.284598e+000
5.708334206293540e-003,-1.719873e+000
5.708497111618166e-003,1.000751e-001
5.708670242138298e-003,2.271689e+000
5.708827074530944e-003,4.280742e+000
5.708992523542976e-003,6.228478e+000
5.709210687554117e-003,8.249795e+000
5.709248861048486e-003,8.403293e+000
5.709798672126209e-003,8.431184e+000
5.710348483203933e-003,8.453173e+000
5.710898294281656e-003,8.469259e+000
5.711448105359379e-003,8.479443e+000
5.711997916437102e-003,8.483724e+000
5.712547727514826e-003,8.482102e+000
5.713097538592549e-003,8.474577e+000
5.963846058962675e-003,8.475756e+000
6.214594579332802e-003,8.476642e+000
6.465343099702928e-003,8.477234e+000
6.716091620073054e-003,8.477532e+000
6.966840140443180e-003,8.477536e+000
7.217588660813306e-003,8.477247e+000
7.468337181183431e-003,8.476664e+000
7.868337181183432e-003,8.476664e+000
8.268337181183433e-003,8.476664e+000
8.668337181183435e-003,8.476664e+000
9.068337181183436e-003,8.476664e+000
9.468337181183437e-003,8.476664e+000
9.868337181183438e-003,8.476664e+000
1.025103978262062e-002,8.476664e+000
1.065103978262062e-002,8.476664e+000
1.105103978262062e-002,8.476664e+000
1.145103978262062e-002,8.476664e+000
1.185103978262063e-002,8.476664e+000
1.225103978262063e-002,8.476664e+000
1.265103978262063e-002,8.476664e+000
1.305103978262063e-002,8.476664e+000
1.345103978262063e-002,8.476664e+000
1.385103978262063e-002,8.476664e+000
1.425103978262063e-002,8.476664e+000
1.465103978262063e-002,8.476501e+000
1.505103978262063e-002,8.474421e+000
1.513292816857979e-002,8.475771e+000
1.521481655453895e-002,8.474503e+000
1.529670494049811e-002,8.470617e+000
1.537859332645727e-002,8.464113e+000
1.546048171241643e-002,8.454991e+000
1.554237009837559e-002,8.443251e+000
1.562425848433475e-002,8.428893e+000
1.566899002931123e-002,8.409860e+000
1.568017291555535e-002,8.398123e+000
1.570253868804359e-002,8.356292e+000
1.570288424115514e-002,8.354696e+000
1.570357534737823e-002,8.349047e+000
1.570435224877935e-002,8.340307e+000
1.570494592549072e-002,8.330255e+000
1.570535455805009e-002,8.319147e+000
1.570567036976552e-002,8.304948e+000
1.570590863283023e-002,8.286604e+000
1.570611474371426e-002,8.258698e+000
1.570632582356454e-002,8.209404e+000
1.570655596763709e-002,8.118754e+000
1.570681856729251e-002,7.944365e+000
1.570709522807049e-002,7.632391e+000
1.570736348184603e-002,7.112339e+000
1.570764096208299e-002,6.190420e+000
1.570792567037104e-002,4.609380e+000
1.570821862122322e-002,2.188987e+000
1.570839186355708e-002,3.157156e-001
1.570854871135344e-002,-1.630086e+000
1.570871960188978e-002,-3.825173e+000
1.570890296851417e-002,-6.142736e+000
1.570908560304163e-002,-7.647802e+000
1.570945087209654e-002,-8.421484e+000
1.571122910200533e-002,-8.469108e+000
1.571490577492511e-002,-8.473326e+000
1.571858244784489e-002,-8.476508e+000
1.572225912076468e-002,-8.478654e+000
1.572593579368446e-002,-8.479763e+000
1.572961246660424e-002,-8.479835e+000
1.573328913952402e-002,-8.478872e+000
1.573696581244381e-002,-8.476871e+000
1.593786998974709e-002,-8.476899e+000
1.613877416705038e-002,-8.476926e+000
1.633967834435367e-002,-8.476952e+000
1.654058252165696e-002,-8.476978e+000
1.674148669896024e-002,-8.477002e+000
1.694239087626353e-002,-8.477026e+000
1.714329505356682e-002,-8.477050e+000
1.754329505356682e-002,-8.477093e+000
1.794329505356682e-002,-8.477129e+000
1.834329505356681e-002,-8.477160e+000
1.874329505356681e-002,-8.477186e+000
1.914329505356681e-002,-8.477204e+000
1.954329505356681e-002,-8.477217e+000
