time,V(n002)
0.000000000000000e+000,-4.000000e+000
3.424765851574429e-004,-3.969378e+000
7.338783967659503e-004,-3.879138e+000
1.133878396765951e-003,-3.734109e+000
1.533878396765952e-003,-3.530522e+000
1.933878396765953e-003,-3.271257e+000
2.333878396765955e-003,-2.960403e+000
2.733878396765956e-003,-2.602861e+000
3.133878396765957e-003,-2.204271e+000
3.533878396765958e-003,-1.770917e+000
3.933878396765959e-003,-1.309636e+000
4.333878396765960e-003,-8.277005e-001
4.733878396765961e-003,-3.327119e-001
5.133878396765962e-003,1.675239e-001
5.533878396765963e-003,6.651176e-001
5.933878396765964e-003,1.152222e+000
6.333878396765965e-003,1.621155e+000
6.733878396765966e-003,2.064522e+000
7.133878396765967e-003,2.478782e+000
7.397617111036939e-003,2.730859e+000
7.686026956403351e-003,2.983047e+000
7.957257900166551e-003,3.203487e+000
8.196739570836945e-003,3.375083e+000
8.199544989895238e-003,3.377004e+000
8.205155828011828e-003,3.380774e+000
8.216377504245007e-003,3.388294e+000
8.217618053594281e-003,3.389122e+000
8.220099152292829e-003,3.390778e+000
8.220548000807536e-003,3.391077e+000
8.221445697836949e-003,3.391675e+000
8.222685148621321e-003,3.392501e+000
8.223527656853295e-003,3.393061e+000
8.224094845798658e-003,3.393439e+000
8.224524168113576e-003,3.393724e+000
8.224843665729453e-003,3.393937e+000
8.225100734161290e-003,3.394108e+000
8.225313069489926e-003,3.394249e+000
8.225472156048071e-003,3.394355e+000
8.225587656250338e-003,3.394432e+000
8.225677316437682e-003,3.394491e+000
8.225755899993064e-003,3.394543e+000
8.225835183622163e-003,3.394596e+000
8.225923757560261e-003,3.394655e+000
8.226016535189340e-003,3.394717e+000
8.226121409750563e-003,3.394786e+000
8.226222049904794e-003,3.394853e+000
8.226336007495300e-003,3.394929e+000
8.226396545490684e-003,3.394969e+000
8.226448312247822e-003,3.395004e+000
8.226574533248605e-003,3.395087e+000
8.226891266780122e-003,3.395298e+000
8.227216433788161e-003,3.395514e+000
8.227686681433834e-003,3.395826e+000
8.227696488669889e-003,3.395833e+000
8.228120597843801e-003,3.396114e+000
8.228544707017711e-003,3.396396e+000
8.228968816191623e-003,3.396677e+000
8.229392925365535e-003,3.396959e+000
8.229817034539446e-003,3.397240e+000
8.230241143713356e-003,3.397521e+000
8.230665252887268e-003,3.397803e+000
8.277290755681161e-003,3.428297e+000
8.323916258475055e-003,3.457843e+000
8.370541761268948e-003,3.486443e+000
8.417167264062839e-003,3.514096e+000
8.463792766856732e-003,3.540801e+000
8.510418269650625e-003,3.566559e+000
8.557043772444518e-003,3.591371e+000
8.878714066235322e-003,3.742436e+000
9.278714066235323e-003,3.882377e+000
9.678714066235324e-003,3.965939e+000
1.002816653219644e-002,3.988896e+000
1.034586385536683e-002,3.963968e+000
1.074586385536683e-002,3.875350e+000
1.114586385536683e-002,3.728850e+000
1.154586385536683e-002,3.523545e+000
1.194586385536683e-002,3.262670e+000
1.234586385536683e-002,2.950342e+000
1.274586385536683e-002,2.591485e+000
1.314586385536683e-002,2.191758e+000
1.354586385536684e-002,1.757466e+000
1.394586385536684e-002,1.295458e+000
1.434586385536684e-002,8.130200e-001
1.474586385536684e-002,3.177600e-001
1.514586385536684e-002,-1.825114e-001
1.554586385536684e-002,-6.799043e-001
1.594586385536684e-002,-1.166575e+000
1.634586385536684e-002,-1.634848e+000
1.674586385536684e-002,-2.077338e+000
