time	V(vref)	V(n001)	V(n002)	V(n003)
0.000000000000000e+000	-1.000000e+000	-8.477293e+000	-8.477285e+000	-5.000000e+000
1.279999975979861e-006	-1.000000e+000	-8.477278e+000	-8.477285e+000	-4.744000e+000
2.559999951959721e-006	-1.000000e+000	-8.477258e+000	-8.477285e+000	-4.488000e+000
3.839999927939582e-006	-1.000000e+000	-8.477235e+000	-8.477285e+000	-4.232000e+000
5.119999903919443e-006	-1.000000e+000	-8.477209e+000	-8.477285e+000	-3.976000e+000
6.399999879899303e-006	-1.000000e+000	-8.477178e+000	-8.477285e+000	-3.720000e+000
7.679999855879165e-006	-1.000000e+000	-8.477143e+000	-8.477285e+000	-3.464000e+000
8.959999831859022e-006	-1.000000e+000	-8.477105e+000	-8.477285e+000	-3.208000e+000
1.579593733185902e-005	-1.000000e+000	-8.475654e+000	-8.477284e+000	-1.840813e+000
1.775830655549118e-005	-1.000000e+000	-8.471668e+000	-8.477284e+000	-1.448339e+000
1.923564393517824e-005	-1.000000e+000	-8.462460e+000	-8.477284e+000	-1.152871e+000
2.007163052326853e-005	-1.000000e+000	-8.450307e+000	-8.477284e+000	-9.856739e-001
2.087973951257577e-005	-1.000000e+000	-7.485577e+000	-8.477281e+000	-8.240521e-001
2.201138284933394e-005	-1.000000e+000	-2.573894e+000	-8.477256e+000	-5.977234e-001
2.285553025053050e-005	-1.000000e+000	3.240674e+000	-8.477196e+000	-4.288940e-001
2.365894471699022e-005	-1.000000e+000	8.399899e+000	-8.477088e+000	-2.682111e-001
2.367195282971789e-005	-1.000000e+000	8.435289e+000	-8.477085e+000	-2.656094e-001
2.471946255698934e-005	-1.000000e+000	8.452848e+000	-8.476752e+000	-5.610749e-002
2.576697228426079e-005	-1.000000e+000	8.466498e+000	-8.476227e+000	1.533945e-001
2.681448201153224e-005	-1.000000e+000	8.476239e+000	-8.475511e+000	3.628964e-001
2.786199173880369e-005	-1.000000e+000	8.482071e+000	-8.474604e+000	5.723983e-001
2.890950146607514e-005	-1.000000e+000	8.483994e+000	-8.473505e+000	7.819003e-001
2.995701119334659e-005	-1.000000e+000	8.482008e+000	-8.472214e+000	9.914022e-001
3.100452092061804e-005	-1.000000e+000	8.476112e+000	-8.470733e+000	1.200904e+000
4.046503670648470e-005	-1.000000e+000	8.470558e+000	-8.449236e+000	3.093007e+000
4.247529360725686e-005	-1.000000e+000	3.239789e+000	-8.442939e+000	3.495059e+000
4.373270920758226e-005	-1.000000e+000	-8.386271e+000	-8.438681e+000	3.746542e+000
4.375250309629739e-005	-1.000000e+000	-8.517813e+000	-8.438612e+000	3.750501e+000
5.000000000000000e-005	-1.000000e+000	-8.516235e+000	-8.416728e+000	5.000000e+000
5.651142466603522e-005	-1.000000e+000	-8.514498e+000	-8.393951e+000	3.697715e+000
6.302284933207045e-005	-1.000000e+000	-8.511625e+000	-8.371262e+000	2.395430e+000
6.953427399810567e-005	-1.000000e+000	-8.507616e+000	-8.348661e+000	1.093145e+000
7.604569866414091e-005	-1.000000e+000	-8.502472e+000	-8.326147e+000	-2.091397e-001
8.255712333017614e-005	-1.000000e+000	-8.496193e+000	-8.303720e+000	-1.511425e+000
8.906854799621137e-005	-1.000000e+000	-8.488778e+000	-8.281381e+000	-2.813710e+000
9.557997266224658e-005	-1.000000e+000	-8.480227e+000	-8.259130e+000	-4.115994e+000
9.999999999999999e-005	-1.000000e+000	-8.477337e+000	-8.244083e+000	-5.000000e+000
1.173976995069557e-004	-1.000000e+000	-8.473433e+000	-8.185433e+000	-1.520460e+000
1.197539708710132e-004	-1.000000e+000	-8.456298e+000	-8.177560e+000	-1.049206e+000
1.206091007471860e-004	-1.000000e+000	-8.063712e+000	-8.174706e+000	-8.781798e-001
1.216577296375713e-004	-1.000000e+000	-5.900313e+000	-8.171201e+000	-6.684541e-001
1.226679810550507e-004	-1.000000e+000	-4.858952e+000	-8.167809e+000	-4.664038e-001
1.231440385750130e-004	-1.000000e+000	-8.457709e+000	-8.166200e+000	-3.711923e-001
1.257614222415325e-004	-1.000000e+000	-8.401363e+000	-8.157330e+000	1.522844e-001
1.280011432461407e-004	-1.000000e+000	-8.147809e+000	-8.149752e+000	6.002287e-001
1.431640625000002e-004	-1.000000e+000	-8.098224e+000	-8.098502e+000	3.632813e+000
1.500000000000002e-004	-1.000000e+000	-7.929907e+000	-8.075418e+000	5.000000e+000
1.506835937500002e-004	-1.000000e+000	-8.023676e+000	-8.073112e+000	4.863281e+000
1.520507812500002e-004	-1.000000e+000	-8.068446e+000	-8.068498e+000	4.589844e+000
1.557334613013230e-004	-1.000000e+000	-8.048704e+000	-8.056074e+000	3.853308e+000
1.594161413526459e-004	-1.000000e+000	-8.033353e+000	-8.043655e+000	3.116772e+000
1.630988214039687e-004	-1.000000e+000	-8.022394e+000	-8.031240e+000	2.380236e+000
1.667815014552916e-004	-1.000000e+000	-8.015827e+000	-8.018829e+000	1.643700e+000
1.704641815066145e-004	-1.000000e+000	-8.013652e+000	-8.006422e+000	9.071637e-001
1.741468615579373e-004	-1.000000e+000	-8.015868e+000	-7.994019e+000	1.706277e-001
1.778295416092601e-004	-1.000000e+000	-8.022477e+000	-7.981619e+000	-5.659083e-001
1.797526243907360e-004	-1.000000e+000	-8.124450e+000	-7.975149e+000	-9.505249e-001
1.813747590131347e-004	-1.000000e+000	-8.361070e+000	-7.969697e+000	-1.274952e+000
1.822096087439016e-004	-1.000000e+000	-8.430264e+000	-7.966896e+000	-1.441922e+000
1.855399259214589e-004	-1.000000e+000	-8.473385e+000	-7.955753e+000	-2.107985e+000
2.000000000000002e-004	-1.000000e+000	-8.477241e+000	-7.908099e+000	-5.000000e+000
2.025614264247339e-004	-1.000000e+000	-8.478044e+000	-7.899800e+000	-4.487715e+000
2.051228528494675e-004	-1.000000e+000	-8.478305e+000	-7.891538e+000	-3.975430e+000
2.076842792742012e-004	-1.000000e+000	-8.478023e+000	-7.883312e+000	-3.463144e+000
2.102457056989348e-004	-1.000000e+000	-8.477198e+000	-7.875123e+000	-2.950859e+000
2.128071321236685e-004	-1.000000e+000	-8.475830e+000	-7.866969e+000	-2.438574e+000
2.153685585484021e-004	-1.000000e+000	-8.473920e+000	-7.858852e+000	-1.926288e+000
2.179299849731358e-004	-1.000000e+000	-8.471466e+000	-7.850772e+000	-1.414003e+000
2.201964960766840e-004	-1.000000e+000	-8.446932e+000	-7.843669e+000	-9.607008e-001
2.210206994067602e-004	-1.000000e+000	-7.721220e+000	-7.841094e+000	-7.958601e-001
2.218141303959932e-004	-1.000000e+000	-4.735567e+000	-7.838613e+000	-6.371739e-001
2.224817700189009e-004	-1.000000e+000	3.412517e-001	-7.836509e+000	-5.036460e-001
2.230906274710680e-004	-1.000000e+000	5.858258e+000	-7.834567e+000	-3.818745e-001
2.234449090607026e-004	-1.000000e+000	8.385842e+000	-7.833420e+000	-3.110182e-001
2.234781229597309e-004	-1.000000e+000	8.420141e+000	-7.833311e+000	-3.043754e-001
2.237881193506612e-004	-1.000000e+000	8.437476e+000	-7.832284e+000	-2.423761e-001
2.238136351546940e-004	-1.000000e+000	8.115544e+000	-7.832200e+000	-2.372730e-001
2.238646667627594e-004	-1.000000e+000	4.659563e+000	-7.832029e+000	-2.270667e-001
2.239667299788903e-004	-1.000000e+000	-8.303562e+000	-7.831687e+000	-2.066540e-001
2.239685711991118e-004	-1.000000e+000	-8.435890e+000	-7.831681e+000	-2.062858e-001
2.241027172438251e-004	-1.000000e+000	-8.431625e+000	-7.831231e+000	-1.794566e-001
2.242368632885383e-004	-1.000000e+000	-8.409358e+000	-7.830781e+000	-1.526273e-001
2.243710093332516e-004	-1.000000e+000	-8.369088e+000	-7.830331e+000	-1.257981e-001
2.245051553779649e-004	-1.000000e+000	-8.310816e+000	-7.829881e+000	-9.896893e-002
2.246393014226782e-004	-1.000000e+000	-8.234541e+000	-7.829431e+000	-7.213972e-002
2.247734474673914e-004	-1.000000e+000	-8.140263e+000	-7.828982e+000	-4.531051e-002
2.249075935121047e-004	-1.000000e+000	-8.027983e+000	-7.828532e+000	-1.848130e-002
2.254793784950958e-004	-1.000000e+000	-7.836453e+000	-7.826616e+000	9.587570e-002
2.458090822387873e-004	-1.000000e+000	-7.758859e+000	-7.758575e+000	4.161817e+000
2.500000000000004e-004	-1.000000e+000	-7.825766e+000	-7.744565e+000	5.000000e+000
2.504190917761217e-004	-1.000000e+000	-7.771118e+000	-7.743164e+000	4.916182e+000
2.529336424328495e-004	-1.000000e+000	-7.734720e+000	-7.734762e+000	4.413271e+000
2.766637200597610e-004	-1.000000e+000	-7.680472e+000	-7.655571e+000	-3.327440e-001
2.786166400911366e-004	-1.000000e+000	-7.722012e+000	-7.649062e+000	-7.233280e-001
2.798290904465607e-004	-1.000000e+000	-7.811540e+000	-7.645024e+000	-9.658181e-001
2.807227881890801e-004	-1.000000e+000	-8.016541e+000	-7.642049e+000	-1.144558e+000
2.815747851947797e-004	-1.000000e+000	-8.283863e+000	-7.639216e+000	-1.314957e+000
2.825758731351958e-004	-1.000000e+000	-8.439384e+000	-7.635894e+000	-1.515175e+000
2.842025881948438e-004	-1.000000e+000	-8.456349e+000	-7.630513e+000	-1.840518e+000
2.858293032544919e-004	-1.000000e+000	-8.469453e+000	-7.625156e+000	-2.165861e+000
2.874560183141399e-004	-1.000000e+000	-8.478698e+000	-7.619822e+000	-2.491204e+000
2.890827333737879e-004	-1.000000e+000	-8.484082e+000	-7.614512e+000	-2.816547e+000
2.907094484334359e-004	-1.000000e+000	-8.485606e+000	-7.609226e+000	-3.141890e+000
2.923361634930840e-004	-1.000000e+000	-8.483269e+000	-7.603964e+000	-3.467233e+000
2.939628785527320e-004	-1.000000e+000	-8.477073e+000	-7.598725e+000	-3.792576e+000
3.000000000000004e-004	-1.000000e+000	-8.477231e+000	-7.579479e+000	-5.000000e+000
3.178936400355962e-004	-1.000000e+000	-8.472801e+000	-7.524485e+000	-1.421272e+000
3.205476870344617e-004	-1.000000e+000	-8.429975e+000	-7.516591e+000	-8.904626e-001
3.213807920310115e-004	-1.000000e+000	-7.175450e+000	-7.514125e+000	-7.238416e-001
3.220537997552238e-004	-1.000000e+000	-3.543481e+000	-7.512130e+000	-5.892401e-001
3.226817857543324e-004	-1.000000e+000	2.060765e+000	-7.510253e+000	-4.636428e-001
3.232482678631243e-004	-1.000000e+000	6.730252e+000	-7.508531e+000	-3.503464e-001
3.237062231293236e-004	-1.000000e+000	8.406362e+000	-7.507115e+000	-2.587554e-001
3.237852371994250e-004	-1.000000e+000	8.441679e+000	-7.506867e+000	-2.429526e-001
3.239432653396278e-004	-1.000000e+000	8.447412e+000	-7.506364e+000	-2.113469e-001
3.242593216200334e-004	-1.000000e+000	7.618474e+000	-7.505345e+000	-1.481357e-001
3.248914341808447e-004	-1.000000e+000	1.672812e+000	-7.503273e+000	-2.171316e-002
3.255110234627744e-004	-1.000000e+000	-8.383449e+000	-7.501217e+000	1.022047e-001
3.255219861786452e-004	-1.000000e+000	-8.487136e+000	-7.501181e+000	1.043972e-001
3.269032883783674e-004	-1.000000e+000	-8.468884e+000	-7.496567e+000	3.806577e-001
3.280542690049810e-004	-1.000000e+000	-8.233303e+000	-7.492737e+000	6.108538e-001
3.291169800811759e-004	-1.000000e+000	-7.781497e+000	-7.489208e+000	8.233960e-001
3.303845469238175e-004	-1.000000e+000	-7.485157e+000	-7.485003e+000	1.076909e+000
3.482784300193180e-004	-1.000000e+000	-7.424810e+000	-7.425717e+000	4.655686e+000
3.500000000000006e-004	-1.000000e+000	-7.339184e+000	-7.420018e+000	5.000000e+000
3.501721569980688e-004	-1.000000e+000	-7.390537e+000	-7.419449e+000	4.965569e+000
3.505164709942053e-004	-1.000000e+000	-7.418077e+000	-7.418309e+000	4.896706e+000
3.771104830566693e-004	-1.000000e+000	-7.356724e+000	-7.330414e+000	-4.220966e-001
3.785608305693220e-004	-1.000000e+000	-7.393281e+000	-7.325627e+000	-7.121661e-001
3.795896998001377e-004	-1.000000e+000	-7.456347e+000	-7.322233e+000	-9.179400e-001
3.804325908780414e-004	-1.000000e+000	-7.624435e+000	-7.319454e+000	-1.086518e+000
3.822745892563057e-004	-1.000000e+000	-8.326053e+000	-7.313395e+000	-1.454918e+000
