Freq.	Vvf3
1.00000000000000e+000	6.84831589102437e+000  1.79999943176939e+002
1.25892541179417e+000	6.84831589102276e+000  1.79999928464005e+002
1.58489319246111e+000	6.84831589102020e+000  1.79999909941518e+002
1.99526231496888e+000	6.84831589101614e+000  1.79999886623088e+002
2.51188643150958e+000	6.84831589100971e+000  1.79999857266924e+002
3.16227766016838e+000	6.84831589099951e+000  1.79999820309704e+002
3.98107170553497e+000	6.84831589098335e+000  1.79999773783320e+002
5.01187233627272e+000	6.84831589095775e+000  1.79999715210073e+002
6.30957344480194e+000	6.84831589091717e+000  1.79999641470724e+002
7.94328234724282e+000	6.84831589085285e+000  1.79999548638383e+002
1.00000000000000e+001	6.84831589075091e+000  1.79999431769391e+002
1.25892541179417e+001	6.84831589058935e+000  1.79999284640047e+002
1.58489319246111e+001	6.84831589033330e+000  1.79999099415176e+002
1.99526231496888e+001	6.84831588992748e+000  1.79998866230880e+002
2.51188643150958e+001	6.84831588928429e+000  1.79998572669244e+002
3.16227766016838e+001	6.84831588826492e+000  1.79998203097040e+002
3.98107170553498e+001	6.84831588664932e+000  1.79997737833201e+002
5.01187233627273e+001	6.84831588408877e+000  1.79997152100732e+002
6.30957344480194e+001	6.84831588003055e+000  1.79996414707242e+002
7.94328234724283e+001	6.84831587359873e+000  1.79995486383839e+002
1.00000000000000e+002	6.84831586340497e+000  1.79994317693920e+002
1.25892541179417e+002	6.84831584724896e+000  1.79992846400485e+002
1.58489319246112e+002	6.84831582164339e+000  1.79990994151798e+002
1.99526231496888e+002	6.84831578106131e+000  1.79988662308870e+002
2.51188643150958e+002	6.84831571674305e+000  1.79985726692579e+002
3.16227766016838e+002	6.84831561480549e+000  1.79982030970684e+002
3.98107170553498e+002	6.84831545324534e+000  1.79977378332581e+002
5.01187233627273e+002	6.84831519718976e+000  1.79971521008454e+002
6.30957344480194e+002	6.84831479136905e+000  1.79964147074686e+002
7.94328234724283e+002	6.84831414818665e+000  1.79954863842923e+002
1.00000000000000e+003	6.84831312881141e+000  1.79943176948234e+002
1.25892541179417e+003	6.84831151321097e+000  1.79928464022877e+002
1.58489319246112e+003	6.84830895265795e+000  1.79909941553952e+002
