Freq.	Vvf1
1.00000000000000e+000	-2.76336408588540e-004  -1.66240347286094e-005
1.25892541179417e+000	-2.76336408576003e-004  -2.09284197663955e-005
1.58489319246111e+000	-2.76336408547072e-004  -2.63473194726108e-005
1.99526231496888e+000	-2.76336408513320e-004  -3.31693100167300e-005
2.51188643150958e+000	-2.76336408449672e-004  -4.17576872717415e-005
3.16227766016838e+000	-2.76336408356129e-004  -5.25698136441525e-005
3.98107170553497e+000	-2.76336408201832e-004  -6.61814742899146e-005
5.01187233627272e+000	-2.76336407955921e-004  -8.33175397735885e-005
6.30957344480194e+000	-2.76336407578857e-004  -1.04890568069168e-004
7.94328234724282e+000	-2.76336406969382e-004  -1.32049401599856e-004
1.00000000000000e+001	-2.76336406002131e-004  -1.66240347286372e-004
1.25892541179417e+001	-2.76336404474588e-004  -2.09284197664511e-004
1.58489319246111e+001	-2.76336402057906e-004  -2.63473194727226e-004
1.99526231496888e+001	-2.76336398221689e-004  -3.31693100169525e-004
2.51188643150958e+001	-2.76336392136590e-004  -4.17576872721863e-004
3.16227766016838e+001	-2.76336382497830e-004  -5.25698136450389e-004
3.98107170553498e+001	-2.76336367225290e-004  -6.61814742916832e-004
5.01187233627273e+001	-2.76336343017007e-004  -8.33175397771172e-004
6.30957344480194e+001	-2.76336304662555e-004  -1.04890568076212e-003
7.94328234724283e+001	-2.76336243846273e-004  -1.32049401613906e-003
1.00000000000000e+002	-2.76336147478928e-004  -1.66240347314413e-003
1.25892541179417e+002	-2.76335994747742e-004  -2.09284197720458e-003
1.58489319246112e+002	-2.76335752664916e-004  -2.63473194838844e-003
1.99526231496888e+002	-2.76335369007565e-004  -3.31693100392238e-003
2.51188643150958e+002	-2.76334760945036e-004  -4.17576873166234e-003
3.16227766016838e+002	-2.76333797237832e-004  -5.25698137337032e-003
3.98107170553498e+002	-2.76332269861362e-004  -6.61814744685922e-003
5.01187233627273e+002	-2.76329849134366e-004  -8.33175401300978e-003
6.30957344480194e+002	-2.76326012544456e-004  -1.04890568780499e-002
7.94328234724283e+002	-2.76319931947149e-004  -1.32049403019146e-002
1.00000000000000e+003	-2.76310294860659e-004  -1.66240350118233e-002
1.25892541179417e+003	-2.76295021113376e-004  -2.09284203314811e-002
1.58489319246112e+003	-2.76270813862835e-004  -2.63473206001047e-002
1.99526231496888e+003	-2.76232447993969e-004  -3.31693122663761e-002
2.51188643150959e+003	-2.76171642270549e-004  -4.17576917603767e-002
3.16227766016839e+003	-2.76075271876456e-004  -5.25698226001558e-002
3.98107170553498e+003	-2.75922535589333e-004  -6.61814921594868e-002
5.01187233627273e+003	-2.75680466117715e-004  -8.33175754280676e-002
6.30957344480195e+003	-2.75296814932674e-004  -1.04890639209185e-001
7.94328234724283e+003	-2.74688776535067e-004  -1.32049543542782e-001
1.00000000000000e+004	-2.73725120056459e-004  -1.66240630499537e-001
1.25892541179417e+004	-2.72197876301590e-004  -2.09284762748394e-001
1.58489319246112e+004	-2.69777480758209e-004  -2.63474322215678e-001
1.99526231496889e+004	-2.65941720526113e-004  -3.31695349798048e-001
2.51188643150959e+004	-2.59863224351881e-004  -4.17581361299685e-001
3.16227766016839e+004	-2.50231401624625e-004  -5.25707092273597e-001
3.98107170553498e+004	-2.34970875715780e-004  -6.61832611921511e-001
5.01187233627274e+004	-2.10796841177285e-004  -8.33211050452826e-001
6.30957344480195e+004	-1.72514397522926e-004  -1.04897681509528e+000
7.94328234724284e+004	-1.11918229511134e-004  -1.32063594109147e+000
1.00000000000000e+005	-1.60742450933097e-005  -1.66268662945399e+000
1.25892541179417e+005	1.35339712624214e-004  -2.09340688125094e+000
1.58489319246112e+005	3.74087417032180e-004  -2.63585886790488e+000
1.99526231496889e+005	7.49393779050038e-004  -3.31917883204919e+000
2.51188643150959e+005	1.33646735132299e-003  -4.18025160983259e+000
3.16227766016839e+005	2.24744840924118e-003  -5.26591914108394e+000
3.98107170553499e+005	3.64232217807714e-003  -6.63595919709012e+000
