TIME  IN1  IN2
5  0.162354  4.267578
4.99  0.321045  4.266357
4.98  0.471802  -2.793579
4.971  0.632935  -4.56665
4.961  0.794678  -4.562378
4.951  0.95459  -4.539185
4.941  1.271973  -4.47937
4.932  1.428223  -4.451294
4.922  1.585693  -4.425049
4.912  1.743164  -4.400635
4.902  1.901245  -4.377441
4.893  2.214355  -4.334717
4.883  2.371826  -4.315796
4.873  2.528076  -4.298096
4.863  2.684937  -4.281616
4.854  2.841797  -4.265747
4.844  3.153687  -4.238281
4.834  3.309937  -4.224854
4.824  3.467407  -4.213257
4.814  3.623657  -4.20105
4.805  3.780518  -4.190674
4.795  4.093018  -4.171143
4.785  4.250488  -4.162598
4.775  4.408569  -4.154053
4.766  4.567871  -4.146729
4.756  4.725952  -4.138794
4.746  4.885254  -4.13269
4.736  4.676514  -4.115601
4.727  4.49646  -4.110107
4.717  4.318848  -4.104614
4.707  4.142456  -4.099121
4.697  3.966675  -4.094849
4.688  3.621826  -4.086914
4.678  3.449707  -4.082642
4.668  3.278198  -4.07959
4.658  3.1073  -4.075928
4.648  2.938232  -4.072876
4.639  2.603149  -4.066772
4.629  2.436523  -4.064331
4.619  2.270508  -4.0625
4.609  2.105713  -4.059448
4.6  1.940918  -4.057007
4.59  1.613159  -4.053345
4.58  1.449585  -4.051514
4.57  1.286011  -4.050293
4.561  1.123657  -4.048462
4.551  0.963745  -4.047241
4.541  0.639648  -4.0448
4.531  0.478516  -4.042969
4.521  0.317993  -4.042358
4.512  0.158081  -4.042358
4.502  -0.001221  -4.039307
4.492  -0.160522  -4.024658
4.482  -0.469971  4.616089
4.473  -0.633545  4.798584
4.463  -0.792847  4.783325
4.453  -0.952148  4.75708
4.443  -1.112061  4.726562
4.434  -1.428833  4.67041
4.424  -1.585083  4.643555
4.414  -1.742554  4.61853
4.404  -1.901245  4.595947
4.395  -2.058716  4.573975
4.385  -2.371826  4.535522
4.375  -2.529297  4.517822
4.365  -2.686157  4.500732
4.355  -2.843018  4.485474
4.346  -2.999878  4.471436
4.336  -3.311768  4.44458
4.326  -3.468628  4.433594
4.316  -3.625488  4.421387
4.307  -3.781738  4.411011
4.297  -3.937378  4.401855
4.287  -4.249268  4.382935
4.277  -4.404907  4.37561
4.268  -4.560547  4.368896
4.258  -4.716187  4.360962
4.248  -4.869385  4.354248
4.238  -4.863281  4.348755
4.229  -4.505005  4.336548
4.219  -4.327393  4.332886
4.209  -4.150391  4.326782
4.199  -3.97522  4.32251
4.189  -3.80188  4.318237
4.18  -3.457031  4.309692
4.17  -3.285522  4.307251
4.16  -3.115234  4.304199
4.15  -2.946777  4.300537
4.141  -2.779541  4.297485
4.131  -2.444458  4.291992
4.121  -2.278442  4.290161
4.111  -2.112427  4.28833
4.102  -1.949463  4.285889
4.092  -1.785278  4.282837
4.082  -1.45813  4.280396
4.072  -1.295166  4.277344
4.063  -1.134033  4.275513
4.053  -0.97229  4.275513
4.043  -0.810547  4.273682
4.033  -0.487671  4.271851
4.023  -0.327759  4.27002
4.014  -0.167847  4.268799
4.004  -0.009155  4.268799
3.994  0.150146  4.267578
3.984  0.308838  4.266357
3.975  0.621338  -4.56543
3.965  0.783081  -4.562988
3.955  0.942993  -4.539795
3.945  1.101074  -4.512329
3.936  1.259766  -4.482422
3.926  1.574707  -4.42688
3.916  1.732178  -4.401245
3.906  1.890259  -4.377441
3.896  2.04834  -4.356079
3.887  2.203979  -4.335938
3.877  2.5177  -4.298706
3.867  2.674561  -4.282227
3.857  2.830811  -4.266357
3.848  2.98645  -4.25293
3.838  3.141479  -4.238892
3.828  3.455811  -4.213257
3.818  3.612061  -4.20166
3.809  3.769531  -4.190674
3.799  3.925171  -4.181519
3.789  4.082031  -4.171753
3.779  4.398193  -4.154663
3.77  4.556885  -4.146729
3.76  4.714966  -4.139404
3.75  4.874878  -4.13269
3.74  4.877319  -4.125366
3.73  4.689331  -4.116211
3.721  4.331055  -4.104614
3.711  4.154053  -4.099731
3.701  3.978882  -4.095459
3.691  3.805542  -4.090576
3.682  3.634033  -4.086304
3.672  3.291016  -4.078979
3.662  3.120728  -4.075317
3.652  2.95105  -4.072266
3.643  2.783813  -4.069824
3.633  2.615967  -4.066162
3.623  2.282715  -4.06189
3.613  2.11731  -4.059448
3.604  1.952515  -4.057617
3.594  1.78894  -4.055176
3.584  1.625366  -4.053345
3.574  1.299438  -4.049683
3.564  1.135864  -4.047852
3.555  0.975952  -4.047241
3.545  0.814209  -4.046021
3.535  0.653076  -4.044189
3.525  0.330811  -4.041748
3.516  0.170898  -4.042358
3.506  0.010986  -4.039307
3.496  -0.148926  -4.025879
3.486  -0.307617  -3.782349
3.477  -0.457153  4.229126
3.467  -0.78125  4.785156
3.457  -0.941162  4.758911
3.447  -1.099854  4.729614
3.438  -1.257935  4.700928
3.428  -1.416016  4.672852
3.418  -1.730957  4.620972
3.408  -1.888428  4.598389
3.398  -2.045898  4.576416
3.389  -2.203979  4.555054
3.379  -2.359619  4.537964
3.369  -2.67334  4.503174
3.359  -2.830811  4.487915
3.35  -2.987061  4.473267
3.34  -3.1427  4.459229
3.33  -3.29834  4.447021
3.32  -3.613281  4.423218
3.311  -3.768921  4.412231
3.301  -3.924561  4.403687
3.291  -4.07959  4.393311
3.281  -4.23584  4.384155
3.271  -4.547119  4.368896
3.262  -4.703369  4.361572
3.252  -4.857178  4.355469
3.242  -4.873047  4.349365
3.232  -4.696045  4.342651
3.223  -4.517212  4.337158
3.213  -4.161987  4.327393
3.203  -3.986206  4.32312
3.193  -3.812256  4.319458
3.184  -3.640137  4.315186
3.174  -3.468628  4.310913
