TIME  IN1  IN2
5  0.103149  -4.082642
4.99  0.26062  -4.078979
4.98  0.419312  -4.075317
4.971  0.576782  -4.071655
4.961  0.736084  -4.067383
4.951  0.893555  -4.063721
4.941  1.209106  -4.057617
4.932  1.365967  -4.058228
4.922  1.522827  -4.050293
4.912  1.680298  -4.039917
4.902  1.837769  -4.024658
4.893  2.188721  4.554443
4.883  2.340088  4.877319
4.873  2.493896  4.864502
4.863  2.650146  4.841919
4.854  2.805786  4.816284
4.844  3.115845  4.763794
4.834  3.272705  4.741821
4.824  3.428345  4.721069
4.814  3.584595  4.701538
4.805  3.740845  4.683838
4.795  4.052734  4.655762
4.785  4.209595  4.644165
4.775  4.367065  4.637451
4.766  4.525146  4.63623
4.756  4.683228  4.68689
4.746  4.842529  4.833374
4.736  4.731445  4.75647
4.727  4.550781  4.597778
4.717  4.371948  4.546509
4.707  4.195557  4.525146
4.697  4.020386  4.508057
4.688  3.675537  4.47937
4.678  3.504639  4.467163
4.668  3.33374  4.456787
4.658  3.163452  4.44458
4.648  2.994385  4.434204
4.639  2.659912  4.415894
4.629  2.492676  4.406738
4.619  2.32666  4.398804
4.609  2.162476  4.391479
4.6  1.998291  4.383545
4.59  1.672363  4.370117
4.58  1.508789  4.362793
4.57  1.345825  4.356079
4.561  1.183472  4.350586
4.551  1.02356  4.345093
4.541  0.701904  4.333496
4.531  0.540161  4.328613
4.521  0.380249  4.32251
4.512  0.220337  4.317627
4.502  0.062256  4.314575
4.492  -0.097046  4.309082
4.482  -0.414429  4.301147
4.473  -0.57251  4.296875
4.463  -0.72998  4.291992
4.453  -0.888062  4.28894
4.443  -1.046143  4.284668
4.434  -1.362915  4.276733
4.424  -1.518555  4.273682
4.414  -1.676025  4.27002
4.404  -1.832886  4.265747
4.395  -1.990967  4.263916
4.385  -2.333374  -2.240601
4.375  -2.495728  -4.633789
4.365  -2.648315  -4.631348
4.355  -2.803955  -4.608765
4.346  -2.958984  -4.581299
4.336  -3.269043  -4.526367
4.326  -3.425903  -4.501343
4.316  -3.582764  -4.478149
4.307  -3.737793  -4.457397
4.297  -3.893433  -4.437256
4.287  -4.202881  -4.401245
4.277  -4.358521  -4.385376
4.268  -4.51416  -4.367065
4.258  -4.6698  -4.341431
4.248  -4.822998  -4.171143
4.238  -4.894409  -3.966064
4.229  -4.554443  -4.291382
4.219  -4.377441  -4.28772
4.209  -4.200439  -4.277344
4.199  -4.024658  -4.263916
4.189  -3.851318  -4.252319
4.18  -3.50769  -4.230347
4.17  -3.336182  -4.219971
4.16  -3.167114  -4.210205
4.15  -2.998047  -4.200439
4.141  -2.832031  -4.193115
4.131  -2.498169  -4.174805
4.121  -2.332153  -4.16748
4.111  -2.166748  -4.160156
4.102  -2.003174  -4.152832
4.092  -1.8396  -4.146729
4.082  -1.513672  -4.134521
4.072  -1.351318  -4.129028
4.063  -1.188965  -4.122314
4.053  -1.027832  -4.116211
4.043  -0.866699  -4.111328
