vg	V(vout)
-2.500000000000000e+000	-8.477116e+000
-2.400000000000000e+000	-8.477105e+000
-2.300000000000000e+000	-8.477096e+000
-2.200000000000000e+000	-8.477085e+000
-2.100000000000000e+000	-8.477075e+000
-2.000000000000000e+000	-8.477064e+000
-1.900000000000000e+000	-8.477054e+000
-1.799999999999999e+000	-8.477044e+000
-1.699999999999999e+000	-8.477034e+000
-1.599999999999999e+000	-8.477023e+000
-1.499999999999999e+000	-8.477013e+000
-1.399999999999999e+000	-8.477002e+000
-1.299999999999999e+000	-8.476993e+000
-1.199999999999999e+000	-8.476982e+000
-1.099999999999999e+000	-8.476972e+000
-9.999999999999988e-001	-8.476961e+000
-8.999999999999988e-001	-8.476951e+000
-7.999999999999988e-001	-8.476940e+000
-6.999999999999989e-001	-8.476930e+000
-5.999999999999989e-001	-8.476920e+000
-4.999999999999989e-001	-8.476910e+000
-3.999999999999989e-001	-8.476899e+000
-2.999999999999989e-001	-8.476889e+000
-1.999999999999989e-001	-8.476878e+000
-9.999999999999892e-002	-8.476868e+000
1.082467449009528e-015	-8.476857e+000
1.000000000000011e-001	-8.476847e+000
2.000000000000011e-001	-8.476836e+000
3.000000000000011e-001	-8.476827e+000
4.000000000000011e-001	-8.476816e+000
5.000000000000011e-001	-8.476806e+000
6.000000000000011e-001	-8.476795e+000
7.000000000000011e-001	-8.476785e+000
8.000000000000010e-001	-8.476774e+000
9.000000000000010e-001	-8.476516e+000
1.000000000000001e+000	-8.475471e+000
1.100000000000001e+000	-8.473702e+000
1.200000000000001e+000	-8.471178e+000
1.300000000000001e+000	-8.467816e+000
1.400000000000002e+000	-8.463414e+000
1.500000000000002e+000	-8.457571e+000
1.600000000000002e+000	-8.449450e+000
1.700000000000002e+000	-8.436506e+000
1.800000000000002e+000	-8.406933e+000
1.900000000000002e+000	8.476665e+000
2.000000000000002e+000	8.476674e+000
2.100000000000002e+000	8.476664e+000
2.200000000000002e+000	8.476664e+000
2.300000000000002e+000	8.476664e+000
2.400000000000002e+000	8.476664e+000
2.500000000000000e+000	8.476664e+000
