TIME  IN1  IN2
100  3.079834  -0.979004
99.805  2.922363  -0.910645
99.609  2.849121  -0.814209
99.414  2.832031  -0.721436
99.219  2.825928  -0.631104
99.023  2.824707  -0.540771
98.828  2.827148  -0.45166
98.633  2.82959  -0.362549
98.438  2.825928  -0.2771
98.242  2.825928  -0.19165
98.047  2.825928  -0.107422
97.852  2.824707  -0.023193
97.656  2.825928  0.059814
97.461  2.825928  0.142822
97.266  2.824707  0.223389
97.07  2.824707  0.302734
96.875  2.824707  0.380859
96.68  2.825928  0.452881
96.484  2.827148  0.506592
96.289  2.825928  0.531006
96.094  2.825928  0.539551
95.898  2.827148  0.540771
95.703  2.827148  0.540771
95.508  2.825928  0.540771
95.313  2.823486  0.539551
95.117  2.823486  0.540771
94.922  2.825928  0.540771
94.727  2.827148  0.540771
94.531  2.825928  0.540771
94.336  2.825928  0.540771
94.141  2.825928  0.541992
93.945  2.825928  0.541992
93.75  2.825928  0.541992
93.555  2.825928  0.540771
93.359  2.825928  0.540771
93.164  2.824707  0.540771
92.969  2.823486  0.540771
92.773  2.824707  0.540771
92.578  2.824707  0.540771
92.383  2.825928  0.540771
92.188  2.82959  0.541992
91.992  2.830811  0.543213
91.797  2.827148  0.541992
91.602  2.825928  0.541992
91.406  2.825928  0.541992
91.211  2.827148  0.541992
91.016  2.827148  0.541992
90.82  2.827148  0.541992
90.625  2.825928  0.541992
90.43  2.825928  0.540771
90.234  2.822266  0.540771
90.039  2.822266  0.540771
89.844  2.823486  0.540771
89.648  2.823486  0.540771
89.453  2.824707  0.540771
89.258  2.825928  0.541992
89.063  2.827148  0.541992
88.867  2.827148  0.541992
88.672  2.824707  0.540771
88.477  2.825928  0.541992
88.281  2.828369  0.541992
88.086  2.828369  0.541992
87.891  2.82959  0.543213
87.695  2.827148  0.541992
87.5  2.827148  0.541992
87.305  2.82959  0.543213
87.109  2.82959  0.541992
86.914  2.828369  0.541992
86.719  2.828369  0.541992
86.523  2.827148  0.540771
86.328  2.827148  0.541992
86.133  2.827148  0.541992
85.938  2.827148  0.541992
85.742  2.827148  0.541992
85.547  2.82959  0.543213
85.352  2.833252  0.543213
85.156  2.82959  0.541992
84.961  2.828369  0.541992
84.766  2.827148  0.541992
84.57  2.82959  0.541992
84.375  2.830811  0.541992
84.18  2.828369  0.541992
83.984  -3.052979  0.476074
83.789  -2.845459  0.380859
83.594  -2.797852  0.296631
83.398  -2.785645  0.214844
83.203  -2.783203  0.134277
83.008  -2.781982  0.053711
82.813  -2.781982  -0.025635
82.617  -2.784424  -0.10498
82.422  -2.786865  -0.183105
82.227  -2.789307  -0.26123
82.031  -2.792969  -0.336914
81.836  -2.789307  -0.410156
81.641  -2.786865  -0.484619
81.445  -2.786865  -0.556641
81.25  -2.789307  -0.629883
81.055  -2.789307  -0.701904
80.859  -2.788086  -0.772705
80.664  -2.786865  -0.843506
80.469  -2.786865  -0.913086
80.273  -2.783203  -0.981445
80.078  -2.783203  -1.026611
79.883  2.994385  -0.950928
79.688  2.86499  -0.853271
79.492  2.835693  -0.758057
79.297  2.827148  -0.666504
79.102  2.824707  -0.576172
