time	V(tr)	V(vc)
0.000000000000000e+000	3.000000e+000	6.309151e-001
1.599000000000000e-002	3.000000e+000	6.309151e-001
1.599031758639579e-002	2.809448e+000	6.309151e-001
1.599095275918737e-002	2.428344e+000	6.309151e-001
1.599124429072601e-002	2.253426e+000	6.309150e-001
1.599147601425610e-002	2.114392e+000	6.309149e-001
1.599168508776147e-002	1.988947e+000	6.309149e-001
1.599190289182903e-002	1.858265e+000	6.309147e-001
1.599212033441823e-002	1.727799e+000	6.309144e-001
1.599244390378884e-002	1.533658e+000	6.309112e-001
1.599279498572186e-002	1.323009e+000	6.308848e-001
1.599325151637513e-002	1.049090e+000	6.307890e-001
1.599350273443679e-002	8.983594e-001	6.306849e-001
1.599385536375475e-002	6.867818e-001	6.304635e-001
1.599431862135598e-002	4.088272e-001	6.301156e-001
1.599438066056117e-002	3.716037e-001	6.300653e-001
1.599475289579229e-002	1.482625e-001	6.297563e-001
1.599524920943379e-002	-1.495257e-001	6.293470e-001
1.599811847714652e-002	-1.871086e+000	6.270308e-001
1.600000000000000e-002	-3.000000e+000	6.255537e-001
1.600153893138357e-002	-3.000000e+000	6.243815e-001
1.600307786276713e-002	-3.000000e+000	6.232288e-001
1.600461679415070e-002	-3.000000e+000	6.220954e-001
1.600615572553427e-002	-3.000000e+000	6.209816e-001
1.600769465691784e-002	-3.000000e+000	6.198871e-001
1.600923358830140e-002	-3.000000e+000	6.188121e-001
1.601077251968497e-002	-3.000000e+000	6.177565e-001
1.601817683588406e-002	-3.000000e+000	6.128622e-001
1.603298546828223e-002	-3.000000e+000	6.038706e-001
1.606260273307858e-002	-3.000000e+000	5.876215e-001
1.612183726267128e-002	-3.000000e+000	5.581118e-001
1.622047007517128e-002	-3.000000e+000	5.120211e-001
1.631910288767128e-002	-3.000000e+000	4.673486e-001
1.641773570017128e-002	-3.000000e+000	4.232672e-001
1.651636851267128e-002	-3.000000e+000	3.794670e-001
