TIME  IN1  IN2  OUT1
5  0.550537  -3.370972  -0.5
4.99  0.552368  -3.377075  0.5
4.98  0.550537  -3.372192  0.5
4.971  0.545654  -3.366089  0.5
4.961  0.541382  -3.360596  0.5
4.951  0.53833  -3.353882  0.5
4.941  0.531006  -3.344727  0.5
4.932  0.527954  -3.340454  0.5
4.922  0.524292  -3.338013  0.5
4.912  0.521851  -3.334961  0.5
4.902  0.519409  -3.33313  0.5
4.893  0.513916  -3.336182  0.5
4.883  0.512085  -3.334351  0.5
4.873  0.509644  -3.33374  0.5
4.863  0.508423  -3.33252  0.5
4.854  0.506592  -3.33252  0.5
4.844  0.50293  -3.33252  0.5
4.834  0.501709  -3.331299  0.5
4.824  0.500488  -3.331299  0.5
4.814  0.499268  -3.331299  0.5
4.805  0.497437  -3.331909  0.5
4.795  0.495605  -3.330688  0.5
4.785  0.494995  -3.328857  0.5
4.775  0.493164  -3.328247  0.5
4.766  0.492554  -3.325195  0.5
4.756  0.491943  -3.320923  0.5
4.746  0.491333  -3.310547  0.5
4.736  0.496826  -1.085815  0.5
4.727  0.502319  1.517334  0.5
4.717  0.501709  2.315674  0.5
4.707  0.494995  1.056519  0.5
4.697  0.489502  -0.706177  0.5
4.688  0.492554  -0.510864  0.5
4.678  0.494995  0.655518  0.5
4.668  0.494385  1.052856  0.5
4.658  0.491943  0.542603  0.5
4.648  0.489502  -0.222168  0.5
4.639  0.489502  -0.198975  0.5
4.629  0.490723  0.286255  0.5
4.619  0.490723  0.470581  0.5
4.609  0.489502  0.281372  0.5
4.6  0.488281  -0.065308  0.5
4.59  0.488281  -0.076904  0.5
4.58  0.488892  0.147705  0.5
4.57  0.488281  0.247803  0.5
4.561  0.487671  0.125122  0.5
4.551  0.487061  -0.029297  0.5
4.541  0.487671  0.007324  0.5
4.531  0.487671  0.106812  0.5
4.521  0.487061  0.119629  0.5
4.512  0.48645  0.042725  0.5
4.502  0.263672  0.869141  0.5
4.492  -0.557861  3.643799  -0.5
4.482  -0.557251  3.659058  -0.5
4.473  -0.554199  3.651733  -0.5
4.463  -0.550537  3.644409  -0.5
4.453  -0.546265  3.637085  -0.5
4.443  -0.541382  3.629761  -0.5
4.434  -0.535889  3.618774  -0.5
4.424  -0.532227  3.614502  -0.5
4.414  -0.529785  3.61084  -0.5
4.404  -0.527344  3.607178  -0.5
4.395  -0.524902  3.604126  -0.5
4.385  -0.52002  3.601074  -0.5
4.375  -0.518188  3.599243  -0.5
4.365  -0.516357  3.598022  -0.5
4.355  -0.514526  3.598633  -0.5
4.346  -0.513306  3.597412  -0.5
4.336  -0.510254  3.597412  -0.5
4.326  -0.508423  3.598633  -0.5
4.316  -0.507202  3.598633  -0.5
4.307  -0.505981  3.599854  -0.5
4.297  -0.504761  3.602295  -0.5
4.287  -0.50293  3.604736  -0.5
4.277  -0.501709  3.607788  -0.5
4.268  -0.501099  3.609619  -0.5
4.258  -0.500488  3.583374  -0.5
4.248  -0.507812  1.306763  -0.5
4.238  -0.515747  -2.153931  -0.5
4.229  -0.504761  -1.255493  -0.5
4.219  -0.497437  1.091309  -0.5
4.209  -0.497437  1.810303  -0.5
4.199  -0.501709  0.665894  -0.5
4.189  -0.505981  -0.911255  -0.5
4.18  -0.501709  -0.688477  -0.5
4.17  -0.498047  0.383911  -0.5
4.16  -0.496826  0.775757  -0.5
4.15  -0.499268  0.317383  -0.5
4.141  -0.500488  -0.391235  -0.5
4.131  -0.498657  -0.350952  -0.5
4.121  -0.497437  0.12207  -0.5
4.111  -0.496826  0.310669  -0.5
4.102  -0.497437  0.117188  -0.5
4.092  -0.497437  -0.176392  -0.5
4.082  -0.497437  -0.170288  -0.5
4.072  -0.496216  0.0177  -0.5
4.063  -0.495605  0.110474  -0.5
4.053  -0.496216  0.037231  -0.5
4.043  -0.496216  -0.090332  -0.5
4.033  -0.495605  -0.084229  -0.5
4.023  -0.494995  -0.003052  -0.5
4.014  -0.494995  0.039062  -0.5
4.004  -0.308838  -0.701294  -0.5
3.994  0.549927  -3.369751  0.5
3.984  0.552368  -3.377075  0.5
3.975  0.545654  -3.36731  0.5
3.965  0.541992  -3.360596  0.5
3.955  0.53772  -3.355103  0.5
3.945  0.534668  -3.348999  0.5
3.936  0.531006  -3.345337  0.5
3.926  0.524902  -3.337402  0.5
3.916  0.521851  -3.335571  0.5
3.906  0.52002  -3.33313  0.5
3.896  0.516968  -3.33374  0.5
3.887  0.515137  -3.334961  0.5
3.877  0.510254  -3.33374  0.5
3.867  0.508423  -3.33313  0.5
3.857  0.506592  -3.33252  0.5
3.848  0.504761  -3.33252  0.5
3.838  0.50354  -3.331909  0.5
3.828  0.500488  -3.331909  0.5
3.818  0.499268  -3.331909  0.5
3.809  0.498657  -3.330688  0.5
3.799  0.497437  -3.330688  0.5
3.789  0.496216  -3.330078  0.5
3.779  0.494385  -3.327637  0.5
3.77  0.493164  -3.325806  0.5
3.76  0.491943  -3.321533  0.5
3.75  0.491333  -3.312378  0.5
3.74  0.491943  -3.119507  0.5
3.73  0.496826  -1.254272  0.5
