TIME  IN1  IN2  OUT1
5  0.014648  -1.922607  0
4.99  0.030518  -1.871948  0.019531
4.98  0.046387  -1.92627  0.039062
4.971  0.062866  -1.990967  0.058594
4.961  0.079346  -2.01416  0.078125
4.951  0.096436  -1.97937  0.097656
4.941  0.128174  -1.907349  0.117188
4.932  0.145264  -1.930542  0.136719
4.922  0.160522  -1.956177  0.15625
4.912  0.177002  -1.976318  0.175781
4.902  0.192871  -1.963501  0.195312
4.893  0.22583  -1.918335  0.214844
4.883  0.24231  -1.928711  0.234375
4.873  0.258789  -1.92749  0.253906
4.863  0.274658  -1.928101  0.273438
4.854  0.289917  -1.942749  0.292969
4.844  0.322876  -1.929321  0.3125
4.834  0.338745  -1.90918  0.332031
4.824  0.355225  -1.92749  0.351562
4.814  0.371094  -1.950073  0.371094
4.805  0.387573  -1.943359  0.390625
4.795  0.419922  -1.921997  0.410156
4.785  0.435791  -1.930542  0.429688
4.775  0.45166  -1.937866  0.449219
4.766  0.467529  -1.941528  0.46875
4.756  0.484619  -1.945801  0.488281
4.746  0.498657  -1.901855  0.492188
4.736  0.482178  2.739258  0.472656
4.727  0.463867  3.909302  0.453125
4.717  0.443726  3.908691  0.433594
4.707  0.421753  2.86377  0.414062
4.697  0.39856  1.017456  0.394531
4.688  0.367432  1.539917  0.375
4.678  0.352783  2.731323  0.355469
4.668  0.335693  3.104858  0.335938
4.658  0.314941  2.481079  0.316406
4.648  0.29541  1.625977  0.296875
4.639  0.263062  1.749268  0.277344
4.629  0.246582  2.294312  0.257812
4.619  0.229492  2.473755  0.238281
4.609  0.211182  2.212524  0.21875
4.6  0.194092  1.853027  0.199219
4.59  0.160522  1.8573  0.179688
4.58  0.143433  2.075195  0.160156
4.57  0.127563  2.161255  0.140625
4.561  0.110474  2.084351  0.121094
4.551  0.093384  1.930542  0.101562
4.541  0.060425  1.921997  0.082031
4.531  0.043945  2.002563  0.0625
4.521  0.027466  2.021484  0.042969
4.512  0.010986  2.001953  0.023438
4.502  -0.006104  1.950684  0.003906
4.492  -0.022583  1.898193  -0.015625
4.482  -0.054321  1.973877  -0.035156
4.473  -0.071411  2.016602  -0.054688
4.463  -0.087891  1.986084  -0.074219
4.453  -0.10437  1.94519  -0.09375
4.443  -0.12085  1.920776  -0.113281
4.434  -0.153198  1.938477  -0.132812
4.424  -0.169678  1.956787  -0.152344
4.414  -0.185547  1.960449  -0.171875
4.404  -0.202026  1.953735  -0.191406
4.395  -0.218506  1.92688  -0.210938
4.385  -0.250854  1.925659  -0.230469
4.375  -0.266724  1.942749  -0.25
4.365  -0.283203  1.939087  -0.269531
4.355  -0.299072  1.94519  -0.289062
4.346  -0.315552  1.941528  -0.308594
4.336  -0.3479  1.920166  -0.328125
4.326  -0.363159  1.936035  -0.347656
4.316  -0.380249  1.94458  -0.367188
4.307  -0.396118  1.932983  -0.386719
4.297  -0.411987  1.936035  -0.40625
4.287  -0.444336  1.923828  -0.425781
4.277  -0.460205  1.918945  -0.445312
4.268  -0.476074  1.930542  -0.464844
4.258  -0.492554  1.938477  -0.484375
4.248  -0.507202  1.919556  -0.496094
4.238  -0.501099  0.571289  -0.476562
4.229  -0.473022  -3.604126  -0.457031
4.219  -0.452271  -3.536377  -0.4375
4.209  -0.431519  -2.861938  -0.417969
4.199  -0.410156  -1.728516  -0.398438
4.189  -0.391846  -1.177979  -0.378906
4.18  -0.360718  -2.282104  -0.359375
4.17  -0.343628  -2.664795  -0.339844
4.16  -0.325317  -2.440796  -0.320312
4.15  -0.305786  -1.955566  -0.300781
4.141  -0.288086  -1.650391  -0.28125
4.131  -0.255737  -2.089233  -0.261719
4.121  -0.238647  -2.285156  -0.242188
4.111  -0.220947  -2.190552  -0.222656
4.102  -0.203247  -1.968994  -0.203125
4.092  -0.186157  -1.833496  -0.183594
4.082  -0.153198  -2.012329  -0.164062
4.072  -0.137329  -2.086792  -0.144531
4.063  -0.119629  -2.079468  -0.125
4.053  -0.102539  -1.987305  -0.105469
4.043  -0.085449  -1.902466  -0.085938
4.033  -0.053101  -1.970215  -0.066406
4.023  -0.037231  -2.01355  -0.046875
4.014  -0.020142  -2.028198  -0.027344
4.004  -0.003052  -1.984253  -0.007812
3.994  0.013428  -1.916504  0.011719
3.984  0.029297  -1.865234  0.03125
3.975  0.061646  -2.000122  0.050781
3.965  0.078125  -2.033691  0.070312
3.955  0.095215  -1.965332  0.089844
3.945  0.111084  -1.907349  0.109375
3.936  0.128174  -1.907959  0.128906
3.926  0.159912  -1.963501  0.148438
3.916  0.175781  -1.978149  0.167969
3.906  0.192871  -1.964111  0.1875
3.896  0.209351  -1.902466  0.207031
3.887  0.22522  -1.89209  0.226562
3.877  0.257568  -1.96106  0.246094
3.867  0.272827  -1.942749  0.265625
3.857  0.289307  -1.948242  0.285156
3.848  0.305786  -1.94458  0.304688
3.838  0.322266  -1.939087  0.324219
3.828  0.354004  -1.921387  0.34375
3.818  0.370483  -1.931152  0.363281
3.809  0.386353  -1.945801  0.382812
3.799  0.402832  -1.923828  0.402344
3.789  0.418701  -1.922607  0.421875
3.779  0.450439  -1.945801  0.441406
3.77  0.467529  -1.936035  0.460938
3.76  0.483398  -1.929321  0.480469
3.75  0.498657  -1.906738  0.5
3.74  0.493164  -0.655518  0.480469
3.73  0.484009  2.51709  0.460938
3.721  0.446167  3.910522  0.441406
3.711  0.423584  3.03833  0.421875
3.701  0.39978  1.123047  0.402344
3.691  0.38147  0.512695  0.382812
3.682  0.368652  1.419678  0.363281
3.672  0.336304  3.114624  0.34375
3.662  0.316772  2.537231  0.324219
3.652  0.296631  1.689453  0.304688
3.643  0.278931  1.345215  0.285156
3.633  0.263062  1.680908  0.265625
3.623  0.231323  2.475586  0.246094
3.613  0.213013  2.260132  0.226562
3.604  0.194092  1.895142  0.207031
3.594  0.177612  1.717529  0.1875
3.584  0.161133  1.838989  0.167969
3.574  0.128784  2.180786  0.148438
3.564  0.111694  2.095947  0.128906
3.555  0.093994  1.92688  0.109375
3.545  0.078125  1.856079  0.089844
3.535  0.061035  1.914062  0.070312
3.525  0.028687  2.055054  0.050781
3.516  0.011597  2.001343  0.03125
3.506  -0.004883  1.934204  0.011719
3.496  -0.021362  1.897583  -0.007812
3.486  -0.037842  1.8927  -0.027344
3.477  -0.053711  1.947632  -0.046875
3.467  -0.08667  2.011719  -0.066406
3.457  -0.103149  1.947021  -0.085938
3.447  -0.119629  1.906738  -0.105469
3.438  -0.135498  1.90918  -0.125
3.428  -0.152588  1.948242  -0.144531
3.418  -0.184326  1.97998  -0.164062
3.408  -0.200806  1.946411  -0.183594
3.398  -0.217285  1.914062  -0.203125
3.389  -0.233154  1.901855  -0.222656
3.379  -0.249634  1.934204  -0.242188
3.369  -0.281982  1.94397  -0.261719
3.359  -0.297852  1.928101  -0.28125
3.35  -0.313721  1.941528  -0.300781
3.34  -0.3302  1.940918  -0.320312
3.33  -0.346069  1.941528  -0.339844
3.32  -0.378418  1.92749  -0.359375
3.311  -0.394897  1.920166  -0.378906
3.301  -0.410767  1.920166  -0.398438
3.291  -0.426636  1.936646  -0.417969
3.281  -0.443115  1.942139  -0.4375
3.271  -0.474854  1.919556  -0.457031
3.262  -0.491333  1.929932  -0.476562
3.252  -0.505981  1.932373  -0.496094
3.242  -0.501709  0.78064  -0.484375
3.232  -0.493164  -2.350464  -0.464844
3.223  -0.474854  -3.605957  -0.445312
3.213  -0.432739  -2.954712  -0.425781
3.203  -0.411377  -1.824951  -0.40625
3.193  -0.393066  -1.188965  -0.386719
