time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+000	1.101069e-005
1.428571428571429e-013	-1.000000e+000	1.101069e-005
2.857142857142858e-013	-1.000000e+000	1.101069e-005
4.285714285714287e-013	-1.000000e+000	1.101069e-005
5.714285714285716e-013	-1.000000e+000	1.101069e-005
7.142857142857144e-013	-1.000000e+000	1.101069e-005
8.571428571428574e-013	-1.000000e+000	1.101069e-005
1.000000000000000e-012	-1.000000e+000	1.101069e-005
2.000000000000000e-012	1.000000e+000	2.609129e-001
1.738270810179603e-009	1.000000e+000	2.598806e-001
3.474541620359206e-009	1.000000e+000	2.577409e-001
5.210812430538809e-009	1.000000e+000	2.544940e-001
6.947083240718411e-009	1.000000e+000	2.501397e-001
8.683354050898014e-009	1.000000e+000	2.446781e-001
1.041962486107762e-008	1.000000e+000	2.381092e-001
1.215589567125722e-008	1.000000e+000	2.304330e-001
1.801795339783564e-008	1.000000e+000	1.996443e-001
2.578817834038270e-008	1.000000e+000	1.476697e-001
3.606219965618420e-008	1.000000e+000	6.475101e-002
4.963772092300460e-008	1.000000e+000	-6.079657e-002
6.559383106636234e-008	1.000000e+000	-2.225093e-001
8.492739447015751e-008	1.000000e+000	-4.298123e-001
1.084061594337185e-007	1.000000e+000	-6.893945e-001
3.467420598853497e-007	1.000000e+000	-3.381257e+000
5.549382057955445e-007	1.000000e+000	-5.398241e+000
9.713304976159341e-007	1.000000e+000	-8.252368e+000
1.031483651584929e-006	1.000000e+000	-8.424991e+000
2.247120085060722e-006	1.000000e+000	-8.447717e+000
3.462756518536515e-006	1.000000e+000	-8.465324e+000
4.678392952012308e-006	1.000000e+000	-8.477813e+000
5.894029385488101e-006	1.000000e+000	-8.485183e+000
7.109665818963894e-006	1.000000e+000	-8.487434e+000
8.325302252439686e-006	1.000000e+000	-8.484567e+000
9.540938685915478e-006	1.000000e+000	-8.476582e+000
3.719803388626577e-005	1.000000e+000	-8.484958e+000
6.485512908661607e-005	1.000000e+000	-8.487739e+000
9.251222428696636e-005	1.000000e+000	-8.484925e+000
1.201693194873167e-004	1.000000e+000	-8.476517e+000
1.478264146876670e-004	1.000000e+000	-8.462514e+000
1.754835098880172e-004	1.000000e+000	-8.442916e+000
2.031406050883675e-004	1.000000e+000	-8.417724e+000
2.116051225936997e-004	1.000000e+000	-7.915751e+000
2.166278769048700e-004	1.000000e+000	-6.472294e+000
2.193710477413662e-004	1.000000e+000	-4.650503e+000
2.224560550376638e-004	1.000000e+000	-1.722516e+000
2.245272758482947e-004	1.000000e+000	4.616542e-001
2.267454094466587e-004	1.000000e+000	2.786804e+000
2.288311670148742e-004	1.000000e+000	4.699043e+000
2.317822995046219e-004	1.000000e+000	6.731312e+000
2.343282621655977e-004	1.000000e+000	7.733343e+000
2.363697379830744e-004	1.000000e+000	7.850481e+000
2.384895313230454e-004	1.000000e+000	7.289237e+000
2.407305838546862e-004	1.000000e+000	6.018963e+000
2.436008210545667e-004	1.000000e+000	3.665531e+000
2.458944658775501e-004	1.000000e+000	1.395443e+000
2.478708338470198e-004	1.000000e+000	-7.106153e-001
2.499225512529790e-004	1.000000e+000	-2.837373e+000
2.521472404949019e-004	1.000000e+000	-4.841411e+000
2.550245441344564e-004	1.000000e+000	-6.784378e+000
2.573951946172545e-004	1.000000e+000	-7.694206e+000
2.594334579527124e-004	1.000000e+000	-7.810994e+000
2.615385590868617e-004	1.000000e+000	-7.273361e+000
2.637382995310238e-004	1.000000e+000	-6.049473e+000
2.666629432271504e-004	1.000000e+000	-3.678313e+000
2.690353766823551e-004	1.000000e+000	-1.348914e+000
2.710237488162010e-004	1.000000e+000	7.562007e-001
2.730843897517474e-004	1.000000e+000	2.875780e+000
2.753214855335816e-004	1.000000e+000	4.868390e+000
2.782094142634336e-004	1.000000e+000	6.786499e+000
2.805602844283768e-004	1.000000e+000	7.665647e+000
2.825651727342046e-004	1.000000e+000	7.767550e+000
2.846508067773178e-004	1.000000e+000	7.228048e+000
2.868871151278146e-004	1.000000e+000	5.985551e+000
2.897610840866711e-004	1.000000e+000	3.667460e+000
2.920885150191371e-004	1.000000e+000	1.394983e+000
2.940704532940737e-004	1.000000e+000	-6.916928e-001
2.961287142308824e-004	1.000000e+000	-2.801499e+000
2.983468010088072e-004	1.000000e+000	-4.778023e+000
3.012268819202304e-004	1.000000e+000	-6.701715e+000
3.036108454889264e-004	1.000000e+000	-7.607442e+000
3.056384422268030e-004	1.000000e+000	-7.723921e+000
3.077318888193004e-004	1.000000e+000	-7.197131e+000
3.099387405971899e-004	1.000000e+000	-5.986936e+000
3.128412393662613e-004	1.000000e+000	-3.665806e+000
3.152113727378902e-004	1.000000e+000	-1.367717e+000
3.171997211266303e-004	1.000000e+000	7.129404e-001
3.192628644511139e-004	1.000000e+000	2.813615e+000
3.214870694170786e-004	1.000000e+000	4.778717e+000
3.243726448161179e-004	1.000000e+000	6.684690e+000
3.267437845520551e-004	1.000000e+000	7.571666e+000
3.287530617218914e-004	1.000000e+000	7.680266e+000
3.308441352624824e-004	1.000000e+000	7.152219e+000
3.330648510213096e-004	1.000000e+000	5.938353e+000
3.359506119371586e-004	1.000000e+000	3.642014e+000
3.383002646007450e-004	1.000000e+000	1.376196e+000
3.402856367370593e-004	1.000000e+000	-6.896486e-001
3.423470766527339e-004	1.000000e+000	-2.778021e+000
3.445657375046030e-004	1.000000e+000	-4.730911e+000
3.474483434285753e-004	1.000000e+000	-6.631182e+000
3.498302231808560e-004	1.000000e+000	-7.523051e+000
3.518522336389868e-004	1.000000e+000	-7.635717e+000
3.539457148159399e-004	1.000000e+000	-7.112967e+000
3.561571466494873e-004	1.000000e+000	-5.912653e+000
3.590544422415719e-004	1.000000e+000	-3.620985e+000
3.614170647826542e-004	1.000000e+000	-1.355815e+000
3.634042062304058e-004	1.000000e+000	7.000378e-001
3.654664635582433e-004	1.000000e+000	2.776290e+000
3.676893095948141e-004	1.000000e+000	4.718865e+000
3.705737767229198e-004	1.000000e+000	6.604413e+000
3.729466074229290e-004	1.000000e+000	7.483593e+000
3.749602728759139e-004	1.000000e+000	7.592375e+000
3.770520035280080e-004	1.000000e+000	7.071108e+000
3.792701183143027e-004	1.000000e+000	5.872946e+000
3.821603040312806e-004	1.000000e+000	3.599476e+000
3.845139525905099e-004	1.000000e+000	1.355715e+000
3.864998752063105e-004	1.000000e+000	-6.870995e-001
3.885615043573151e-004	1.000000e+000	-2.751417e+000
3.907818448736179e-004	1.000000e+000	-4.682418e+000
