time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	2.526175e+000
3.000000000000000e-003	0.000000e+000	2.526175e+000
3.000000001000000e-003	1.000000e+000	2.656625e+000
3.000002996919988e-003	1.000000e+000	2.655854e+000
3.000005992839976e-003	1.000000e+000	2.654532e+000
3.000008988759964e-003	1.000000e+000	2.652660e+000
3.000011984679952e-003	1.000000e+000	2.650238e+000
3.000014980599940e-003	1.000000e+000	2.647266e+000
3.000017976519928e-003	1.000000e+000	2.643743e+000
3.000020972439916e-003	1.000000e+000	2.639670e+000
3.000031419215746e-003	1.000000e+000	2.625106e+000
3.000044367039835e-003	1.000000e+000	2.605070e+000
3.000056152542774e-003	1.000000e+000	2.587249e+000
3.000070478723333e-003	1.000000e+000	2.567898e+000
3.000084140974524e-003	1.000000e+000	2.552807e+000
3.000100139317575e-003	1.000000e+000	2.539597e+000
3.000115948873017e-003	1.000000e+000	2.530823e+000
3.000134755783617e-003	1.000000e+000	2.524946e+000
3.000157114679787e-003	1.000000e+000	2.521751e+000
3.000168887878652e-003	1.000000e+000	2.521298e+000
3.000177522621606e-003	1.000000e+000	2.521464e+000
3.000188459314010e-003	1.000000e+000	2.521924e+000
3.000198697029452e-003	1.000000e+000	2.522469e+000
3.000223287509540e-003	1.000000e+000	2.523851e+000
3.000237674635757e-003	1.000000e+000	2.524544e+000
3.000251385558829e-003	1.000000e+000	2.525072e+000
3.000267871719876e-003	1.000000e+000	2.525528e+000
3.000286289048589e-003	1.000000e+000	2.525836e+000
3.000312249964549e-003	1.000000e+000	2.526025e+000
3.000342324821515e-003	1.000000e+000	2.526049e+000
3.000438366378860e-003	1.000000e+000	2.525806e+000
3.000485685609769e-003	1.000000e+000	2.525739e+000
4.530207933109750e-003	1.000000e+000	9.961017e-001
6.059930180609730e-003	1.000000e+000	-5.335247e-001
7.589652428109711e-003	1.000000e+000	-2.063141e+000
9.119374675609691e-003	1.000000e+000	-3.592746e+000
1.064909692310967e-002	1.000000e+000	-5.122341e+000
1.217881917060965e-002	1.000000e+000	-6.651926e+000
1.370854141810963e-002	1.000000e+000	-8.181499e+000
1.375541641810963e-002	1.000000e+000	-8.228330e+000
1.377104141810963e-002	1.000000e+000	-8.243913e+000
1.378666641810963e-002	1.000000e+000	-8.259464e+000
1.380229141810963e-002	1.000000e+000	-8.274957e+000
1.381791641810963e-002	1.000000e+000	-8.290344e+000
1.383354141810963e-002	1.000000e+000	-8.305549e+000
1.384916641810963e-002	1.000000e+000	-8.320444e+000
1.386479141810963e-002	1.000000e+000	-8.334844e+000
1.388041641810963e-002	1.000000e+000	-8.348505e+000
1.389604141810963e-002	1.000000e+000	-8.361163e+000
1.391166641810963e-002	1.000000e+000	-8.372599e+000
1.392729141810963e-002	1.000000e+000	-8.382696e+000
1.394291641810963e-002	1.000000e+000	-8.391464e+000
1.395854141810963e-002	1.000000e+000	-8.399014e+000
1.397416641810963e-002	1.000000e+000	-8.405504e+000
1.398979141810963e-002	1.000000e+000	-8.411106e+000
1.400541641810963e-002	1.000000e+000	-8.415976e+000
1.403666641810963e-002	1.000000e+000	-8.424009e+000
1.405898784668106e-002	1.000000e+000	-8.428462e+000
1.408130927525249e-002	1.000000e+000	-8.432510e+000
1.410363070382392e-002	1.000000e+000	-8.436156e+000
1.412595213239534e-002	1.000000e+000	-8.439398e+000
1.414827356096677e-002	1.000000e+000	-8.442236e+000
1.417059498953820e-002	1.000000e+000	-8.444671e+000
1.419291641810963e-002	1.000000e+000	-8.446703e+000
1.428443427525249e-002	1.000000e+000	-8.452946e+000
1.437595213239534e-002	1.000000e+000	-8.458292e+000
1.446746998953820e-002	1.000000e+000	-8.462742e+000
1.455898784668106e-002	1.000000e+000	-8.466295e+000
1.465050570382392e-002	1.000000e+000	-8.468951e+000
1.474202356096677e-002	1.000000e+000	-8.470711e+000
1.483354141810963e-002	1.000000e+000	-8.471574e+000
1.484916641810963e-002	1.000000e+000	-8.471795e+000
1.494514856096677e-002	1.000000e+000	-8.472900e+000
1.504113070382392e-002	1.000000e+000	-8.473850e+000
1.513711284668106e-002	1.000000e+000	-8.474645e+000
1.523309498953820e-002	1.000000e+000	-8.475286e+000
1.532907713239535e-002	1.000000e+000	-8.475773e+000
1.542505927525249e-002	1.000000e+000	-8.476105e+000
1.552104141810963e-002	1.000000e+000	-8.476282e+000
1.558577356096677e-002	1.000000e+000	-8.476399e+000
1.565050570382391e-002	1.000000e+000	-8.476495e+000
1.571523784668105e-002	1.000000e+000	-8.476570e+000
1.577996998953818e-002	1.000000e+000	-8.476624e+000
1.584470213239532e-002	1.000000e+000	-8.476658e+000
1.590943427525246e-002	1.000000e+000	-8.476671e+000
1.597416641810959e-002	1.000000e+000	-8.476663e+000
1.598979141810959e-002	1.000000e+000	-8.476663e+000
1.600000000000000e-002	1.000000e+000	-8.476663e+000
