time	V(vin)	V(vout)
0.000000000000000e+000	-3.000000e+000	8.477051e+000
1.000000000000000e-006	-3.000000e+000	8.477051e+000
2.000000000000000e-006	3.000000e+000	8.477137e+000
3.674980679882249e-004	3.000000e+000	8.477053e+000
7.329961359764499e-004	3.000000e+000	8.476985e+000
1.098494203964675e-003	3.000000e+000	8.476933e+000
1.463992271952900e-003	3.000000e+000	8.476896e+000
1.829490339941125e-003	3.000000e+000	8.476875e+000
2.194988407929349e-003	3.000000e+000	8.476869e+000
2.560486475917573e-003	3.000000e+000	8.476879e+000
4.122986475917573e-003	3.000000e+000	8.476132e+000
4.913510609225525e-003	3.000000e+000	8.473237e+000
5.526525389317001e-003	3.000000e+000	8.466656e+000
6.021184575384466e-003	3.000000e+000	8.456295e+000
6.563304309779276e-003	3.000000e+000	8.434741e+000
7.024169389136691e-003	3.000000e+000	8.397580e+000
7.259500120770989e-003	3.000000e+000	8.358702e+000
7.489820600228975e-003	3.000000e+000	8.300981e+000
7.622132494319464e-003	3.000000e+000	8.262816e+000
7.748471993616194e-003	3.000000e+000	8.225101e+000
7.959516259049350e-003	3.000000e+000	8.161841e+000
1.153431628913503e-002	3.000000e+000	7.089408e+000
1.510911631922071e-002	3.000000e+000	6.016976e+000
1.868391634930639e-002	3.000000e+000	4.944544e+000
2.225871637939208e-002	3.000000e+000	3.872112e+000
2.583351640947776e-002	3.000000e+000	2.799681e+000
2.940831643956344e-002	3.000000e+000	1.727251e+000
3.298311646964911e-002	3.000000e+000	6.548213e-001
5.954561646964914e-002	3.000000e+000	-7.313787e+000
6.110811646964914e-002	3.000000e+000	-7.782499e+000
6.267061646964914e-002	3.000000e+000	-8.236117e+000
6.333518914104011e-002	3.000000e+000	-8.388244e+000
6.371062855518092e-002	3.000000e+000	-8.432667e+000
6.400053177356647e-002	3.000000e+000	-8.446119e+000
6.482988575739532e-002	3.000000e+000	-8.463484e+000
6.557167240102371e-002	3.000000e+000	-8.471005e+000
6.656376985758188e-002	3.000000e+000	-8.475462e+000
6.762969268567522e-002	3.000000e+000	-8.476639e+000
6.826493582351695e-002	3.000000e+000	-8.476664e+000
6.913104602080679e-002	3.000000e+000	-8.476663e+000
7.069354602080678e-002	3.000000e+000	-8.476663e+000
7.225604602080678e-002	3.000000e+000	-8.476663e+000
7.381854602080677e-002	3.000000e+000	-8.476663e+000
7.538104602080677e-002	3.000000e+000	-8.476663e+000
7.694354602080676e-002	3.000000e+000	-8.476663e+000
7.850604602080676e-002	3.000000e+000	-8.476663e+000
8.006854602080675e-002	3.000000e+000	-8.476663e+000
8.163104602080674e-002	3.000000e+000	-8.476663e+000
8.319354602080674e-002	3.000000e+000	-8.476664e+000
8.475604602080673e-002	3.000000e+000	-8.476664e+000
8.631854602080673e-002	3.000000e+000	-8.476664e+000
8.788104602080672e-002	3.000000e+000	-8.476664e+000
8.944354602080672e-002	3.000000e+000	-8.476664e+000
9.100604602080671e-002	3.000000e+000	-8.476664e+000
9.256854602080671e-002	3.000000e+000	-8.476664e+000
9.413104602080670e-002	3.000000e+000	-8.476664e+000
9.569354602080669e-002	3.000000e+000	-8.476664e+000
9.725604602080669e-002	3.000000e+000	-8.476664e+000
9.764832516069145e-002	3.000000e+000	-8.476663e+000
9.804060430057621e-002	3.000000e+000	-8.476663e+000
9.843288344046097e-002	3.000000e+000	-8.476663e+000
9.882516258034572e-002	3.000000e+000	-8.476663e+000
9.921744172023049e-002	3.000000e+000	-8.476663e+000
9.960972086011524e-002	3.000000e+000	-8.476663e+000
1.000020000000000e-001	3.000000e+000	-8.476663e+000
1.000030000000000e-001	-3.000000e+000	-8.476749e+000
1.003774857142835e-001	-3.000000e+000	-8.476693e+000
1.007519714285670e-001	-3.000000e+000	-8.476651e+000
1.011264571428505e-001	-3.000000e+000	-8.476624e+000
1.015009428571340e-001	-3.000000e+000	-8.476612e+000
1.018754285714175e-001	-3.000000e+000	-8.476614e+000
1.022499142857010e-001	-3.000000e+000	-8.476631e+000
1.026243999999845e-001	-3.000000e+000	-8.476664e+000
1.041868999999844e-001	-3.000000e+000	-8.475627e+000
1.049144216533907e-001	-3.000000e+000	-8.472049e+000
1.055652787799048e-001	-3.000000e+000	-8.463789e+000
1.059998432926579e-001	-3.000000e+000	-8.453394e+000
1.065307562908317e-001	-3.000000e+000	-8.429723e+000
1.069247103247927e-001	-3.000000e+000	-8.394105e+000
1.071544106271729e-001	-3.000000e+000	-8.353584e+000
1.073752961855977e-001	-3.000000e+000	-8.296926e+000
1.075012751119982e-001	-3.000000e+000	-8.260356e+000
1.076176317837983e-001	-3.000000e+000	-8.225605e+000
1.078017791029615e-001	-3.000000e+000	-8.170408e+000
1.098491675725417e-001	-3.000000e+000	-7.556201e+000
1.598491675725415e-001	-3.000000e+000	7.443720e+000
1.614116675725415e-001	-3.000000e+000	7.909784e+000
1.629741675725415e-001	-3.000000e+000	8.328429e+000
1.636012667006693e-001	-3.000000e+000	8.425301e+000
1.641988404686784e-001	-3.000000e+000	8.453861e+000
1.646787469424797e-001	-3.000000e+000	8.463600e+000
1.652076584419773e-001	-3.000000e+000	8.469488e+000
1.662387835459002e-001	-3.000000e+000	8.474940e+000
1.673021873519699e-001	-3.000000e+000	8.476693e+000
1.679583533764372e-001	-3.000000e+000	8.476810e+000
1.688053899654292e-001	-3.000000e+000	8.476828e+000
1.703678899654292e-001	-3.000000e+000	8.476859e+000
1.719303899654292e-001	-3.000000e+000	8.476887e+000
1.734928899654292e-001	-3.000000e+000	8.476911e+000
1.750553899654292e-001	-3.000000e+000	8.476931e+000
1.766178899654292e-001	-3.000000e+000	8.476948e+000
1.781803899654292e-001	-3.000000e+000	8.476963e+000
1.797428899654291e-001	-3.000000e+000	8.476976e+000
1.813053899654291e-001	-3.000000e+000	8.476987e+000
1.828678899654291e-001	-3.000000e+000	8.476995e+000
1.844303899654291e-001	-3.000000e+000	8.477004e+000
1.859928899654291e-001	-3.000000e+000	8.477011e+000
1.875553899654291e-001	-3.000000e+000	8.477016e+000
1.891178899654291e-001	-3.000000e+000	8.477022e+000
1.906803899654291e-001	-3.000000e+000	8.477026e+000
1.922428899654291e-001	-3.000000e+000	8.477030e+000
1.938053899654291e-001	-3.000000e+000	8.477033e+000
1.953678899654291e-001	-3.000000e+000	8.477036e+000
1.969303899654291e-001	-3.000000e+000	8.477037e+000
1.973690485417964e-001	-3.000000e+000	8.477037e+000
1.978077071181636e-001	-3.000000e+000	8.477037e+000
1.982463656945309e-001	-3.000000e+000	8.477037e+000
1.986850242708982e-001	-3.000000e+000	8.477038e+000
1.991236828472655e-001	-3.000000e+000	8.477039e+000
1.995623414236327e-001	-3.000000e+000	8.477040e+000
2.000010000000000e-001	-3.000000e+000	8.477041e+000
2.000020000000000e-001	3.000000e+000	8.477126e+000
2.003764857142965e-001	3.000000e+000	8.477043e+000
2.007509714285930e-001	3.000000e+000	8.476975e+000
2.011254571428895e-001	3.000000e+000	8.476923e+000
2.014999428571860e-001	3.000000e+000	8.476887e+000
2.018744285714824e-001	3.000000e+000	8.476865e+000
2.022489142857789e-001	3.000000e+000	8.476860e+000
2.026234000000754e-001	3.000000e+000	8.476870e+000
2.041859000000754e-001	3.000000e+000	8.475741e+000
2.049144876255484e-001	3.000000e+000	8.472109e+000
2.055709320741225e-001	3.000000e+000	8.463734e+000
2.060053042311614e-001	3.000000e+000	8.453284e+000
2.065375940058907e-001	3.000000e+000	8.429396e+000
2.069290031708139e-001	3.000000e+000	8.393733e+000
2.071582397750126e-001	3.000000e+000	8.353086e+000
2.073782007645132e-001	3.000000e+000	8.296542e+000
2.075047050338490e-001	3.000000e+000	8.259796e+000
2.076207842535296e-001	3.000000e+000	8.225125e+000
2.078054258162869e-001	3.000000e+000	8.169780e+000
2.098838390462455e-001	3.000000e+000	7.546270e+000
2.598838390462455e-001	3.000000e+000	-7.453538e+000
2.614463390462455e-001	3.000000e+000	-7.918811e+000
2.630088390462456e-001	3.000000e+000	-8.333565e+000
2.636379855172810e-001	3.000000e+000	-8.427969e+000
2.642333046972649e-001	3.000000e+000	-8.454551e+000
2.647493242985390e-001	3.000000e+000	-8.464478e+000
2.652966914628408e-001	3.000000e+000	-8.470190e+000
2.663565396169252e-001	3.000000e+000	-8.475203e+000
2.674087025869312e-001	3.000000e+000	-8.476614e+000
2.680768295457942e-001	3.000000e+000	-8.476665e+000
2.689154134031930e-001	3.000000e+000	-8.476663e+000
2.704779134031931e-001	3.000000e+000	-8.476663e+000
2.720404134031931e-001	3.000000e+000	-8.476663e+000
2.736029134031931e-001	3.000000e+000	-8.476663e+000
2.751654134031931e-001	3.000000e+000	-8.476663e+000
2.767279134031931e-001	3.000000e+000	-8.476664e+000
2.782904134031932e-001	3.000000e+000	-8.476664e+000
2.798529134031932e-001	3.000000e+000	-8.476664e+000
2.814154134031932e-001	3.000000e+000	-8.476664e+000
2.829779134031932e-001	3.000000e+000	-8.476664e+000
2.845404134031933e-001	3.000000e+000	-8.476664e+000
2.861029134031933e-001	3.000000e+000	-8.476664e+000
2.876654134031933e-001	3.000000e+000	-8.476664e+000
2.892279134031933e-001	3.000000e+000	-8.476664e+000
2.907904134031933e-001	3.000000e+000	-8.476664e+000
2.923529134031934e-001	3.000000e+000	-8.476664e+000
2.939154134031934e-001	3.000000e+000	-8.476664e+000
2.954779134031934e-001	3.000000e+000	-8.476664e+000
2.970404134031934e-001	3.000000e+000	-8.476664e+000
2.974634972027372e-001	3.000000e+000	-8.476663e+000
2.978865810022810e-001	3.000000e+000	-8.476662e+000
2.983096648018248e-001	3.000000e+000	-8.476662e+000
2.987327486013686e-001	3.000000e+000	-8.476662e+000
2.991558324009124e-001	3.000000e+000	-8.476662e+000
2.995789162004562e-001	3.000000e+000	-8.476662e+000
3.000020000000000e-001	3.000000e+000	-8.476663e+000
3.000030000000000e-001	-3.000000e+000	-8.476749e+000
3.003774857142185e-001	-3.000000e+000	-8.476693e+000
3.007519714284371e-001	-3.000000e+000	-8.476651e+000
3.011264571426556e-001	-3.000000e+000	-8.476624e+000
3.015009428568741e-001	-3.000000e+000	-8.476612e+000
3.018754285710926e-001	-3.000000e+000	-8.476614e+000
3.022499142853112e-001	-3.000000e+000	-8.476631e+000
3.026243999995297e-001	-3.000000e+000	-8.476664e+000
3.041868999995297e-001	-3.000000e+000	-8.475631e+000
3.049150267317649e-001	-3.000000e+000	-8.472061e+000
3.055642874992584e-001	-3.000000e+000	-8.463840e+000
3.059993597816884e-001	-3.000000e+000	-8.453458e+000
3.065302542368772e-001	-3.000000e+000	-8.429848e+000
3.069254629390664e-001	-3.000000e+000	-8.394217e+000
3.071553985488149e-001	-3.000000e+000	-8.353722e+000
3.073766330907674e-001	-3.000000e+000	-8.297009e+000
3.075025577066065e-001	-3.000000e+000	-8.260462e+000
3.076190655947797e-001	-3.000000e+000	-8.225667e+000
3.078033714561886e-001	-3.000000e+000	-8.170423e+000
3.098417785085711e-001	-3.000000e+000	-7.558909e+000
3.598417785085719e-001	-3.000000e+000	7.441012e+000
3.614042785085719e-001	-3.000000e+000	7.907269e+000
3.629667785085719e-001	-3.000000e+000	8.326939e+000
3.635935844328812e-001	-3.000000e+000	8.424534e+000
3.641922603363550e-001	-3.000000e+000	8.453666e+000
3.646667962506182e-001	-3.000000e+000	8.463415e+000
3.651896537529966e-001	-3.000000e+000	8.469314e+000
3.662149843898459e-001	-3.000000e+000	8.474855e+000
3.672788533812873e-001	-3.000000e+000	8.476680e+000
3.679325667860797e-001	-3.000000e+000	8.476810e+000
3.687825610302160e-001	-3.000000e+000	8.476828e+000
3.703450610302160e-001	-3.000000e+000	8.476858e+000
3.719075610302161e-001	-3.000000e+000	8.476887e+000
3.734700610302161e-001	-3.000000e+000	8.476910e+000
3.750325610302161e-001	-3.000000e+000	8.476931e+000
3.765950610302161e-001	-3.000000e+000	8.476948e+000
3.781575610302161e-001	-3.000000e+000	8.476963e+000
3.797200610302162e-001	-3.000000e+000	8.476976e+000
3.812825610302162e-001	-3.000000e+000	8.476987e+000
3.828450610302162e-001	-3.000000e+000	8.476995e+000
3.844075610302162e-001	-3.000000e+000	8.477004e+000
3.859700610302163e-001	-3.000000e+000	8.477011e+000
3.875325610302163e-001	-3.000000e+000	8.477016e+000
3.890950610302163e-001	-3.000000e+000	8.477022e+000
3.906575610302163e-001	-3.000000e+000	8.477026e+000
3.922200610302163e-001	-3.000000e+000	8.477030e+000
3.937825610302164e-001	-3.000000e+000	8.477032e+000
3.953450610302164e-001	-3.000000e+000	8.477035e+000
3.969075610302164e-001	-3.000000e+000	8.477037e+000
3.973494808830426e-001	-3.000000e+000	8.477037e+000
