TIME  IN1  IN2
5  -3.451538  0.049438
4.99  -3.445435  0.020142
4.98  -3.439941  -0.009155
4.971  -3.43689  -0.039673
4.961  -3.4375  -0.067139
4.951  -3.433838  -0.095825
4.941  -3.428345  -0.152588
4.932  -3.424683  -0.179443
4.922  -3.422852  -0.206909
4.912  -3.42041  -0.232544
4.902  -3.417969  -0.26001
4.893  -3.414917  -0.31311
4.883  -3.413696  -0.338745
4.873  -3.411255  -0.363159
4.863  -3.410034  -0.389404
4.854  -3.408203  -0.413818
4.844  -3.405762  -0.463257
4.834  -3.403931  -0.488281
4.824  -3.4021  -0.512085
4.814  -3.399048  -0.535889
4.805  -3.395386  -0.559692
4.795  -3.364258  -0.606079
4.785  2.752075  -0.571899
4.775  3.934937  -0.523682
4.766  3.92395  -0.482178
4.756  3.902588  -0.441895
4.746  3.881836  -0.401001
4.736  3.843384  -0.323486
4.727  3.825684  -0.286255
4.717  3.809204  -0.250244
4.707  3.794556  -0.215454
4.697  3.781738  -0.179443
4.688  3.757935  -0.111084
4.678  3.748169  -0.076904
4.668  3.738403  -0.043945
4.658  3.729858  -0.012207
4.648  3.721924  0.020142
4.639  3.708496  0.083008
4.629  3.703613  0.114136
4.619  3.69751  0.144043
4.609  3.693848  0.174561
4.6  3.689575  0.203857
4.59  3.682861  0.262451
4.58  3.68042  0.291138
4.57  3.678589  0.319824
4.561  3.675537  0.34668
4.551  3.675537  0.375977
4.541  3.673096  0.430908
4.531  3.672485  0.456543
4.521  3.673096  0.484619
4.512  3.671875  0.510864
4.502  3.671875  0.537109
4.492  3.673706  0.563354
4.482  3.674316  0.614624
4.473  3.675537  0.639038
4.463  3.676758  0.664673
4.453  1.300659  0.672607
4.443  -3.659058  0.620117
4.434  -3.635864  0.540771
4.424  -3.615723  0.501709
4.414  -3.596802  0.463257
4.404  -3.579102  0.425415
4.395  -3.560791  0.390015
4.385  -3.532104  0.319214
4.375  -3.517456  0.286255
4.365  -3.50647  0.252686
4.355  -3.494873  0.220947
4.346  -3.485718  0.187378
4.336  -3.467407  0.125732
4.326  -3.460693  0.093994
4.316  -3.4552  0.062256
4.307  -3.447876  0.032959
4.297  -3.441772  0.004272
4.287  -3.43689  -0.054932
4.277  -3.435669  -0.084229
4.268  -3.431396  -0.111084
4.258  -3.428955  -0.139771
4.248  -3.426514  -0.167847
4.238  -3.423462  -0.194702
4.229  -3.419189  -0.248413
4.219  -3.417358  -0.275879
4.209  -3.414917  -0.301514
4.199  -3.413696  -0.327148
4.189  -3.411865  -0.352783
4.18  -3.408813  -0.402832
4.17  -3.408813  -0.429077
4.16  -3.405762  -0.452881
4.15  -3.405151  -0.477905
4.141  -3.40332  -0.501709
4.131  -3.397217  -0.549316
4.121  -3.392334  -0.57312
4.111  -3.383179  -0.596313
4.102  -0.391846  -0.596313
4.092  3.934326  -0.542603
4.082  3.911133  -0.459595
4.072  3.891602  -0.418091
4.063  3.870239  -0.379028
4.053  3.850708  -0.340576
4.043  3.833008  -0.303345
4.033  3.80188  -0.228882
4.023  3.787842  -0.194092
4.014  3.773193  -0.160522
4.004  3.762817  -0.125122
3.994  3.753052  -0.091553
3.984  3.742065  -0.059204
3.975  3.724365  0.006104
3.965  3.718872  0.038452
3.955  3.712158  0.07019
3.945  3.705444  0.100708
3.936  3.699951  0.130005
3.926  3.690796  0.19104
3.916  3.687744  0.220337
3.906  3.685303  0.250244
3.896  3.68103  0.27832
3.887  3.679199  0.307617
3.877  3.676147  0.36377
3.867  3.673706  0.391235
3.857  3.674316  0.418701
3.848  3.673096  0.446167
3.838  3.672485  0.473022
3.828  3.672485  0.525513
3.818  3.673706  0.552368
3.809  3.673096  0.577393
3.799  3.673706  0.603027
3.789  3.674316  0.628662
3.779  3.667603  0.67749
3.77  -2.852783  0.640869
3.76  -3.658447  0.596924
3.75  -3.643799  0.557251
3.74  -3.625488  0.517578
3.73  -3.604736  0.479736
3.721  -3.568726  0.404663
3.711  -3.551025  0.370483
3.701  -3.537598  0.334473
3.691  -3.522949  0.301514
3.682  -3.511353  0.266724
3.672  -3.48938  0.201416
3.662  -3.480225  0.169678
3.652  -3.471069  0.13855
3.643  -3.463745  0.106812
3.633  -3.457031  0.076294
3.623  -3.444824  0.015869
3.613  -3.439331  -0.012817
3.604  -3.43689  -0.042725
3.594  -3.4375  -0.071411
3.584  -3.432617  -0.099487
3.574  -3.427124  -0.155029
3.564  -3.425293  -0.183105
3.555  -3.421631  -0.209351
3.545  -3.42041  -0.236816
3.535  -3.417358  -0.263062
3.525  -3.414307  -0.315552
3.516  -3.413086  -0.341187
3.506  -3.411255  -0.367432
3.496  -3.410034  -0.393066
3.486  -3.408203  -0.41748
3.477  -3.406982  -0.441895
3.467  -3.40332  -0.490723
