TIME  IN1  IN2  OUT1
500  -1.474609  4.334106  -0.5
499.023  1.473999  4.608765  0.5
498.047  1.45813  4.506836  0.5
497.07  1.45813  4.381104  0.5
496.094  1.45813  4.235229  0.5
495.117  1.45813  4.088745  0.5
494.141  1.45813  3.942871  0.5
493.164  1.45813  3.797607  0.5
492.188  1.45813  3.652344  0.5
491.211  1.45874  3.50647  0.5
490.234  1.45813  3.361206  0.5
489.258  1.45813  3.225708  0.5
488.281  1.45874  3.080444  0.5
487.305  1.45813  2.93457  0.5
486.328  1.45813  2.789917  0.5
485.352  1.45813  2.644043  0.5
484.375  1.45813  2.498779  0.5
483.398  1.45813  2.353516  0.5
482.422  1.45813  2.208252  0.5
481.445  1.45813  2.062988  0.5
480.469  1.45813  1.917725  0.5
479.492  1.45813  1.782837  0.5
478.516  1.45813  1.636963  0.5
477.539  1.45813  1.491699  0.5
476.563  1.45813  1.346436  0.5
475.586  1.45813  1.201782  0.5
474.609  1.45813  1.055908  0.5
473.633  1.45813  0.911255  0.5
472.656  1.45813  0.765991  0.5
471.68  1.45813  0.620728  0.5
470.703  1.45813  0.475464  0.5
469.727  1.45813  0.339966  0.5
468.75  1.45813  0.195312  0.5
467.773  1.45813  0.050049  0.5
466.797  1.45813  -0.095825  0.5
465.82  1.45874  -0.240479  0.5
464.844  1.45813  -0.386353  0.5
463.867  1.45813  -0.531006  0.5
462.891  1.45813  -0.67688  0.5
461.914  1.45813  -0.821533  0.5
460.938  1.45813  -0.967407  0.5
459.961  1.45813  -1.102295  0.5
458.984  1.45813  -1.247559  0.5
458.008  1.45813  -1.392822  0.5
457.031  1.45874  -1.538086  0.5
456.055  1.45874  -1.68335  0.5
455.078  1.45813  -1.828003  0.5
454.102  1.45813  -1.972656  0.5
453.125  1.45874  -2.11792  0.5
452.148  1.45813  -2.263184  0.5
451.172  1.45813  -2.408447  0.5
450.195  1.45874  -2.543945  0.5
449.219  -1.513062  -2.609253  -0.5
448.242  -1.472168  -2.461548  -0.5
447.266  -1.472168  -2.315063  -0.5
446.289  -1.472778  -2.167969  -0.5
445.313  -1.472778  -2.021484  -0.5
444.336  -1.472778  -1.875  -0.5
443.359  -1.472778  -1.728516  -0.5
442.383  -1.472778  -1.581421  -0.5
441.406  -1.473389  -1.434937  -0.5
440.43  -1.473389  -1.298218  -0.5
439.453  -1.473389  -1.151123  -0.5
438.477  -1.472778  -1.005249  -0.5
437.5  -1.472778  -0.858154  -0.5
436.523  -1.473389  -0.71167  -0.5
435.547  -1.473389  -0.564575  -0.5
434.57  -1.473389  -0.41748  -0.5
433.594  -1.472778  -0.271606  -0.5
432.617  -1.473389  -0.124512  -0.5
431.641  -1.472778  0.021973  -0.5
430.664  -1.472778  0.158691  -0.5
429.688  -1.473389  0.305786  -0.5
428.711  -1.472778  0.452271  -0.5
427.734  -1.472778  0.598755  -0.5
426.758  -1.472778  0.745239  -0.5
425.781  -1.472778  0.891724  -0.5
424.805  -1.473389  1.038818  -0.5
423.828  -1.473389  1.185303  -0.5
422.852  -1.473389  1.331177  -0.5
421.875  -1.473389  1.478271  -0.5
420.898  -1.473389  1.61499  -0.5
419.922  -1.47583  1.761475  -0.5
418.945  -1.47522  1.908569  -0.5
417.969  -1.47522  2.055054  -0.5
416.992  -1.47583  2.202148  -0.5
416.016  -1.47522  2.348633  -0.5
415.039  -1.47522  2.495728  -0.5
414.063  -1.47522  2.642822  -0.5
413.086  -1.47522  2.789917  -0.5
412.109  -1.47522  2.936401  -0.5
411.133  -1.474609  3.082886  -0.5
410.156  -1.47522  3.220215  -0.5
409.18  -1.474609  3.36731  -0.5
408.203  -1.474609  3.514404  -0.5
407.227  -1.47522  3.660889  -0.5
406.25  -1.474609  3.807983  -0.5
405.273  -1.474609  3.955078  -0.5
404.297  -1.47522  4.102173  -0.5
403.32  -1.47522  4.249268  -0.5
402.344  -1.47522  4.325562  -0.5
401.367  -1.47583  4.329834  -0.5
400.391  -1.47522  4.332886  -0.5
399.414  1.573486  4.645996  0.5
398.438  1.45813  4.532471  0.5
397.461  1.45752  4.419556  0.5
396.484  1.45752  4.273071  0.5
395.508  1.45813  4.127197  0.5
394.531  1.45813  3.981323  0.5
393.555  1.45752  3.835449  0.5
392.578  1.45813  3.690186  0.5
391.602  1.45813  3.544922  0.5
390.625  1.45813  3.408813  0.5
389.648  1.45874  3.26355  0.5
388.672  1.45813  3.118286  0.5
387.695  1.45813  2.973022  0.5
386.719  1.45813  2.827148  0.5
385.742  1.45813  2.681885  0.5
384.766  1.45874  2.536621  0.5
383.789  1.45874  2.391357  0.5
382.813  1.45813  2.246094  0.5
381.836  1.45813  2.10083  0.5
380.859  1.45813  1.965332  0.5
379.883  1.45813  1.820068  0.5
378.906  1.45813  1.674194  0.5
377.93  1.45813  1.530151  0.5
376.953  1.45874  1.384277  0.5
375.977  1.45813  1.239014  0.5
375  1.45874  1.09375  0.5
374.023  1.45813  0.949097  0.5
373.047  1.45813  0.803223  0.5
372.07  1.45874  0.658569  0.5
371.094  1.45874  0.523071  0.5
370.117  1.45813  0.377808  0.5
369.141  1.45874  0.232544  0.5
368.164  1.45813  0.087891  0.5
367.188  1.45874  -0.057983  0.5
366.211  1.45874  -0.203247  0.5
365.234  1.45874  -0.348511  0.5
364.258  1.45874  -0.493164  0.5
363.281  1.45874  -0.638428  0.5
362.305  1.45874  -0.784302  0.5
361.328  1.45813  -0.9198  0.5
360.352  1.45813  -1.065063  0.5
359.375  1.45874  -1.209717  0.5
358.398  1.45813  -1.35498  0.5
357.422  1.45874  -1.500244  0.5
356.445  1.45813  -1.645508  0.5
355.469  1.45813  -1.790771  0.5
354.492  1.45813  -1.935425  0.5
353.516  1.45813  -2.080688  0.5
352.539  1.45874  -2.225952  0.5
351.563  1.45874  -2.36145  0.5
350.586  1.45874  -2.506104  0.5
349.609  0.047607  -2.646484  -0.5
348.633  -1.472168  -2.504272  -0.5
347.656  -1.472778  -2.357178  -0.5
346.68  -1.472778  -2.210693  -0.5
345.703  -1.472778  -2.063599  -0.5
344.727  -1.472778  -1.917114  -0.5
343.75  -1.472778  -1.77063  -0.5
342.773  -1.473389  -1.624146  -0.5
341.797  -1.473389  -1.486816  -0.5
340.82  -1.473389  -1.340332  -0.5
339.844  -1.47522  -1.193237  -0.5
338.867  -1.47583  -1.046143  -0.5
337.891  -1.47522  -0.899048  -0.5
336.914  -1.47522  -0.752563  -0.5
335.938  -1.47522  -0.605469  -0.5
334.961  -1.47522  -0.458984  -0.5
333.984  -1.47522  -0.31189  -0.5
333.008  -1.47522  -0.165405  -0.5
332.031  -1.474609  -0.028076  -0.5
331.055  -1.474609  0.119019  -0.5
330.078  -1.474609  0.266113  -0.5
329.102  -1.474609  0.412598  -0.5
328.125  -1.47522  0.559692  -0.5
327.148  -1.474609  0.706177  -0.5
326.172  -1.47522  0.853271  -0.5
325.195  -1.47522  1.000366  -0.5
324.219  -1.47522  1.14624  -0.5
323.242  -1.47522  1.293335  -0.5
322.266  -1.47522  1.44043  -0.5
321.289  -1.47522  1.577148  -0.5
320.313  -1.47522  1.723633  -0.5
319.336  -1.47522  1.870728  -0.5
318.359  -1.47522  2.017212  -0.5
317.383  -1.47522  2.164307  -0.5
316.406  -1.47522  2.310791  -0.5
315.43  -1.47522  2.457275  -0.5
314.453  -1.47522  2.60437  -0.5
313.477  -1.474609  2.751465  -0.5
312.5  -1.47522  2.89856  -0.5
311.523  -1.474609  3.035278  -0.5
310.547  -1.472778  3.182373  -0.5
309.57  -1.472778  3.328857  -0.5
308.594  -1.472778  3.475952  -0.5
307.617  -1.472778  3.621826  -0.5
306.641  -1.472778  3.768921  -0.5
305.664  -1.472778  3.915405  -0.5
304.688  -1.472778  4.0625  -0.5
303.711  -1.472778  4.209595  -0.5
302.734  -1.472778  4.324951  -0.5
301.758  -1.472778  4.328613  -0.5
300.781  -1.472778  4.331665  -0.5
299.805  -1.472778  4.335938  0.5
298.828  1.45874  4.559326  0.5
297.852  1.45813  4.456177  0.5
296.875  1.45813  4.312134  0.5
295.898  1.45813  4.16626  0.5
294.922  1.45813  4.020386  0.5
293.945  1.45813  3.875122  0.5
292.969  1.45813  3.729248  0.5
291.992  1.45813  3.59314  0.5
291.016  1.45813  3.448486  0.5
290.039  1.45874  3.303223  0.5
289.063  1.45874  3.157349  0.5
288.086  1.45874  3.012085  0.5
287.109  1.45874  2.866821  0.5
286.133  1.45874  2.721558  0.5
285.156  1.45874  2.575684  0.5
284.18  1.45874  2.43042  0.5
283.203  1.45813  2.285156  0.5
282.227  1.45813  2.149658  0.5
281.25  1.45874  2.003784  0.5
280.273  1.45813  1.859131  0.5
279.297  1.45813  1.713867  0.5
278.32  1.45813  1.568604  0.5
277.344  1.45813  1.42334  0.5
276.367  1.45813  1.278076  0.5
275.391  1.45813  1.132812  0.5
274.414  1.45813  0.987549  0.5
273.438  1.45874  0.842896  0.5
272.461  1.45874  0.707397  0.5
