,0,1,2,3,4
0,0.274264,0.274264,0.274264,0.274264,0.274264
1,0.273324,0.273324,0.273324,0.273324,0.273324
2,0.272921,0.272921,0.272921,0.272921,0.272921
3,0.274398,0.274398,0.274398,0.274398,0.274398
4,0.274264,0.274264,0.274264,0.274264,0.274264
5,0.274667,0.274667,0.274667,0.274667,0.274667
6,0.274533,0.274533,0.274533,0.274533,0.274533
7,0.274264,0.274264,0.274264,0.274264,0.274264
8,0.273996,0.273996,0.273996,0.273996,0.273996
9,0.272787,0.272787,0.272787,0.272787,0.272787
10,0.272518,0.272518,0.272518,0.272518,0.272518
11,0.272652,0.272652,0.272652,0.272652,0.272652
12,0.272652,0.272652,0.272652,0.272652,0.272652
13,0.272652,0.272652,0.272652,0.272652,0.272652
14,0.271578,0.271578,0.271578,0.271578,0.271578
15,0.271041,0.271041,0.271041,0.271041,0.271041
16,0.272652,0.272652,0.272652,0.272652,0.272652
17,0.27319,0.27319,0.27319,0.27319,0.27319
18,0.274264,0.274264,0.274264,0.274264,0.274264
19,0.273593,0.273593,0.273593,0.273593,0.273593
20,0.272384,0.272384,0.272384,0.272384,0.272384
21,0.271712,0.271712,0.271712,0.271712,0.271712
22,0.271309,0.271309,0.271309,0.271309,0.271309
23,0.271444,0.271444,0.271444,0.271444,0.271444
24,0.271981,0.271981,0.271981,0.271981,0.271981
25,0.271981,0.271981,0.271981,0.271981,0.271981
26,0.270906,0.270906,0.270906,0.270906,0.270906
27,0.269966,0.269966,0.269966,0.269966,0.269966
28,0.269832,0.269832,0.269832,0.269832,0.269832
29,0.270638,0.270638,0.270638,0.270638,0.270638
30,0.271578,0.271578,0.271578,0.271578,0.271578
31,0.271309,0.271309,0.271309,0.271309,0.271309
32,0.272115,0.272115,0.272115,0.272115,0.272115
33,0.271041,0.271041,0.271041,0.271041,0.271041
34,0.270369,0.270369,0.270369,0.270369,0.270369
35,0.270235,0.270235,0.270235,0.270235,0.270235
36,0.269832,0.269832,0.269832,0.269832,0.269832
37,0.269966,0.269966,0.269966,0.269966,0.269966
38,0.270235,0.270235,0.270235,0.270235,0.270235
39,0.269832,0.269832,0.269832,0.269832,0.269832
40,0.268489,0.268489,0.268489,0.268489,0.268489
41,0.269026,0.269026,0.269026,0.269026,0.269026
42,0.269832,0.269832,0.269832,0.269832,0.269832
43,0.270906,0.270906,0.270906,0.270906,0.270906
44,0.271041,0.271041,0.271041,0.271041,0.271041
45,0.270235,0.270235,0.270235,0.270235,0.270235
46,0.269698,0.269698,0.269698,0.269698,0.269698
47,0.268757,0.268757,0.268757,0.268757,0.268757
48,0.267951,0.267951,0.267951,0.267951,0.267951
49,0.268489,0.268489,0.268489,0.268489,0.268489
50,0.269429,0.269429,0.269429,0.269429,0.269429
51,0.269563,0.269563,0.269563,0.269563,0.269563
52,0.268623,0.268623,0.268623,0.268623,0.268623
53,0.26728,0.26728,0.26728,0.26728,0.26728
54,0.267011,0.267011,0.267011,0.267011,0.267011
55,0.267683,0.267683,0.267683,0.267683,0.267683
56,0.268757,0.268757,0.268757,0.268757,0.268757
57,0.26916,0.26916,0.26916,0.26916,0.26916
58,0.26916,0.26916,0.26916,0.26916,0.26916
59,0.268757,0.268757,0.268757,0.268757,0.268757
60,0.267414,0.267414,0.267414,0.267414,0.267414
61,0.267011,0.267011,0.267011,0.267011,0.267011
62,0.267011,0.267011,0.267011,0.267011,0.267011
63,0.267146,0.267146,0.267146,0.267146,0.267146
64,0.267414,0.267414,0.267414,0.267414,0.267414
65,0.266608,0.266608,0.266608,0.266608,0.266608
66,0.265668,0.265668,0.265668,0.265668,0.265668
67,0.265803,0.265803,0.265803,0.265803,0.265803
68,0.266877,0.266877,0.266877,0.266877,0.266877
69,0.267414,0.267414,0.267414,0.267414,0.267414
70,0.267549,0.267549,0.267549,0.267549,0.267549
71,0.26728,0.26728,0.26728,0.26728,0.26728
72,0.267011,0.267011,0.267011,0.267011,0.267011
73,0.265534,0.265534,0.265534,0.265534,0.265534
74,0.265131,0.265131,0.265131,0.265131,0.265131
75,0.265131,0.265131,0.265131,0.265131,0.265131
76,0.266205,0.266205,0.266205,0.266205,0.266205
77,0.266608,0.266608,0.266608,0.266608,0.266608
78,0.265265,0.265265,0.265265,0.265265,0.265265
79,0.263922,0.263922,0.263922,0.263922,0.263922
80,0.264056,0.264056,0.264056,0.264056,0.264056
81,0.265265,0.265265,0.265265,0.265265,0.265265
82,0.266474,0.266474,0.266474,0.266474,0.266474
83,0.266474,0.266474,0.266474,0.266474,0.266474
84,0.266743,0.266743,0.266743,0.266743,0.266743
85,0.265937,0.265937,0.265937,0.265937,0.265937
86,0.264728,0.264728,0.264728,0.264728,0.264728
87,0.263519,0.263519,0.263519,0.263519,0.263519
88,0.264056,0.264056,0.264056,0.264056,0.264056
89,0.264594,0.264594,0.264594,0.264594,0.264594
90,0.264862,0.264862,0.264862,0.264862,0.264862
91,0.263922,0.263922,0.263922,0.263922,0.263922
92,0.262982,0.262982,0.262982,0.262982,0.262982
93,0.263116,0.263116,0.263116,0.263116,0.263116
94,0.264728,0.264728,0.264728,0.264728,0.264728
