[s],CH2[V]
-2.4995E-02,-8.69961E-01
-2.4990E-02,-8.69961E-01
-2.4985E-02,-8.79961E-01
-2.4980E-02,-8.69961E-01
-2.4975E-02,-8.69961E-01
-2.4970E-02,-8.79961E-01
-2.4965E-02,-8.69961E-01
-2.4960E-02,-8.79961E-01
-2.4955E-02,-8.79961E-01
-2.4950E-02,-8.59961E-01
-2.4945E-02,-8.79961E-01
-2.4940E-02,-8.89961E-01
-2.4935E-02,-8.79961E-01
-2.4930E-02,-8.79961E-01
-2.4925E-02,-8.79961E-01
-2.4920E-02,-8.69961E-01
-2.4915E-02,-8.69961E-01
-2.4910E-02,-8.79961E-01
-2.4905E-02,-8.69961E-01
-2.4900E-02,-8.69961E-01
-2.4895E-02,-8.69961E-01
-2.4890E-02,-8.79961E-01
-2.4885E-02,-8.79961E-01
-2.4880E-02,-8.79961E-01
-2.4875E-02,-8.69961E-01
-2.4870E-02,-8.69961E-01
-2.4865E-02,-8.79961E-01
-2.4860E-02,-8.69961E-01
-2.4855E-02,-8.69961E-01
-2.4850E-02,-8.69961E-01
-2.4845E-02,-8.89961E-01
-2.4840E-02,-8.79961E-01
-2.4835E-02,-8.69961E-01
-2.4830E-02,-8.79961E-01
-2.4825E-02,-8.79961E-01
-2.4820E-02,-8.69961E-01
-2.4815E-02,-8.89961E-01
-2.4810E-02,-8.69961E-01
-2.4805E-02,-8.79961E-01
-2.4800E-02,-8.69961E-01
-2.4795E-02,-8.69961E-01
-2.4790E-02,-8.79961E-01
-2.4785E-02,-8.69961E-01
-2.4780E-02,-8.69961E-01
-2.4775E-02,-8.69961E-01
-2.4770E-02,-8.59961E-01
-2.4765E-02,-8.79961E-01
-2.4760E-02,-8.89961E-01
-2.4755E-02,-8.69961E-01
-2.4750E-02,-8.69961E-01
-2.4745E-02,-8.59961E-01
-2.4740E-02,-8.89961E-01
-2.4735E-02,-8.79961E-01
-2.4730E-02,-8.69961E-01
-2.4725E-02,-8.69961E-01
-2.4720E-02,-8.79961E-01
-2.4715E-02,-8.69961E-01
-2.4710E-02,-8.79961E-01
-2.4705E-02,-8.69961E-01
-2.4700E-02,-8.89961E-01
-2.4695E-02,-8.79961E-01
-2.4690E-02,-8.69961E-01
-2.4685E-02,-8.79961E-01
-2.4680E-02,-8.69961E-01
-2.4675E-02,-8.79961E-01
-2.4670E-02,-8.69961E-01
-2.4665E-02,-8.79961E-01
-2.4660E-02,-8.79961E-01
-2.4655E-02,-8.69961E-01
-2.4650E-02,-8.79961E-01
-2.4645E-02,-8.69961E-01
-2.4640E-02,-8.79961E-01
-2.4635E-02,-8.69961E-01
-2.4630E-02,-8.69961E-01
-2.4625E-02,-8.69961E-01
-2.4620E-02,-8.89961E-01
-2.4615E-02,-8.69961E-01
-2.4610E-02,-8.69961E-01
-2.4605E-02,-8.99961E-01
-2.4600E-02,-8.99961E-01
