time,V(v_out)
0.000000000000000e+000,-8.477330e+000
3.424765851574429e-004,-8.477327e+000
7.338783967659503e-004,-8.477320e+000
1.133878396765951e-003,-8.477306e+000
1.533878396765952e-003,-8.477289e+000
1.933878396765953e-003,-8.477266e+000
2.333878396765955e-003,-8.477239e+000
2.733878396765956e-003,-8.477206e+000
3.133878396765957e-003,-8.477171e+000
3.533878396765958e-003,-8.477133e+000
3.933878396765959e-003,-8.477091e+000
4.333878396765960e-003,-8.477048e+000
4.733878396765961e-003,-8.477004e+000
5.133878396765962e-003,-8.476959e+000
5.533878396765963e-003,-8.476913e+000
5.933878396765964e-003,-8.476870e+000
6.333878396765965e-003,-8.476828e+000
6.733878396765966e-003,-8.476350e+000
7.133878396765967e-003,-8.473742e+000
7.397617111036939e-003,-8.468620e+000
7.686026956403351e-003,-8.457627e+000
7.957257900166551e-003,-8.442225e+000
8.196739570836945e-003,-8.397161e+000
8.199544989895238e-003,-8.395878e+000
8.205155828011828e-003,-8.391334e+000
8.216377504245007e-003,-8.379469e+000
8.217618053594281e-003,-8.377528e+000
8.220099152292829e-003,-8.372328e+000
8.220548000807536e-003,-8.371164e+000
8.221445697836949e-003,-8.368186e+000
8.222685148621321e-003,-8.362924e+000
8.223527656853295e-003,-8.357977e+000
8.224094845798658e-003,-8.353196e+000
8.224524168113576e-003,-8.348012e+000
8.224843665729453e-003,-8.342416e+000
8.225100734161290e-003,-8.335670e+000
8.225313069489926e-003,-8.327006e+000
8.225472156048071e-003,-8.316522e+000
8.225587656250338e-003,-8.303860e+000
8.225677316437682e-003,-8.287172e+000
8.225755899993064e-003,-8.261978e+000
8.225835183622163e-003,-8.218390e+000
8.225923757560261e-003,-8.137212e+000
8.226016535189340e-003,-7.994009e+000
8.226121409750563e-003,-7.720778e+000
8.226222049904794e-003,-7.271686e+000
8.226336007495300e-003,-6.493324e+000
8.226396545490684e-003,-5.929121e+000
8.226448312247822e-003,-5.343225e+000
8.226574533248605e-003,-3.790019e+000
8.226891266780122e-003,1.591923e-001
8.227216433788161e-003,3.872704e+000
8.227686681433834e-003,8.368448e+000
8.227696488669889e-003,8.412205e+000
8.228120597843801e-003,8.434554e+000
8.228544707017711e-003,8.452339e+000
8.228968816191623e-003,8.465560e+000
8.229392925365535e-003,8.474217e+000
8.229817034539446e-003,8.478310e+000
8.230241143713356e-003,8.477839e+000
8.230665252887268e-003,8.472804e+000
8.277290755681161e-003,8.475446e+000
8.323916258475055e-003,8.477391e+000
8.370541761268948e-003,8.478639e+000
8.417167264062839e-003,8.479191e+000
8.463792766856732e-003,8.479045e+000
8.510418269650625e-003,8.478203e+000
8.557043772444518e-003,8.476664e+000
8.878714066235322e-003,8.476664e+000
9.278714066235323e-003,8.476664e+000
9.678714066235324e-003,8.476664e+000
1.002816653219644e-002,8.476664e+000
1.034586385536683e-002,8.476664e+000
1.074586385536683e-002,8.476664e+000
1.114586385536683e-002,8.476664e+000
1.154586385536683e-002,8.476664e+000
1.194586385536683e-002,8.476664e+000
1.234586385536683e-002,8.476664e+000
1.274586385536683e-002,8.476664e+000
1.314586385536683e-002,8.476664e+000
1.354586385536684e-002,8.476663e+000
1.394586385536684e-002,8.476663e+000
1.434586385536684e-002,8.476663e+000
1.474586385536684e-002,8.476663e+000
1.514586385536684e-002,8.476663e+000
1.554586385536684e-002,8.476663e+000
1.594586385536684e-002,8.476663e+000
1.634586385536684e-002,8.476663e+000
1.674586385536684e-002,8.476188e+000
1.714586385536684e-002,8.473470e+000
1.741392481752879e-002,8.468093e+000
1.770467998876240e-002,8.456676e+000
1.796976480838455e-002,8.441072e+000
1.818781620733414e-002,8.401711e+000
1.819314720086459e-002,8.399517e+000
1.820380918792548e-002,8.392983e+000
1.820647468469071e-002,8.390915e+000
1.821180567822116e-002,8.385601e+000
1.821599531847083e-002,8.380475e+000
1.821704272853325e-002,8.378819e+000
1.821913754865809e-002,8.374616e+000
1.822092052364897e-002,8.370257e+000
1.822136626739668e-002,8.368870e+000
1.822225775489212e-002,8.365392e+000
1.822308930505525e-002,8.361270e+000
1.822376851049039e-002,8.356722e+000
1.822427571916759e-002,8.351992e+000
1.822467131393857e-002,8.346770e+000
1.822496652973692e-002,8.341103e+000
1.822521732220646e-002,8.333842e+000
1.822541810668760e-002,8.324718e+000
1.822556560785918e-002,8.313789e+000
1.822567331857690e-002,8.300444e+000
1.822575914234549e-002,8.282325e+000
1.822583680500044e-002,8.254032e+000
1.822591804036304e-002,8.203855e+000
1.822600582460424e-002,8.113402e+000
1.822610299134802e-002,7.945293e+000
1.822620577493303e-002,7.643812e+000
1.822630892570307e-002,7.126791e+000
1.822642542757034e-002,6.250349e+000
1.822647949268333e-002,5.708732e+000
1.822653320091521e-002,5.075614e+000
1.822671846970118e-002,2.761400e+000
1.822685423901463e-002,1.052381e+000
1.822712577764152e-002,-2.233849e+000
1.822766885489531e-002,-8.329755e+000
1.822768100485335e-002,-8.397633e+000
1.822789970409807e-002,-8.421822e+000
1.822811840334278e-002,-8.441152e+000
1.822833710258750e-002,-8.455623e+000
1.822855580183222e-002,-8.465235e+000
1.822877450107693e-002,-8.469988e+000
1.822899320032165e-002,-8.469882e+000
1.822921189956637e-002,-8.464916e+000
1.823183205201810e-002,-8.471167e+000
1.823445220446983e-002,-8.475923e+000
1.823707235692156e-002,-8.479183e+000
1.823969250937328e-002,-8.480949e+000
1.824231266182501e-002,-8.481220e+000
1.824493281427674e-002,-8.479997e+000
