time	V(vf1)	V(vf2)	V(vf3)	V(vg)
0.000000000000000e+000	1.097065e-005	3.299172e-005	3.299172e-005	0.000000e+000
1.000000000000000e-006	1.097065e-005	3.299172e-005	3.299172e-005	0.000000e+000
1.000241376014892e-006	9.633560e-006	3.171746e-005	1.183437e-003	2.413760e-002
1.000482752029784e-006	1.333074e-005	3.523882e-005	2.330592e-003	4.827520e-002
1.000724128044676e-006	2.206218e-005	4.355582e-005	3.474456e-003	7.241280e-002
1.000965504059567e-006	3.582788e-005	5.666846e-005	4.615031e-003	9.655041e-002
1.001206880074459e-006	5.462785e-005	7.457673e-005	5.752315e-003	1.206880e-001
1.001448256089351e-006	7.846209e-005	9.728064e-005	6.886309e-003	1.448256e-001
1.001689632104243e-006	1.073306e-004	1.247802e-004	8.017013e-003	1.689632e-001
1.002566302892217e-006	2.947435e-004	3.033331e-004	1.206936e-002	2.566303e-001
1.003406279416280e-006	6.205165e-004	6.137661e-004	1.585525e-002	3.406279e-001
1.004291128600045e-006	1.181594e-003	1.148562e-003	1.969709e-002	4.291129e-001
1.005364002132227e-006	2.233878e-003	2.151876e-003	2.409935e-002	5.364002e-001
1.006778419312957e-006	4.252565e-003	4.077103e-003	2.945294e-002	6.778419e-001
1.008151568469439e-006	7.012273e-003	6.709178e-003	3.404044e-002	8.151568e-001
1.010000000000000e-006	1.162392e-002	1.110729e-002	3.950015e-002	1.000000e+000
1.010554529459168e-006	1.339682e-002	1.279768e-002	3.815783e-002	1.000000e+000
1.011293902071392e-006	1.598008e-002	1.526042e-002	3.616393e-002	1.000000e+000
1.012772647295841e-006	2.189319e-002	2.089673e-002	3.148255e-002	1.000000e+000
1.015730137744738e-006	3.640560e-002	3.472709e-002	1.963433e-002	1.000000e+000
1.021645118642531e-006	7.284504e-002	6.944872e-002	-1.087181e-002	1.000000e+000
1.028859778248741e-006	1.280204e-001	1.220416e-001	-5.778131e-002	1.000000e+000
1.038625403248741e-006	2.167476e-001	2.068640e-001	-1.337600e-001	1.000000e+000
1.048391028248741e-006	3.158829e-001	3.026844e-001	-2.190862e-001	1.000000e+000
1.058156653248741e-006	4.207191e-001	4.067755e-001	-3.104747e-001	1.000000e+000
1.067922278248741e-006	5.257252e-001	5.163716e-001	-4.046983e-001	1.000000e+000
1.077687903248741e-006	6.260703e-001	6.295173e-001	-4.994629e-001	1.000000e+000
1.087453528248741e-006	7.179055e-001	7.447076e-001	-5.931354e-001	1.000000e+000
1.097219153248741e-006	7.985567e-001	8.606885e-001	-6.845578e-001	1.000000e+000
1.106984778248741e-006	8.665604e-001	9.763794e-001	-7.729194e-001	1.000000e+000
1.116750403248741e-006	9.215539e-001	1.090844e+000	-8.576680e-001	1.000000e+000
1.126516028248741e-006	9.640636e-001	1.203278e+000	-9.384449e-001	1.000000e+000
1.136281653248741e-006	9.952495e-001	1.312996e+000	-1.015039e+000	1.000000e+000
1.146047278248741e-006	1.016653e+000	1.419429e+000	-1.087351e+000	1.000000e+000
1.155812903248741e-006	1.029982e+000	1.522116e+000	-1.155368e+000	1.000000e+000
1.165578528248741e-006	1.036941e+000	1.620699e+000	-1.219141e+000	1.000000e+000
1.175344153248741e-006	1.039120e+000	1.714911e+000	-1.278769e+000	1.000000e+000
1.185109778248741e-006	1.037918e+000	1.804573e+000	-1.334390e+000	1.000000e+000
1.194875403248741e-006	1.034514e+000	1.889580e+000	-1.386163e+000	1.000000e+000
1.204641028248741e-006	1.029853e+000	1.969895e+000	-1.434266e+000	1.000000e+000
1.214406653248741e-006	1.024661e+000	2.045539e+000	-1.478889e+000	1.000000e+000
1.224172278248741e-006	1.019464e+000	2.116580e+000	-1.520225e+000	1.000000e+000
1.233937903248741e-006	1.014620e+000	2.183126e+000	-1.558470e+000	1.000000e+000
1.243703528248741e-006	1.010345e+000	2.245316e+000	-1.593816e+000	1.000000e+000
1.253469153248741e-006	1.006747e+000	2.303314e+000	-1.626453e+000	1.000000e+000
1.263234778248741e-006	1.003852e+000	2.357300e+000	-1.656564e+000	1.000000e+000
1.273000403248741e-006	1.001630e+000	2.407467e+000	-1.684325e+000	1.000000e+000
1.282766028248741e-006	1.000016e+000	2.454016e+000	-1.709903e+000	1.000000e+000
1.292531653248741e-006	9.989219e-001	2.497150e+000	-1.733457e+000	1.000000e+000
1.302297278248741e-006	9.982548e-001	2.537072e+000	-1.755137e+000	1.000000e+000
1.312062903248741e-006	9.979218e-001	2.573983e+000	-1.775084e+000	1.000000e+000
1.321828528248741e-006	9.978373e-001	2.608079e+000	-1.793430e+000	1.000000e+000
1.331594153248741e-006	9.979266e-001	2.639548e+000	-1.810299e+000	1.000000e+000
1.341359778248741e-006	9.981272e-001	2.668572e+000	-1.825805e+000	1.000000e+000
1.351125403248741e-006	9.983895e-001	2.695325e+000	-1.840055e+000	1.000000e+000
1.360891028248741e-006	9.986755e-001	2.719970e+000	-1.853148e+000	1.000000e+000
1.370656653248741e-006	9.989578e-001	2.742663e+000	-1.865177e+000	1.000000e+000
1.380422278248742e-006	9.992185e-001	2.763550e+000	-1.876226e+000	1.000000e+000
1.390187903248742e-006	9.994467e-001	2.782767e+000	-1.886374e+000	1.000000e+000
1.399953528248742e-006	9.996374e-001	2.800443e+000	-1.895693e+000	1.000000e+000
1.409719153248742e-006	9.997896e-001	2.816697e+000	-1.904250e+000	1.000000e+000
1.419484778248742e-006	9.999055e-001	2.831639e+000	-1.912107e+000	1.000000e+000
1.429250403248742e-006	9.999888e-001	2.845373e+000	-1.919320e+000	1.000000e+000
1.439016028248742e-006	1.000044e+000	2.857994e+000	-1.925943e+000	1.000000e+000
1.448781653248742e-006	1.000078e+000	2.869591e+000	-1.932022e+000	1.000000e+000
1.458547278248742e-006	1.000093e+000	2.880245e+000	-1.937603e+000	1.000000e+000
1.468312903248742e-006	1.000096e+000	2.890032e+000	-1.942726e+000	1.000000e+000
1.478078528248742e-006	1.000090e+000	2.899022e+000	-1.947428e+000	1.000000e+000
1.487844153248742e-006	1.000078e+000	2.907278e+000	-1.951745e+000	1.000000e+000
1.497609778248742e-006	1.000064e+000	2.914861e+000	-1.955707e+000	1.000000e+000
1.507375403248742e-006	1.000048e+000	2.921824e+000	-1.959343e+000	1.000000e+000
1.517141028248742e-006	1.000033e+000	2.928219e+000	-1.962681e+000	1.000000e+000
