Freq.	Vvf2
1.00000000000000e+000	1.01026285499851e+001  -5.56896955401525e-005
1.25892541179417e+000	1.01026285499834e+001  -7.01091728905715e-005
1.58489319246111e+000	1.01026285499809e+001  -8.82622193517980e-005
1.99526231496888e+000	1.01026285499768e+001  -1.11115550843302e-004
2.51188643150958e+000	1.01026285499703e+001  -1.39886190602086e-004
3.16227766016838e+000	1.01026285499600e+001  -1.76106280107942e-004
3.98107170553497e+000	1.01026285499436e+001  -2.21704671204219e-004
5.01187233627272e+000	1.01026285499178e+001  -2.79109644492038e-004
6.30957344480194e+000	1.01026285498768e+001  -3.51378224127015e-004
7.94328234724282e+000	1.01026285498118e+001  -4.42358975502919e-004
1.00000000000000e+001	1.01026285497088e+001  -5.56896955392492e-004
1.25892541179417e+001	1.01026285495456e+001  -7.01091728887693e-004
1.58489319246111e+001	1.01026285492869e+001  -8.82622193482019e-004
1.99526231496888e+001	1.01026285488769e+001  -1.11115550836127e-003
2.51188643150958e+001	1.01026285482271e+001  -1.39886190587772e-003
3.16227766016838e+001	1.01026285471972e+001  -1.76106280079380e-003
3.98107170553498e+001	1.01026285455650e+001  -2.21704671147228e-003
5.01187233627273e+001	1.01026285429781e+001  -2.79109644378325e-003
6.30957344480194e+001	1.01026285388782e+001  -3.51378223900136e-003
7.94328234724283e+001	1.01026285323802e+001  -4.42358975050228e-003
1.00000000000000e+002	1.01026285220816e+001  -5.56896954489253e-003
1.25892541179417e+002	1.01026285057594e+001  -7.01091727085492e-003
1.58489319246112e+002	1.01026284798905e+001  -8.82622189886157e-003
1.99526231496888e+002	1.01026284388910e+001  -1.11115550118659e-002
2.51188643150958e+002	1.01026283739112e+001  -1.39886189156234e-002
3.16227766016838e+002	1.01026282709251e+001  -1.76106277223087e-002
3.98107170553498e+002	1.01026281077032e+001  -2.21704665448175e-002
5.01187233627273e+002	1.01026278490139e+001  -2.79109633007220e-002
6.30957344480194e+002	1.01026274390190e+001  -3.51378201211793e-002
7.94328234724283e+002	1.01026267892210e+001  -4.42358929781041e-002
1.00000000000000e+003	1.01026257593608e+001  -5.56896864165364e-002
1.25892541179417e+003	1.01026241271427e+001  -7.01091546865680e-002
1.58489319246112e+003	1.01026215402526e+001  -8.82621830300476e-002
1.99526231496888e+003	1.01026174403108e+001  -1.11115478371921e-001
2.51188643150959e+003	1.01026109423480e+001  -1.39886046002792e-001
3.16227766016839e+003	1.01026006437887e+001  -1.76105991594799e-001
3.98107170553498e+003	1.01025843217168e+001  -2.21704095546020e-001
5.01187233627273e+003	1.01025584530878e+001  -2.79108495906735e-001
6.30957344480195e+003	1.01025174543545e+001  -3.51375932410088e-001
7.94328234724283e+003	1.01024524764465e+001  -4.42354402964580e-001
1.00000000000000e+004	1.01023494951735e+001  -5.56887832099480e-001
1.25892541179417e+004	1.01021862853039e+001  -7.01073525905747e-001
1.58489319246112e+004	1.01019276262667e+001  -8.82585874962220e-001
1.99526231496889e+004	1.01015177073845e+001  -1.11108304719464e+000
2.51188643150959e+004	1.01008681002211e+001  -1.39871733888030e+000
3.16227766016839e+004	1.00998387192408e+001  -1.76077438976845e+000
3.98107170553498e+004	1.00982077047016e+001  -2.21647137611810e+000
5.01187233627274e+004	1.00956238362234e+001  -2.78994887899385e+000
6.30957344480195e+004	1.00915314789757e+001  -3.51149374715757e+000
7.94328234724284e+004	1.00850525455804e+001  -4.41902740045168e+000
1.00000000000000e+005	1.00748016981667e+001  -5.55987841850157e+000
1.25892541179417e+005	1.00585991250668e+001  -6.99281575133934e+000
1.58489319246112e+005	1.00330292893042e+001  -8.79022295063356e+000
1.99526231496889e+005	9.99277568471593e+000  -1.10400980710015e+001
2.51188643150959e+005	9.92964833679021e+000  -1.38471962924986e+001
3.16227766016839e+005	9.83123383721485e+000  -1.73320075963237e+001
3.98107170553499e+005	9.67918482009758e+000  -2.16253601880289e+001
5.01187233627274e+005	9.44740912544744e+000  -2.68555506370868e+001
6.30957344480196e+005	9.10089737769369e+000  -3.31251081713839e+001
7.94328234724285e+005	8.59654431184800e+000  -4.04778570711978e+001
