TIME  IN1  IN2
5  0.203857  4.302979
4.99  0.363159  4.302368
4.98  0.52124  4.301147
4.971  0.681152  4.299927
4.961  0.838623  4.298096
4.951  0.998535  4.298706
4.941  1.314087  4.295654
4.932  1.470947  4.295044
4.922  1.620483  -0.690308
4.912  1.780396  -4.588623
4.902  1.940918  -4.594116
4.893  2.254639  -4.544067
4.883  2.41333  -4.51416
4.873  2.56958  -4.484863
4.863  2.72644  -4.458008
4.854  2.88269  -4.432983
4.844  3.19519  -4.386597
4.834  3.352661  -4.365845
4.824  3.508911  -4.346924
4.814  3.666382  -4.328003
4.805  3.823242  -4.310303
4.795  4.136353  -4.279175
4.785  4.294434  -4.265137
4.775  4.451294  -4.25293
4.766  4.609985  -4.240112
4.756  4.768677  -4.228516
4.746  4.914551  -4.21814
4.736  4.630127  -4.192505
4.727  4.451294  -4.18335
4.717  4.272461  -4.176636
4.707  4.09668  -4.16748
4.697  3.922729  -4.160767
4.688  3.577881  -4.147339
4.678  3.405762  -4.141235
4.668  3.234863  -4.135132
4.658  3.063965  -4.130859
4.648  2.895508  -4.125366
4.639  2.560425  -4.115601
4.629  2.393188  -4.111938
4.619  2.227173  -4.107666
4.609  2.062378  -4.104614
4.6  1.898804  -4.100342
4.59  1.570435  -4.095459
4.58  1.408081  -4.091187
4.57  1.243896  -4.089355
4.561  1.083374  -4.085693
4.551  0.922241  -4.083862
4.541  0.598755  -4.0802
4.531  0.438232  -4.077148
4.521  0.276489  -4.076538
4.512  0.119019  -4.074097
4.502  -0.040894  -4.071655
4.492  -0.200806  -4.071045
4.482  -0.518799  -4.067993
4.473  -0.67749  -4.067383
4.463  -0.835571  -4.066162
4.453  -0.994263  -4.067383
4.443  -1.152954  -4.0625
4.434  -1.463623  -0.436401
4.424  -1.619263  4.828491
4.414  -1.780396  4.828491
4.404  -1.939697  4.806519
4.395  -2.097168  4.777832
4.385  -2.411499  4.719238
4.375  -2.568359  4.691162
4.365  -2.72583  4.666138
4.355  -2.88269  4.641724
4.346  -3.03833  4.619751
4.336  -3.35022  4.578857
4.326  -3.508301  4.559326
4.316  -3.664551  4.542847
4.307  -3.821411  4.526978
4.297  -3.97583  4.511108
4.287  -4.28772  4.484253
4.277  -4.44397  4.471436
4.268  -4.599609  4.458618
4.258  -4.754028  4.448242
4.248  -4.898071  4.439087
4.238  -4.813843  4.429321
4.229  -4.456787  4.412231
4.219  -4.280396  4.403076
4.209  -4.102173  4.395752
4.199  -3.927612  4.389038
4.189  -3.754883  4.382935
4.18  -3.410645  4.370728
4.17  -3.240967  4.365234
4.16  -3.068848  4.360352
4.15  -2.901001  4.355469
4.141  -2.734985  4.351196
4.131  -2.400513  4.341431
4.121  -2.234497  4.3396
4.111  -2.069702  4.334717
4.102  -1.904907  4.332275
4.092  -1.742554  4.328613
4.082  -1.414185  4.32312
4.072  -1.251221  4.320068
4.063  -1.090698  4.318237
4.053  -0.928345  4.315796
4.043  -0.767212  4.313354
4.033  -0.444946  4.309692
4.023  -0.285034  4.307861
4.014  -0.125122  4.307251
4.004  0.032349  4.30481
3.994  0.192261  4.302979
3.984  0.350952  4.301758
3.975  0.668945  4.299316
3.965  0.826416  4.297485
3.955  0.986328  4.298096
3.945  1.143799  4.296875
3.936  1.30249  4.296265
3.926  1.610718  -0.043945
3.916  1.767578  -4.586792
3.906  1.929321  -4.594727
3.896  2.086792  -4.575195
3.887  2.243652  -4.546509
3.877  2.557983  -4.487305
3.867  2.714844  -4.459839
3.857  2.871094  -4.434814
3.848  3.027344  -4.4104
3.838  3.183594  -4.387817
3.828  3.497314  -4.347534
3.818  3.654175  -4.329224
3.809  3.810425  -4.312134
3.799  3.966064  -4.295654
3.789  4.122314  -4.281616
3.779  4.439087  -4.25415
3.77  4.597778  -4.241943
3.76  4.755859  -4.230347
3.75  4.909058  -4.21875
3.74  4.82605  -4.207153
3.73  4.641113  -4.194336
3.721  4.284058  -4.177246
3.711  4.108276  -4.168091
3.701  3.933105  -4.161377
3.691  3.759155  -4.154663
3.682  3.587646  -4.147949
3.672  3.24585  -4.135742
3.662  3.074951  -4.13147
3.652  2.905273  -4.125977
3.643  2.739258  -4.120483
3.633  2.570801  -4.116821
3.623  2.23938  -4.107666
3.613  2.073364  -4.105225
3.604  1.90979  -4.100342
3.594  1.746216  -4.098511
3.584  1.582642  -4.093628
3.574  1.256104  -4.088745
3.564  1.09375  -4.085693
3.555  0.932617  -4.083862
3.545  0.772095  -4.082031
3.535  0.610962  -4.078979
3.525  0.288696  -4.074707
3.516  0.130005  -4.073486
3.506  -0.031128  -4.072876
3.496  -0.189819  -4.071045
3.486  -0.349731  -4.069824
3.477  -0.507202  -4.067383
3.467  -0.823364  -4.065552
3.457  -0.982666  -4.067383
3.447  -1.140747  -4.06189
3.438  -1.300049  -4.046631
3.428  -1.452637  -1.083374
3.418  -1.768799  4.829102
