TIME  IN1  IN2
5  0.108643  -4.044189
4.99  0.266113  -4.012451
4.98  0.460205  1.877441
4.971  0.629883  4.806519
4.961  0.785522  4.802246
4.951  0.941162  4.783325
4.941  1.256104  4.733276
4.932  1.411743  4.708252
4.922  1.568604  4.685669
4.912  1.724854  4.664917
4.902  1.881714  4.645386
4.893  2.194214  4.611206
4.883  2.349854  4.595947
4.873  2.505493  4.581909
4.863  2.661743  4.570312
4.854  2.817383  4.558716
4.844  3.127441  4.539185
4.834  3.283691  4.53064
4.824  3.439941  4.522705
4.814  3.595581  4.516602
4.805  3.751831  4.511719
4.795  4.06311  4.504395
4.785  4.21875  4.503784
4.775  4.376831  4.505005
4.766  4.534912  4.515991
4.756  4.692993  4.590454
4.746  4.852905  4.748535
4.736  4.713135  4.642334
4.727  4.532471  4.498901
4.717  4.354858  4.458618
4.707  4.179077  4.441528
4.697  4.003906  4.429932
4.688  3.660278  4.406738
4.678  3.48938  4.398193
4.668  3.318481  4.388428
4.658  3.148193  4.380493
4.648  2.979736  4.373169
4.639  2.646484  4.35791
4.629  2.480469  4.350586
4.619  2.314453  4.344482
4.609  2.150879  4.338379
4.6  1.986694  4.331665
4.59  1.660767  4.320068
4.58  1.497803  4.313965
4.57  1.33606  4.310303
4.561  1.173706  4.304199
4.551  1.013184  4.298096
4.541  0.692139  4.28894
4.531  0.531616  4.283447
4.521  0.371704  4.278564
4.512  0.211792  4.274292
4.502  0.053711  4.269409
4.492  -0.10498  4.264526
4.482  -0.441284  1.087646
4.473  -0.629883  -4.573975
4.463  -0.782471  -4.591675
4.453  -0.938721  -4.575806
4.443  -1.095581  -4.54895
4.434  -1.410522  -4.494629
4.424  -1.566162  -4.470215
4.414  -1.723633  -4.447021
4.404  -1.879883  -4.42627
4.395  -2.036743  -4.406738
4.385  -2.349243  -4.371948
4.375  -2.504883  -4.356079
4.365  -2.661133  -4.342651
4.355  -2.817383  -4.329224
4.346  -2.973022  -4.316406
4.336  -3.282471  -4.295654
4.326  -3.438721  -4.285889
4.316  -3.594971  -4.277344
4.307  -3.751221  -4.269409
4.297  -3.90686  -4.261475
4.287  -4.215698  -4.248657
4.277  -4.371338  -4.243164
4.268  -4.525757  -4.226074
4.258  -4.671631  -2.717896
4.248  -4.80896  0.401611
4.238  -4.856567  1.757202
4.229  -4.540405  -3.858032
4.219  -4.362793  -4.238281
4.209  -4.185791  -4.240112
4.199  -4.01062  -4.232788
4.189  -3.83728  -4.221802
4.18  -3.494873  -4.20166
4.17  -3.323364  -4.190674
4.16  -3.154907  -4.182129
4.15  -2.987061  -4.173584
4.141  -2.819824  -4.164429
4.131  -2.486572  -4.14856
4.121  -2.321777  -4.141846
