time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+001	-8.474949e+000
6.135668795186428e-007	-9.975457e+000	-8.475023e+000
1.227133759037286e-006	-9.950915e+000	-8.475119e+000
1.840700638555929e-006	-9.926372e+000	-8.475238e+000
2.454267518074571e-006	-9.901829e+000	-8.475380e+000
3.067834397593214e-006	-9.877287e+000	-8.475544e+000
3.681401277111857e-006	-9.852744e+000	-8.475731e+000
4.294968156630498e-006	-9.828201e+000	-8.475941e+000
8.589935377260995e-006	-9.656403e+000	-8.476930e+000
1.433939091420327e-005	-9.426424e+000	-8.477598e+000
2.019876591420327e-005	-9.192049e+000	-8.477753e+000
2.605814091420327e-005	-8.957674e+000	-8.477747e+000
3.190268909142035e-004	2.761075e+000	-8.476441e+000
3.366050159142035e-004	3.464200e+000	-8.462736e+000
3.424643909142035e-004	3.698575e+000	-8.446011e+000
3.483237659142035e-004	3.932950e+000	-8.417063e+000
3.484430258545104e-004	3.937721e+000	-8.415892e+000
3.486815457351243e-004	3.947262e+000	-8.412251e+000
3.491585854963521e-004	3.966343e+000	-8.402205e+000
3.497491074834400e-004	3.989964e+000	-8.384826e+000
3.498304873729836e-004	3.993219e+000	-8.380904e+000
3.499932471520709e-004	3.999730e+000	-8.369302e+000
3.500769832271220e-004	4.003079e+000	-8.359425e+000
3.502104053456921e-004	4.008416e+000	-8.330696e+000
3.502697619459336e-004	4.010790e+000	-8.300415e+000
3.503195762077311e-004	4.012783e+000	-8.242625e+000
3.503769612852692e-004	4.015079e+000	-8.126771e+000
3.504367904985567e-004	4.017472e+000	-7.920822e+000
3.505564489251316e-004	4.022258e+000	-7.225245e+000
3.506760700092160e-004	4.027043e+000	-6.184986e+000
3.507338281131555e-004	4.029353e+000	-5.528347e+000
3.510538652679952e-004	4.042155e+000	-1.420563e+000
3.513108683668974e-004	4.052435e+000	1.862288e+000
3.518248745647018e-004	4.072995e+000	6.900887e+000
3.522556965175552e-004	4.090228e+000	8.419442e+000
3.527734078370370e-004	4.110936e+000	8.454679e+000
3.551864826519814e-004	4.207459e+000	8.473570e+000
4.653329617227198e-004	8.613318e+000	8.476665e+000
5.000419449598324e-004	9.998322e+000	8.476664e+000
8.212842951170957e-004	-2.851372e+000	8.475921e+000
8.327783981322582e-004	-3.311136e+000	8.468460e+000
8.386377731322582e-004	-3.545511e+000	8.458701e+000
8.452295700072583e-004	-3.809183e+000	8.440428e+000
8.466944137572582e-004	-3.867776e+000	8.430072e+000
8.489956978946081e-004	-3.959828e+000	8.406987e+000
8.490656583176753e-004	-3.962626e+000	8.405872e+000
8.492055791638098e-004	-3.968223e+000	8.402706e+000
8.494854208560788e-004	-3.979417e+000	8.394246e+000
8.498777759027607e-004	-3.995111e+000	8.378126e+000
