time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+001	8.454711e+000
9.788496650861429e-007	-9.960846e+000	8.455753e+000
1.957699330172286e-006	-9.921692e+000	8.456924e+000
2.936548995258429e-006	-9.882538e+000	8.458225e+000
3.915398660344572e-006	-9.843384e+000	8.459654e+000
4.894248325430715e-006	-9.804230e+000	8.461214e+000
5.873097990516857e-006	-9.765076e+000	8.462902e+000
6.851947655602998e-006	-9.725923e+000	8.464720e+000
1.079109855346124e-005	-9.568357e+000	8.469791e+000
1.665047355346124e-005	-9.333982e+000	8.475036e+000
2.165015038757859e-005	-9.133994e+000	8.477240e+000
2.678824821014271e-005	-8.928470e+000	8.477760e+000
3.216185233577145e-005	-8.713526e+000	8.477765e+000
3.010068848605634e-004	2.040275e+000	8.474315e+000
3.034912415156139e-004	2.139650e+000	8.485594e+000
3.059755981706644e-004	2.239024e+000	8.488832e+000
3.084599548257149e-004	2.338398e+000	8.484029e+000
3.109443114807654e-004	2.437772e+000	8.471186e+000
3.134286681358159e-004	2.537147e+000	8.450303e+000
3.159130247908664e-004	2.636521e+000	8.421379e+000
3.183973814459170e-004	2.735895e+000	8.384414e+000
3.187231788157093e-004	2.748927e+000	8.333123e+000
3.188157419149195e-004	2.752630e+000	8.230193e+000
3.188748643750048e-004	2.754995e+000	8.073875e+000
3.189327905608825e-004	2.757312e+000	7.823879e+000
3.190486429326377e-004	2.761946e+000	7.082679e+000
3.191029112632910e-004	2.764117e+000	6.603758e+000
3.191502524945081e-004	2.766010e+000	6.076009e+000
3.192719859779967e-004	2.770880e+000	4.553773e+000
3.195293316231238e-004	2.781173e+000	1.254838e+000
3.197844885786807e-004	2.791379e+000	-1.989369e+000
3.202948024897943e-004	2.811792e+000	-7.853311e+000
3.203972330758202e-004	2.815889e+000	-8.398378e+000
3.216540607277309e-004	2.866162e+000	-8.462079e+000
3.232528314525357e-004	2.930113e+000	-8.468750e+000
3.248516021773405e-004	2.994064e+000	-8.473909e+000
3.264503729021453e-004	3.058015e+000	-8.477553e+000
3.280491436269501e-004	3.121966e+000	-8.479685e+000
3.296479143517549e-004	3.185917e+000	-8.480303e+000
3.312466850765597e-004	3.249867e+000	-8.479408e+000
3.328454558013645e-004	3.313818e+000	-8.477000e+000
5.001677740793296e-004	9.993289e+000	-8.477007e+000
8.018841014943968e-004	-2.075364e+000	-8.474445e+000
