time	V(vc)	V(vout)
0.000000000000000e+000	1.330404e-005	1.334065e-005
1.902696250006556e-004	1.330390e-005	1.294518e-005
1.939367903531807e-004	1.330443e-005	1.445771e-005
1.967584291158606e-004	1.330238e-005	8.687733e-006
1.985632327361989e-004	1.315613e-005	-4.029782e-004
1.991698969947498e-004	1.277266e-005	-1.482332e-003
1.994636892854545e-004	1.217837e-005	-3.155068e-003
1.996417988687879e-004	1.141160e-005	-5.313285e-003
1.998018929801587e-004	1.018595e-005	-8.763088e-003
1.999649625192381e-004	8.068142e-006	-1.472407e-002
2.001365062315486e-004	4.502850e-006	-2.475924e-002
2.002602152635890e-004	5.510852e-007	-3.588217e-002
2.003737251944352e-004	-4.805698e-006	-5.095964e-002
2.004870350230528e-004	-1.258580e-005	-7.285741e-002
2.006154202339970e-004	-2.568566e-005	-1.097261e-001
2.007568387592318e-004	-4.788412e-005	-1.721925e-001
2.009088434757732e-004	-8.586911e-005	-2.790360e-001
2.010674472492071e-004	-1.506038e-004	-4.608960e-001
2.012310302440493e-004	-2.614453e-004	-7.710854e-001
2.013975785983385e-004	-4.503781e-004	-1.293739e+000
2.015672315420252e-004	-7.720444e-004	-2.154276e+000
2.017410804948813e-004	-1.277424e-003	-3.433465e+000
2.018477532300227e-004	-1.719587e-003	-4.443019e+000
2.019522046708486e-004	-2.292297e-003	-5.565626e+000
2.020620785175814e-004	-3.037941e-003	-6.783907e+000
2.021775889686668e-004	-3.963361e-003	-7.825439e+000
2.022964254005869e-004	-5.015536e-003	-8.296735e+000
2.025340982644273e-004	-7.196497e-003	-8.429671e+000
2.037015539732095e-004	-1.798773e-002	-8.450132e+000
2.048690096819917e-004	-2.876896e-002	-8.466015e+000
2.060364653907740e-004	-3.954021e-002	-8.477320e+000
2.072039210995562e-004	-5.030147e-002	-8.484047e+000
2.083713768083384e-004	-6.105273e-002	-8.486196e+000
2.095388325171206e-004	-7.179401e-002	-8.483767e+000
2.107062882259029e-004	-8.252529e-002	-8.476761e+000
2.339213185180998e-004	-2.928814e-001	-8.482341e+000
2.571363488102968e-004	-4.981630e-001	-8.483568e+000
2.803513791024937e-004	-6.983701e-001	-8.480443e+000
3.035664093946907e-004	-8.935026e-001	-8.472965e+000
3.267814396868877e-004	-1.083561e+000	-8.461135e+000
3.499964699790847e-004	-1.268544e+000	-8.444953e+000
3.732115002712816e-004	-1.448453e+000	-8.424417e+000
3.745374912457797e-004	-1.458570e+000	-8.427546e+000
3.758634822202778e-004	-1.468664e+000	-8.426137e+000
3.771894731947758e-004	-1.478733e+000	-8.420190e+000
3.785154641692739e-004	-1.488778e+000	-8.409705e+000
3.798414551437720e-004	-1.498799e+000	-8.394683e+000
3.811674461182701e-004	-1.508796e+000	-8.375123e+000
3.824934370927682e-004	-1.518769e+000	-8.351025e+000
3.829460594363608e-004	-1.522143e+000	-8.297374e+000
3.831799110294026e-004	-1.523860e+000	-8.163016e+000
3.833010062186329e-004	-1.524730e+000	-8.027747e+000
3.834508595166979e-004	-1.525771e+000	-7.758776e+000
3.836159203168502e-004	-1.526849e+000	-7.272228e+000
3.837929688092208e-004	-1.527865e+000	-6.394246e+000
3.840012705389758e-004	-1.528844e+000	-4.867428e+000
3.840960001604176e-004	-1.529165e+000	-3.964769e+000
3.842012581331384e-004	-1.529375e+000	-2.821186e+000
3.843103418410481e-004	-1.529458e+000	-1.607736e+000
3.847640978571923e-004	-1.528034e+000	3.448252e+000
3.851225885919302e-004	-1.525277e+000	6.591279e+000
3.855441218170455e-004	-1.521162e+000	8.372831e+000
3.856058953539961e-004	-1.520504e+000	8.438132e+000
3.869058988411726e-004	-1.506314e+000	8.455040e+000
3.882059023283491e-004	-1.492140e+000	8.468154e+000
3.895059058155256e-004	-1.477984e+000	8.477473e+000
3.908059093027021e-004	-1.463844e+000	8.482997e+000
3.921059127898786e-004	-1.449722e+000	8.484726e+000
3.934059162770550e-004	-1.435616e+000	8.482661e+000
3.947059197642315e-004	-1.421528e+000	8.476802e+000
4.150089958200175e-004	-1.204341e+000	8.476796e+000
4.353120718758035e-004	-9.916734e-001	8.476786e+000
4.556151479315894e-004	-7.835249e-001	8.476772e+000
4.759182239873753e-004	-5.798953e-001	8.476753e+000
4.962213000431614e-004	-3.807848e-001	8.476729e+000
5.165243760989473e-004	-1.861933e-001	8.476700e+000
5.368274521547332e-004	3.879175e-003	8.476667e+000
5.452258896547331e-004	8.137626e-002	8.476657e+000
5.686215369761615e-004	2.933855e-001	8.482615e+000
5.920171842975899e-004	5.002370e-001	8.483929e+000
6.154128316190184e-004	7.019307e-001	8.480601e+000
6.388084789404468e-004	8.984667e-001	8.472630e+000
6.622041262618752e-004	1.089845e+000	8.460015e+000
6.855997735833036e-004	1.276065e+000	8.442757e+000
7.089954209047320e-004	1.457128e+000	8.420856e+000
7.101983593450669e-004	1.466314e+000	8.429889e+000
7.114012977854018e-004	1.475472e+000	8.431717e+000
7.126042362257367e-004	1.484603e+000	8.426340e+000
