TIME  IN1  IN2  OUT1
500  -0.983276  4.347534  -0.5
499.023  0.982056  4.535522  0.5
498.047  0.97168  4.468384  0.5
497.07  0.97229  4.382324  0.5
496.094  0.97168  4.285278  0.5
495.117  0.97229  4.187622  0.5
494.141  0.97229  4.089966  0.5
493.164  0.97168  3.99292  0.5
492.188  0.97229  3.895874  0.5
491.211  0.97229  3.798828  0.5
490.234  0.97229  3.701172  0.5
489.258  0.97229  3.61145  0.5
488.281  0.97229  3.514404  0.5
487.305  0.97229  3.417358  0.5
486.328  0.97229  3.320923  0.5
485.352  0.97229  3.223877  0.5
484.375  0.97229  3.126831  0.5
483.398  0.97229  3.029785  0.5
482.422  0.97229  2.932739  0.5
481.445  0.9729  2.835693  0.5
480.469  0.9729  2.738647  0.5
479.492  0.9729  2.648926  0.5
478.516  0.9729  2.55188  0.5
477.539  0.9729  2.454834  0.5
476.563  0.97229  2.357788  0.5
475.586  0.97229  2.260742  0.5
474.609  0.97229  2.164307  0.5
473.633  0.97229  2.067871  0.5
472.656  0.97229  1.970825  0.5
471.68  0.97229  1.873779  0.5
470.703  0.97229  1.776733  0.5
469.727  0.97229  1.687012  0.5
468.75  0.97229  1.589966  0.5
467.773  0.97229  1.49292  0.5
466.797  0.9729  1.396484  0.5
465.82  0.97229  1.299438  0.5
464.844  0.9729  1.203003  0.5
463.867  0.9729  1.105957  0.5
462.891  0.9729  1.009521  0.5
461.914  0.9729  0.912476  0.5
460.938  0.9729  0.81543  0.5
459.961  0.97229  0.725098  0.5
458.984  0.97229  0.628052  0.5
458.008  0.97229  0.531616  0.5
457.031  0.97229  0.43457  0.5
456.055  0.97229  0.337524  0.5
455.078  0.97229  0.241089  0.5
454.102  0.97229  0.144653  0.5
453.125  0.97229  0.047607  0.5
452.148  0.97229  -0.049438  0.5
451.172  0.97229  -0.145874  0.5
450.195  0.9729  -0.236816  0.5
449.219  -1.008301  -0.27832  -0.5
448.242  -0.982666  -0.179443  -0.5
447.266  -0.982666  -0.081177  -0.5
446.289  -0.982666  0.016479  -0.5
445.313  -0.982666  0.114746  -0.5
444.336  -0.983276  0.212402  -0.5
443.359  -0.982666  0.310059  -0.5
442.383  -0.983276  0.408325  -0.5
441.406  -0.982666  0.505981  -0.5
440.43  -0.982666  0.597534  -0.5
439.453  -0.983276  0.69519  -0.5
438.477  -0.985107  0.793457  -0.5
437.5  -0.985107  0.891113  -0.5
436.523  -0.985107  0.98938  -0.5
435.547  -0.985107  1.087036  -0.5
434.57  -0.985718  1.185303  -0.5
433.594  -0.985718  1.282959  -0.5
432.617  -0.985718  1.380615  -0.5
431.641  -0.985718  1.478882  -0.5
430.664  -0.985107  1.570435  -0.5
