TIME  IN1  IN2  OUT1
5  0.556641  4.301147  -0.5
4.99  0.560913  4.295654  0.5
4.98  0.558472  4.292603  0.5
4.971  0.553589  4.28772  0.5
4.961  0.549316  4.282227  0.5
4.951  0.545044  4.277344  0.5
4.941  0.53772  4.268188  0.5
4.932  0.534668  4.263916  0.5
4.922  0.531616  4.258423  0.5
4.912  0.529175  4.254761  0.5
4.902  0.526123  4.249878  0.5
4.893  0.52124  4.241943  0.5
4.883  0.519409  4.237061  0.5
4.873  0.516357  4.232788  0.5
4.863  0.514526  4.228516  0.5
4.854  0.512695  4.224243  0.5
4.844  0.509644  4.215698  0.5
4.834  0.508423  4.212036  0.5
4.824  0.507202  4.207764  0.5
4.814  0.505371  4.203491  0.5
4.805  0.50293  4.198608  0.5
4.795  0.501709  4.190674  0.5
4.785  0.499878  4.185791  0.5
4.775  0.499268  4.182129  0.5
4.766  0.498657  4.177246  0.5
4.756  0.498047  4.174194  0.5
4.746  0.497437  4.169312  0.5
4.736  0.494995  4.161987  0.5
4.727  0.494385  4.157715  0.5
4.717  0.493774  4.152832  0.5
4.707  0.493164  4.14856  0.5
4.697  0.492554  4.144897  0.5
4.688  0.491943  4.136963  0.5
4.678  0.491333  4.13208  0.5
4.668  0.490723  4.128418  0.5
4.658  0.490723  4.124756  0.5
4.648  0.490112  4.120483  0.5
4.639  0.489502  4.111938  0.5
4.629  0.489502  4.107666  0.5
4.619  0.488892  4.104004  0.5
4.609  0.488892  4.099731  0.5
4.6  0.488892  4.095459  0.5
4.59  0.487671  4.087524  0.5
4.58  0.488281  4.083862  0.5
4.57  0.487671  4.07959  0.5
4.561  0.487671  4.075928  0.5
4.551  0.487061  4.071045  0.5
4.541  0.48645  4.0625  0.5
4.531  0.48645  4.059448  0.5
4.521  0.48584  4.053955  0.5
4.512  0.48584  4.050903  0.5
4.502  0.436401  4.04541  0.5
4.492  -0.554199  4.046631  -0.5
4.482  -0.565796  4.056396  -0.5
4.473  -0.561523  4.060669  -0.5
4.463  -0.557861  4.065552  -0.5
4.453  -0.554199  4.069214  -0.5
4.443  -0.549316  4.074097  -0.5
4.434  -0.543213  4.083862  -0.5
4.424  -0.539551  4.088135  -0.5
