time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+000	8.476793e+000
9.999999824516700e-015	-1.000000e+000	8.476793e+000
1.999999964903340e-014	-1.000000e+000	8.476793e+000
3.999999929806680e-014	-1.000000e+000	8.476793e+000
7.999999859613360e-014	-1.000000e+000	8.476793e+000
1.599999971922672e-013	-1.000000e+000	8.476793e+000
3.199999943845344e-013	-1.000000e+000	8.476793e+000
6.399999887690688e-013	-1.000000e+000	8.476793e+000
1.000000000000000e-012	-1.000000e+000	8.476793e+000
2.000000000000000e-012	1.000000e+000	8.477184e+000
6.096472309745296e-005	1.000000e+000	8.477168e+000
1.219294441949059e-004	1.000000e+000	8.476320e+000
1.828941652923589e-004	1.000000e+000	8.474640e+000
2.438588863898118e-004	1.000000e+000	8.472130e+000
3.048236074872648e-004	1.000000e+000	8.468788e+000
3.657883285847177e-004	1.000000e+000	8.464614e+000
4.267530496821705e-004	1.000000e+000	8.459610e+000
4.372169000132890e-004	1.000000e+000	8.458643e+000
4.476807503444075e-004	1.000000e+000	8.457637e+000
4.581446006755260e-004	1.000000e+000	8.456593e+000
4.686084510066445e-004	1.000000e+000	8.455509e+000
4.790723013377630e-004	1.000000e+000	8.454386e+000
4.895361516688815e-004	1.000000e+000	8.453225e+000
5.000000020000000e-004	1.000000e+000	8.452024e+000
5.000000030000000e-004	-1.000000e+000	8.450978e+000
5.132356586262140e-004	-1.000000e+000	8.452278e+000
5.264713142524282e-004	-1.000000e+000	8.453458e+000
5.397069698786422e-004	-1.000000e+000	8.454518e+000
5.529426255048563e-004	-1.000000e+000	8.455458e+000
5.661782811310703e-004	-1.000000e+000	8.456278e+000
5.794139367572845e-004	-1.000000e+000	8.456979e+000
5.926495923834985e-004	-1.000000e+000	8.457560e+000
6.508425079001415e-004	-1.000000e+000	8.460231e+000
7.090354234167847e-004	-1.000000e+000	8.462620e+000
7.672283389334278e-004	-1.000000e+000	8.464727e+000
8.254212544500708e-004	-1.000000e+000	8.466553e+000
8.836141699667139e-004	-1.000000e+000	8.468096e+000
9.418070854833571e-004	-1.000000e+000	8.469357e+000
1.000000001000000e-003	-1.000000e+000	8.470336e+000
