time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+000	1.101069e-005
1.702857138043887e-013	-1.000000e+000	1.101067e-005
3.405714276087775e-013	-1.000000e+000	1.101066e-005
5.108571414131662e-013	-1.000000e+000	1.101067e-005
6.811428552175549e-013	-1.000000e+000	1.101068e-005
8.514285690219436e-013	-1.000000e+000	1.101071e-005
1.021714282826332e-012	-1.000000e+000	1.101074e-005
1.191999996630721e-012	-1.000000e+000	1.101079e-005
1.959999983153603e-012	-1.000000e+000	1.101119e-005
9.596730117325248e-009	-9.999616e-001	1.590780e-005
1.919150023466735e-008	-9.999232e-001	1.558565e-005
2.878627035200944e-008	-9.998848e-001	1.004476e-005
3.838104046935154e-008	-9.998465e-001	-7.148802e-007
4.797581058669363e-008	-9.998081e-001	-1.669327e-005
5.757058070403573e-008	-9.997697e-001	-3.789041e-005
6.716535082137779e-008	-9.997314e-001	-6.430630e-005
1.047214099741007e-007	-9.995811e-001	-2.367827e-004
1.602613083497273e-007	-9.993590e-001	-7.085121e-004
2.449304960207054e-007	-9.990203e-001	-1.979749e-003
4.142688713626613e-007	-9.983429e-001	-6.585465e-003
7.529456220465734e-007	-9.969882e-001	-2.384744e-002
1.430299123414397e-006	-9.942788e-001	-9.005028e-002
2.785006126150045e-006	-9.888600e-001	-3.372104e-001
5.285543581925882e-006	-9.788578e-001	-1.072085e+000
7.863186469846971e-006	-9.685473e-001	-2.133397e+000
1.112844757310119e-005	-9.554862e-001	-3.753781e+000
1.429811329210686e-005	-9.428076e-001	-5.335022e+000
1.799915385615748e-005	-9.280034e-001	-6.876919e+000
2.096980057555581e-005	-9.161208e-001	-7.682792e+000
2.313361002228300e-005	-9.074656e-001	-7.896939e+000
2.515010357428840e-005	-8.993996e-001	-7.767379e+000
2.718408431452155e-005	-8.912637e-001	-7.327242e+000
2.986696775362813e-005	-8.805321e-001	-6.372057e+000
3.286110265580005e-005	-8.685556e-001	-4.988320e+000
3.615003962340911e-005	-8.553998e-001	-3.307747e+000
3.880340592806466e-005	-8.447864e-001	-2.009765e+000
4.097486296555749e-005	-8.361006e-001	-1.114285e+000
4.287599153475084e-005	-8.284960e-001	-5.329410e-001
4.462408090338769e-005	-8.215037e-001	-2.028078e-001
4.622140432336309e-005	-8.151144e-001	-9.231195e-002
4.780122038030937e-005	-8.087951e-001	-1.817936e-001
4.983017672370694e-005	-8.006793e-001	-5.670445e-001
5.232428736973214e-005	-7.907029e-001	-1.378459e+000
5.534459502863361e-005	-7.786216e-001	-2.710276e+000
5.848143197350326e-005	-7.660743e-001	-4.279868e+000
6.194652465195844e-005	-7.522139e-001	-5.918321e+000
6.557313581444352e-005	-7.377074e-001	-7.246883e+000
6.801447955555112e-005	-7.279421e-001	-7.760598e+000
7.005813437637260e-005	-7.197675e-001	-7.842914e+000
7.219659037782257e-005	-7.112136e-001	-7.597805e+000
7.434498546911972e-005	-7.026201e-001	-7.031605e+000
7.724443781790042e-005	-6.910223e-001	-5.885539e+000
8.036837681776426e-005	-6.785265e-001	-4.379859e+000
8.326696277125370e-005	-6.669322e-001	-2.909154e+000
8.572197989314386e-005	-6.571121e-001	-1.763281e+000
8.785381690033264e-005	-6.485847e-001	-9.538978e-001
8.972419989880252e-005	-6.411032e-001	-4.503949e-001
9.143877797722285e-005	-6.342449e-001	-1.889206e-001
9.293329856618875e-005	-6.282668e-001	-1.350151e-001
9.446276156987172e-005	-6.221489e-001	-2.670550e-001
9.657848110317556e-005	-6.136861e-001	-7.233284e-001
9.915969671023638e-005	-6.033612e-001	-1.617052e+000
1.022858126844673e-004	-5.908567e-001	-3.032842e+000
1.054637331704613e-004	-5.781451e-001	-4.610094e+000
1.090090837712140e-004	-5.639637e-001	-6.200974e+000
1.126925656441868e-004	-5.492297e-001	-7.401554e+000
1.150476731254040e-004	-5.398093e-001	-7.779421e+000
1.170775118837348e-004	-5.316899e-001	-7.758591e+000
1.191541800521999e-004	-5.233833e-001	-7.420079e+000
1.215710413383637e-004	-5.137159e-001	-6.680873e+000
1.245140935221968e-004	-5.019436e-001	-5.431056e+000
1.279161345559912e-004	-4.883355e-001	-3.758309e+000
1.307096834135117e-004	-4.771613e-001	-2.387852e+000
1.330079623109741e-004	-4.679682e-001	-1.403438e+000
1.350452435403566e-004	-4.598190e-001	-7.336705e-001
1.368526513525237e-004	-4.525894e-001	-3.466008e-001
1.385002205021500e-004	-4.459991e-001	-1.947329e-001
1.402633957655257e-004	-4.389464e-001	-2.573220e-001
1.422882804074167e-004	-4.308469e-001	-6.021605e-001
1.447590445384055e-004	-4.209638e-001	-1.361003e+000
1.477116542389153e-004	-4.091534e-001	-2.611627e+000
1.509160983985087e-004	-3.963356e-001	-4.173107e+000
1.543445684997751e-004	-3.826217e-001	-5.771850e+000
1.580129039490326e-004	-3.679484e-001	-7.117685e+000
1.604997865027650e-004	-3.580008e-001	-7.656844e+000
1.625527564042228e-004	-3.497890e-001	-7.759673e+000
1.647132397464095e-004	-3.411470e-001	-7.539783e+000
1.668022046918401e-004	-3.327912e-001	-7.021300e+000
1.696975231014434e-004	-3.212099e-001	-5.924316e+000
1.727632448163196e-004	-3.089470e-001	-4.493081e+000
1.757447930153465e-004	-2.970208e-001	-3.013960e+000
1.782728874841035e-004	-2.869084e-001	-1.853916e+000
1.804584986851360e-004	-2.781660e-001	-1.038040e+000
1.824055752695436e-004	-2.703777e-001	-5.258985e-001
1.841514479004727e-004	-2.633942e-001	-2.842060e-001
1.861073864860986e-004	-2.555705e-001	-2.630672e-001
