time	V(vin)	V(vout)
0.000000000000000e+000	-1.000000e+000	8.476793e+000
1.000000000000000e-006	-1.000000e+000	8.476793e+000
2.000000000000000e-006	1.000000e+000	8.476822e+000
5.714251600747389e-004	1.000000e+000	8.476845e+000
1.140850320149478e-003	1.000000e+000	8.476111e+000
1.710275480224217e-003	1.000000e+000	8.474621e+000
2.279700640298955e-003	1.000000e+000	8.472375e+000
2.849125800373694e-003	1.000000e+000	8.469372e+000
3.418550960448433e-003	1.000000e+000	8.465613e+000
3.987976120523171e-003	1.000000e+000	8.461098e+000
5.164097844056086e-003	1.000000e+000	8.447278e+000
6.608831867880870e-003	1.000000e+000	8.415913e+000
7.649352541295167e-003	1.000000e+000	8.366274e+000
8.739720303422871e-003	1.000000e+000	8.279198e+000
9.471236331413490e-003	1.000000e+000	8.208650e+000
1.019704263456911e-002	1.000000e+000	8.136147e+000
1.000020000000000e-001	1.000000e+000	-8.443015e-001
1.000020062749116e-001	9.874502e-001	-8.444797e-001
1.000020188247349e-001	9.623505e-001	-8.448030e-001
1.000020439243814e-001	9.121512e-001	-8.453271e-001
1.000020625632559e-001	8.748735e-001	-8.455878e-001
1.000020862378183e-001	8.275244e-001	-8.457515e-001
1.000021121047722e-001	7.757905e-001	-8.458036e-001
1.000022259635951e-001	5.480728e-001	-8.457065e-001
1.000030000000000e-001	-1.000000e+000	-8.456962e-001
1.000030139361964e-001	-1.000000e+000	-8.453090e-001
1.000030325177915e-001	-1.000000e+000	-8.448675e-001
1.000030476938839e-001	-1.000000e+000	-8.445951e-001
1.000030707936225e-001	-1.000000e+000	-8.443367e-001
1.000030922483555e-001	-1.000000e+000	-8.442289e-001
1.000031326923651e-001	-1.000000e+000	-8.442035e-001
1.000031985299229e-001	-1.000000e+000	-8.442743e-001
1.000032401588725e-001	-1.000000e+000	-8.442913e-001
1.877931985403831e-001	-1.000000e+000	7.934593e+000
1.893556985403831e-001	-1.000000e+000	8.090816e+000
1.909181985403831e-001	-1.000000e+000	8.242393e+000
1.924806985403831e-001	-1.000000e+000	8.368834e+000
1.935251153551906e-001	-1.000000e+000	8.418199e+000
1.946006080890168e-001	-1.000000e+000	8.439470e+000
1.957212052939378e-001	-1.000000e+000	8.450828e+000
1.970434896197586e-001	-1.000000e+000	8.458970e+000
1.974659911026503e-001	-1.000000e+000	8.460991e+000
1.978884925855419e-001	-1.000000e+000	8.462815e+000
1.983109940684335e-001	-1.000000e+000	8.464443e+000
1.987334955513251e-001	-1.000000e+000	8.465874e+000
1.991559970342168e-001	-1.000000e+000	8.467109e+000
1.995784985171084e-001	-1.000000e+000	8.468147e+000
2.000010000000000e-001	-1.000000e+000	8.468988e+000
2.000020000000000e-001	1.000000e+000	8.469028e+000
2.005997000000108e-001	1.000000e+000	8.466285e+000
2.011974000000215e-001	1.000000e+000	8.460753e+000
2.017951000000323e-001	1.000000e+000	8.452432e+000
2.023928000000431e-001	1.000000e+000	8.441323e+000
2.029905000000539e-001	1.000000e+000	8.427426e+000
2.035882000000646e-001	1.000000e+000	8.410740e+000
2.041859000000754e-001	1.000000e+000	8.391266e+000
2.051184898321037e-001	1.000000e+000	8.333112e+000
2.062102198293192e-001	1.000000e+000	8.233825e+000
2.069091927053347e-001	1.000000e+000	8.164511e+000
2.092031234036170e-001	1.000000e+000	7.935129e+000
3.000020000000000e-001	1.000000e+000	-1.144706e+000
3.000020062658249e-001	9.874684e-001	-1.144884e+000
3.000020187974746e-001	9.624050e-001	-1.145208e+000
3.000020438607740e-001	9.122785e-001	-1.145732e+000
3.000020624798812e-001	8.750402e-001	-1.145992e+000
3.000020861511673e-001	8.276977e-001	-1.146157e+000
3.000021119953501e-001	7.760093e-001	-1.146209e+000
3.000022258591739e-001	5.482817e-001	-1.146112e+000
3.000030000000000e-001	-1.000000e+000	-1.146101e+000
3.000030139418493e-001	-1.000000e+000	-1.145714e+000
3.000030325309817e-001	-1.000000e+000	-1.145272e+000
3.000030477071318e-001	-1.000000e+000	-1.145000e+000
3.000030708104636e-001	-1.000000e+000	-1.144742e+000
3.000030922670628e-001	-1.000000e+000	-1.144634e+000
3.000031327314583e-001	-1.000000e+000	-1.144609e+000
3.000031986359851e-001	-1.000000e+000	-1.144680e+000
3.000032402690444e-001	-1.000000e+000	-1.144696e+000
3.909205244380793e-001	-1.000000e+000	7.946922e+000
3.924830244380794e-001	-1.000000e+000	8.103130e+000
3.940455244380794e-001	-1.000000e+000	8.253304e+000
3.956080244380794e-001	-1.000000e+000	8.374566e+000
3.967232217930503e-001	-1.000000e+000	8.422769e+000
3.978463175670109e-001	-1.000000e+000	8.442474e+000
3.981541293431523e-001	-1.000000e+000	8.445968e+000
3.984619411192936e-001	-1.000000e+000	8.449102e+000
3.987697528954349e-001	-1.000000e+000	8.451877e+000
3.990775646715761e-001	-1.000000e+000	8.454293e+000
3.993853764477174e-001	-1.000000e+000	8.456349e+000
3.996931882238587e-001	-1.000000e+000	8.458047e+000
4.000010000000001e-001	-1.000000e+000	8.459385e+000
4.000020000000000e-001	1.000000e+000	8.459443e+000
4.003764857142446e-001	1.000000e+000	8.456070e+000
4.007509714284890e-001	1.000000e+000	8.451324e+000
4.011254571427336e-001	1.000000e+000	8.445202e+000
4.014999428569780e-001	1.000000e+000	8.437707e+000
4.018744285712226e-001	1.000000e+000	8.428838e+000
4.022489142854671e-001	1.000000e+000	8.418594e+000
4.026233999997116e-001	1.000000e+000	8.406976e+000
4.035187934182635e-001	1.000000e+000	8.358300e+000
4.046273541558524e-001	1.000000e+000	8.264351e+000
4.052685595648273e-001	1.000000e+000	8.201836e+000
