[s],CH2[V]
-2.4995E-03,-6.000E-02
-2.4990E-03,-5.200E-02
-2.4985E-03,-5.200E-02
-2.4980E-03,-5.200E-02
-2.4975E-03,-5.200E-02
-2.4970E-03,-5.200E-02
-2.4965E-03,-5.200E-02
-2.4960E-03,-5.200E-02
-2.4955E-03,-5.200E-02
-2.4950E-03,-5.200E-02
-2.4945E-03,-4.400E-02
-2.4940E-03,-5.200E-02
-2.4935E-03,-5.200E-02
-2.4930E-03,-6.000E-02
-2.4925E-03,-5.200E-02
-2.4920E-03,-6.000E-02
-2.4915E-03,-4.400E-02
-2.4910E-03,-4.400E-02
-2.4905E-03,-5.200E-02
-2.4900E-03,-5.200E-02
-2.4895E-03,-6.000E-02
-2.4890E-03,-5.200E-02
-2.4885E-03,-6.000E-02
-2.4880E-03,-5.200E-02
-2.4875E-03,-5.200E-02
-2.4870E-03,-4.400E-02
-2.4865E-03,-5.200E-02
-2.4860E-03,-5.200E-02
-2.4855E-03,-4.400E-02
-2.4850E-03,-5.200E-02
-2.4845E-03,-5.200E-02
-2.4840E-03,-5.200E-02
-2.4835E-03,-5.200E-02
-2.4830E-03,-6.000E-02
-2.4825E-03,-5.200E-02
-2.4820E-03,-5.200E-02
-2.4815E-03,-5.200E-02
-2.4810E-03,-4.400E-02
-2.4805E-03,-3.600E-02
-2.4800E-03,-4.400E-02
-2.4795E-03,-5.200E-02
-2.4790E-03,-6.000E-02
-2.4785E-03,-5.200E-02
-2.4780E-03,-4.400E-02
-2.4775E-03,-4.400E-02
-2.4770E-03,-5.200E-02
-2.4765E-03,-4.400E-02
-2.4760E-03,-4.400E-02
-2.4755E-03,-5.200E-02
-2.4750E-03,-5.200E-02
-2.4745E-03,-5.200E-02
-2.4740E-03,-4.400E-02
-2.4735E-03,-4.400E-02
-2.4730E-03,-5.200E-02
-2.4725E-03,-4.400E-02
-2.4720E-03,-5.200E-02
-2.4715E-03,-4.400E-02
-2.4710E-03,-3.600E-02
-2.4705E-03,-4.400E-02
-2.4700E-03,-3.600E-02
-2.4695E-03,-5.200E-02
-2.4690E-03,-5.200E-02
-2.4685E-03,-5.200E-02
-2.4680E-03,-4.400E-02
-2.4675E-03,-4.400E-02
-2.4670E-03,-4.400E-02
-2.4665E-03,-3.600E-02
-2.4660E-03,-3.600E-02
-2.4655E-03,-4.400E-02
-2.4650E-03,-4.400E-02
-2.4645E-03,-4.400E-02
-2.4640E-03,-4.400E-02
-2.4635E-03,-4.400E-02
-2.4630E-03,-5.200E-02
-2.4625E-03,-4.400E-02
-2.4620E-03,-4.400E-02
-2.4615E-03,-3.600E-02
-2.4610E-03,-3.600E-02
-2.4605E-03,-3.600E-02
-2.4600E-03,-2.800E-02
-2.4595E-03,-4.400E-02
-2.4590E-03,-4.400E-02
-2.4585E-03,-3.600E-02
-2.4580E-03,-3.600E-02
-2.4575E-03,-4.400E-02
-2.4570E-03,-4.400E-02
-2.4565E-03,-3.600E-02
-2.4560E-03,-3.600E-02
-2.4555E-03,-3.600E-02
-2.4550E-03,-2.800E-02
-2.4545E-03,-3.600E-02
-2.4540E-03,-3.600E-02
-2.4535E-03,-3.600E-02
-2.4530E-03,-4.400E-02
-2.4525E-03,-3.600E-02
-2.4520E-03,-3.600E-02
-2.4515E-03,-2.800E-02
-2.4510E-03,-2.800E-02
-2.4505E-03,-2.800E-02
-2.4500E-03,-3.600E-02
-2.4495E-03,-4.400E-02
-2.4490E-03,-2.800E-02
-2.4485E-03,-3.600E-02
-2.4480E-03,-3.600E-02
-2.4475E-03,-2.800E-02
-2.4470E-03,-3.600E-02
-2.4465E-03,-3.600E-02
-2.4460E-03,-2.800E-02
-2.4455E-03,-2.800E-02
-2.4450E-03,-2.800E-02
-2.4445E-03,-2.800E-02
-2.4440E-03,-3.600E-02
-2.4435E-03,-3.600E-02
-2.4430E-03,-4.400E-02
-2.4425E-03,-2.800E-02
-2.4420E-03,-2.800E-02
-2.4415E-03,-2.000E-02
-2.4410E-03,-2.800E-02
-2.4405E-03,-2.800E-02
-2.4400E-03,-2.800E-02
-2.4395E-03,-2.800E-02
-2.4390E-03,-2.000E-02
-2.4385E-03,-3.600E-02
-2.4380E-03,-2.800E-02
-2.4375E-03,-3.600E-02
-2.4370E-03,-3.600E-02
-2.4365E-03,-2.800E-02
-2.4360E-03,-2.800E-02
-2.4355E-03,-2.000E-02
-2.4350E-03,-2.000E-02
-2.4345E-03,-2.800E-02
-2.4340E-03,-2.800E-02
-2.4335E-03,-2.800E-02
-2.4330E-03,-2.800E-02
-2.4325E-03,-2.800E-02
-2.4320E-03,-2.800E-02
-2.4315E-03,-2.000E-02
-2.4310E-03,-2.000E-02
-2.4305E-03,-2.800E-02
-2.4300E-03,-2.000E-02
-2.4295E-03,-2.800E-02
-2.4290E-03,-2.000E-02
-2.4285E-03,-2.000E-02
-2.4280E-03,-2.000E-02
-2.4275E-03,-2.000E-02
-2.4270E-03,-2.800E-02
-2.4265E-03,-2.000E-02
-2.4260E-03,-2.000E-02
-2.4255E-03,-1.200E-02
-2.4250E-03,-2.000E-02
-2.4245E-03,-1.200E-02
-2.4240E-03,-2.000E-02
-2.4235E-03,-2.000E-02
-2.4230E-03,-2.800E-02
-2.4225E-03,-2.000E-02
-2.4220E-03,-2.000E-02
-2.4215E-03,-1.200E-02
-2.4210E-03,-2.000E-02
-2.4205E-03,-2.000E-02
-2.4200E-03,-2.000E-02
-2.4195E-03,-2.000E-02
-2.4190E-03,-4.000E-03
-2.4185E-03,-2.000E-02
-2.4180E-03,-2.000E-02
-2.4175E-03,-2.000E-02
-2.4170E-03,-2.000E-02
-2.4165E-03,-2.000E-02
-2.4160E-03,-1.200E-02
-2.4155E-03,-4.000E-03
-2.4150E-03,-1.200E-02
-2.4145E-03,-1.200E-02
-2.4140E-03,-2.000E-02
-2.4135E-03,-1.200E-02
-2.4130E-03,-2.000E-02
-2.4125E-03,-2.000E-02
-2.4120E-03,-1.200E-02
-2.4115E-03,-4.000E-03
-2.4110E-03,-1.200E-02
-2.4105E-03,-4.000E-03
-2.4100E-03,-4.000E-03
-2.4095E-03,-1.200E-02
-2.4090E-03,4.000E-03
-2.4085E-03,-1.200E-02
-2.4080E-03,-1.200E-02
-2.4075E-03,-1.200E-02
-2.4070E-03,-1.200E-02
-2.4065E-03,-4.000E-03
-2.4060E-03,-4.000E-03
-2.4055E-03,-4.000E-03
-2.4050E-03,4.000E-03
-2.4045E-03,4.000E-03
-2.4040E-03,-4.000E-03
-2.4035E-03,-1.200E-02
-2.4030E-03,-4.000E-03
-2.4025E-03,-4.000E-03
-2.4020E-03,-4.000E-03
-2.4015E-03,4.000E-03
-2.4010E-03,-1.200E-02
-2.4005E-03,-4.000E-03
-2.4000E-03,-4.000E-03
-2.3995E-03,4.000E-03
-2.3990E-03,4.000E-03
-2.3985E-03,4.000E-03
-2.3980E-03,-4.000E-03
-2.3975E-03,-4.000E-03
-2.3970E-03,-4.000E-03
-2.3965E-03,-4.000E-03
-2.3960E-03,-4.000E-03
-2.3955E-03,4.000E-03
-2.3950E-03,2.000E-02
-2.3945E-03,4.000E-03
-2.3940E-03,-4.000E-03
-2.3935E-03,4.000E-03
-2.3930E-03,-4.000E-03
-2.3925E-03,4.000E-03
-2.3920E-03,-4.000E-03
-2.3915E-03,4.000E-03
-2.3910E-03,4.000E-03
-2.3905E-03,-4.000E-03
-2.3900E-03,1.200E-02
-2.3895E-03,1.200E-02
-2.3890E-03,1.200E-02
-2.3885E-03,1.200E-02
-2.3880E-03,4.000E-03
-2.3875E-03,-4.000E-03
-2.3870E-03,4.000E-03
-2.3865E-03,1.200E-02
-2.3860E-03,1.200E-02
-2.3855E-03,1.200E-02
-2.3850E-03,1.200E-02
-2.3845E-03,1.200E-02
-2.3840E-03,1.200E-02
-2.3835E-03,4.000E-03
-2.3830E-03,4.000E-03
-2.3825E-03,1.200E-02
-2.3820E-03,1.200E-02
-2.3815E-03,1.200E-02
-2.3810E-03,1.200E-02
-2.3805E-03,1.200E-02
-2.3800E-03,2.000E-02
-2.3795E-03,1.200E-02
-2.3790E-03,2.000E-02
-2.3785E-03,1.200E-02
-2.3780E-03,1.200E-02
-2.3775E-03,1.200E-02
-2.3770E-03,1.200E-02
-2.3765E-03,1.200E-02
-2.3760E-03,1.200E-02
-2.3755E-03,2.800E-02
-2.3750E-03,2.000E-02
-2.3745E-03,2.000E-02
-2.3740E-03,2.000E-02
-2.3735E-03,1.200E-02
-2.3730E-03,1.200E-02
-2.3725E-03,1.200E-02
-2.3720E-03,2.000E-02
-2.3715E-03,2.000E-02
-2.3710E-03,1.200E-02
-2.3705E-03,1.200E-02
-2.3700E-03,2.800E-02
-2.3695E-03,2.000E-02
-2.3690E-03,2.800E-02
-2.3685E-03,1.200E-02
-2.3680E-03,2.000E-02
-2.3675E-03,2.000E-02
-2.3670E-03,1.200E-02
-2.3665E-03,2.000E-02
-2.3660E-03,1.200E-02
-2.3655E-03,2.800E-02
-2.3650E-03,2.800E-02
-2.3645E-03,3.600E-02
-2.3640E-03,2.000E-02
