t,u
-2.4995E-03,2.200E+00
-2.4990E-03,2.200E+00
-2.4985E-03,2.200E+00
-2.4980E-03,1.800E+00
-2.4975E-03,2.200E+00
-2.4970E-03,2.200E+00
-2.4965E-03,2.200E+00
-2.4960E-03,2.200E+00
-2.4955E-03,1.800E+00
-2.4950E-03,2.200E+00
-2.4945E-03,2.200E+00
-2.4940E-03,1.800E+00
-2.4934E-03,2.200E+00
-2.4929E-03,1.800E+00
-2.4924E-03,1.800E+00
-2.4919E-03,1.800E+00
-2.4914E-03,2.200E+00
-2.4909E-03,1.800E+00
-2.4904E-03,1.800E+00
-2.4899E-03,1.800E+00
-2.4894E-03,2.200E+00
-2.4889E-03,2.200E+00
-2.4884E-03,2.200E+00
-2.4879E-03,2.200E+00
-2.4874E-03,2.200E+00
-2.4869E-03,1.800E+00
-2.4864E-03,1.800E+00
-2.4859E-03,2.200E+00
-2.4854E-03,1.800E+00
-2.4849E-03,1.800E+00
-2.4844E-03,1.800E+00
-2.4839E-03,2.200E+00
-2.4834E-03,2.200E+00
-2.4829E-03,1.800E+00
-2.4824E-03,1.800E+00
-2.4819E-03,2.200E+00
-2.4814E-03,1.800E+00
-2.4808E-03,1.800E+00
-2.4803E-03,2.200E+00
-2.4798E-03,1.800E+00
-2.4793E-03,1.800E+00
-2.4788E-03,1.800E+00
-2.4783E-03,1.800E+00
-2.4778E-03,1.800E+00
-2.4773E-03,2.200E+00
-2.4768E-03,2.200E+00
-2.4763E-03,1.800E+00
-2.4758E-03,2.200E+00
-2.4753E-03,1.800E+00
-2.4748E-03,1.800E+00
-2.4743E-03,1.800E+00
-2.4738E-03,1.800E+00
-2.4733E-03,2.200E+00
-2.4728E-03,2.200E+00
-2.4723E-03,2.200E+00
-2.4718E-03,1.800E+00
-2.4713E-03,2.200E+00
-2.4708E-03,2.200E+00
-2.4703E-03,1.800E+00
-2.4698E-03,1.800E+00
-2.4693E-03,1.800E+00
-2.4688E-03,2.200E+00
-2.4682E-03,1.800E+00
-2.4677E-03,2.200E+00
-2.4672E-03,2.200E+00
-2.4667E-03,1.800E+00
-2.4662E-03,2.200E+00
-2.4657E-03,1.800E+00
-2.4652E-03,2.200E+00
-2.4647E-03,1.800E+00
-2.4642E-03,1.800E+00
-2.4637E-03,1.800E+00
-2.4632E-03,2.200E+00
-2.4627E-03,2.200E+00
-2.4622E-03,2.200E+00
-2.4617E-03,2.200E+00
-2.4612E-03,1.800E+00
-2.4607E-03,2.200E+00
-2.4602E-03,1.800E+00
-2.4597E-03,1.800E+00
-2.4592E-03,1.800E+00
-2.4587E-03,2.200E+00
-2.4582E-03,1.800E+00
-2.4577E-03,1.800E+00
-2.4572E-03,1.800E+00
-2.4567E-03,2.200E+00
-2.4561E-03,1.800E+00
-2.4556E-03,2.200E+00
-2.4551E-03,2.200E+00
-2.4546E-03,2.200E+00
-2.4541E-03,2.200E+00
-2.4536E-03,1.800E+00
-2.4531E-03,1.800E+00
-2.4526E-03,2.200E+00
-2.4521E-03,2.200E+00
-2.4516E-03,2.200E+00
-2.4511E-03,2.200E+00
-2.4506E-03,1.800E+00
-2.4501E-03,1.800E+00
-2.4496E-03,1.800E+00
-2.4491E-03,1.800E+00
-2.4486E-03,1.800E+00
-2.4481E-03,2.200E+00
-2.4476E-03,1.800E+00
-2.4471E-03,1.800E+00
-2.4466E-03,2.200E+00
-2.4461E-03,1.800E+00
-2.4456E-03,2.200E+00
-2.4451E-03,1.800E+00
-2.4446E-03,2.200E+00
-2.4441E-03,2.200E+00
-2.4435E-03,2.200E+00
-2.4430E-03,2.200E+00
-2.4425E-03,2.200E+00
-2.4420E-03,2.200E+00
-2.4415E-03,2.200E+00
-2.4410E-03,1.800E+00
-2.4405E-03,2.200E+00
-2.4400E-03,1.800E+00
-2.4395E-03,1.800E+00
-2.4390E-03,1.800E+00
-2.4385E-03,2.200E+00
-2.4380E-03,1.800E+00
-2.4375E-03,2.200E+00
-2.4370E-03,1.800E+00
-2.4365E-03,1.800E+00
-2.4360E-03,2.200E+00
-2.4355E-03,1.800E+00
-2.4350E-03,1.800E+00
-2.4345E-03,2.200E+00
-2.4340E-03,1.800E+00
-2.4335E-03,1.800E+00
-2.4330E-03,1.800E+00
-2.4325E-03,1.800E+00
-2.4320E-03,1.800E+00
-2.4315E-03,2.200E+00
-2.4309E-03,2.200E+00
-2.4304E-03,2.200E+00
-2.4299E-03,2.200E+00
-2.4294E-03,1.800E+00
-2.4289E-03,2.200E+00
-2.4284E-03,1.800E+00
-2.4279E-03,1.800E+00
-2.4274E-03,2.200E+00
-2.4269E-03,2.200E+00
-2.4264E-03,2.200E+00
-2.4259E-03,1.800E+00
-2.4254E-03,2.200E+00
-2.4249E-03,1.800E+00
-2.4244E-03,2.200E+00
-2.4239E-03,1.800E+00
-2.4234E-03,2.200E+00
-2.4229E-03,1.800E+00
-2.4224E-03,1.800E+00
-2.4219E-03,2.200E+00
-2.4214E-03,2.200E+00
-2.4209E-03,2.200E+00
-2.4204E-03,2.200E+00
-2.4199E-03,1.800E+00
-2.4194E-03,2.200E+00
-2.4189E-03,2.200E+00
-2.4183E-03,1.800E+00
-2.4178E-03,2.200E+00
-2.4173E-03,1.800E+00
-2.4168E-03,2.200E+00
-2.4163E-03,1.800E+00
-2.4158E-03,1.800E+00
-2.4153E-03,2.200E+00
-2.4148E-03,1.800E+00
-2.4143E-03,2.200E+00
-2.4138E-03,1.800E+00
-2.4133E-03,2.200E+00
-2.4128E-03,1.800E+00
-2.4123E-03,2.200E+00
-2.4118E-03,2.200E+00
-2.4113E-03,1.800E+00
-2.4108E-03,2.200E+00
-2.4103E-03,2.200E+00
-2.4098E-03,1.800E+00
-2.4093E-03,1.800E+00
-2.4088E-03,2.200E+00
-2.4083E-03,1.800E+00
-2.4078E-03,2.200E+00
-2.4073E-03,1.800E+00
-2.4068E-03,1.800E+00
-2.4063E-03,2.200E+00
-2.4057E-03,2.200E+00
-2.4052E-03,2.200E+00
-2.4047E-03,2.200E+00
-2.4042E-03,1.800E+00
-2.4037E-03,1.800E+00
-2.4032E-03,2.200E+00
-2.4027E-03,2.200E+00
-2.4022E-03,2.200E+00
-2.4017E-03,2.200E+00
-2.4012E-03,2.200E+00
-2.4007E-03,2.200E+00
-2.4002E-03,2.200E+00
-2.3997E-03,2.200E+00
-2.3992E-03,2.200E+00
-2.3987E-03,1.800E+00
-2.3982E-03,1.800E+00
-2.3977E-03,1.800E+00
-2.3972E-03,2.200E+00
-2.3967E-03,1.800E+00
-2.3962E-03,1.800E+00
-2.3957E-03,2.200E+00
-2.3952E-03,1.800E+00
-2.3947E-03,1.800E+00
-2.3942E-03,2.200E+00
-2.3936E-03,2.200E+00
-2.3931E-03,1.800E+00
-2.3926E-03,2.200E+00
-2.3921E-03,1.800E+00
-2.3916E-03,1.800E+00
-2.3911E-03,1.800E+00
-2.3906E-03,2.200E+00
-2.3901E-03,1.800E+00
-2.3896E-03,2.200E+00
-2.3891E-03,1.800E+00
-2.3886E-03,1.800E+00
-2.3881E-03,1.800E+00
-2.3876E-03,1.800E+00
-2.3871E-03,1.800E+00
-2.3866E-03,1.800E+00
-2.3861E-03,2.200E+00
-2.3856E-03,2.200E+00
-2.3851E-03,2.200E+00
-2.3846E-03,1.800E+00
-2.3841E-03,2.200E+00
-2.3836E-03,2.200E+00
-2.3831E-03,1.800E+00
-2.3826E-03,2.200E+00
-2.3821E-03,2.200E+00
-2.3816E-03,1.800E+00
-2.3810E-03,1.800E+00
-2.3805E-03,1.800E+00
-2.3800E-03,1.800E+00
-2.3795E-03,2.200E+00
-2.3790E-03,2.200E+00
-2.3785E-03,2.200E+00
-2.3780E-03,1.800E+00
-2.3775E-03,1.800E+00
-2.3770E-03,2.200E+00
-2.3765E-03,1.800E+00
-2.3760E-03,1.800E+00
-2.3755E-03,1.800E+00
-2.3750E-03,1.800E+00
-2.3745E-03,2.200E+00
-2.3740E-03,2.200E+00
-2.3735E-03,2.200E+00
-2.3730E-03,1.800E+00
-2.3725E-03,2.200E+00
-2.3720E-03,2.200E+00
-2.3715E-03,2.200E+00
-2.3710E-03,2.200E+00
-2.3705E-03,1.800E+00
-2.3700E-03,2.200E+00
-2.3695E-03,2.200E+00
-2.3690E-03,1.800E+00
-2.3684E-03,2.200E+00
-2.3679E-03,2.200E+00
-2.3674E-03,1.800E+00
-2.3669E-03,1.800E+00
-2.3664E-03,1.800E+00
-2.3659E-03,1.800E+00
-2.3654E-03,2.200E+00
-2.3649E-03,2.200E+00
-2.3644E-03,1.800E+00
-2.3639E-03,2.200E+00
-2.3634E-03,2.200E+00
-2.3629E-03,2.200E+00
-2.3624E-03,2.200E+00
-2.3619E-03,2.200E+00
-2.3614E-03,2.200E+00
-2.3609E-03,1.800E+00
-2.3604E-03,2.200E+00
-2.3599E-03,1.800E+00
-2.3594E-03,1.800E+00
-2.3589E-03,2.200E+00
-2.3584E-03,2.200E+00
