time,V(n002)
0.000000000000000e+000,-4.000000e+000
3.248733025561744e-004,-3.972437e+000
6.961570769060885e-004,-3.890436e+000
1.096157076906090e-003,-3.750312e+000
1.496157076906091e-003,-3.552155e+000
1.896157076906092e-003,-3.297980e+000
2.296157076906093e-003,-2.991793e+000
2.696157076906094e-003,-2.638424e+000
3.096157076906095e-003,-2.243446e+000
3.496157076906096e-003,-1.813087e+000
3.896157076906097e-003,-1.354134e+000
4.296157076906098e-003,-8.738263e-001
4.696157076906099e-003,-3.797376e-001
5.270482896028619e-003,3.391751e-001
5.566178578136738e-003,7.076098e-001
5.684057859996729e-003,8.530024e-001
5.687741587554855e-003,8.575326e-001
5.695109042671103e-003,8.665735e-001
5.696950906450164e-003,8.688331e-001
5.700634634008290e-003,8.733512e-001
5.701178052010526e-003,8.740177e-001
5.702264888014993e-003,8.753504e-001
5.703573335181657e-003,8.769546e-001
5.704485217106939e-003,8.780726e-001
5.705098941453796e-003,8.788251e-001
5.705498137435979e-003,8.793144e-001
5.705787069158894e-003,8.796687e-001
5.706012778908635e-003,8.799453e-001
5.706214330823890e-003,8.801924e-001
5.706429132365288e-003,8.804557e-001
5.706658010031000e-003,8.807362e-001
5.706929909514481e-003,8.810695e-001
5.707200627445636e-003,8.814014e-001
5.707473725846162e-003,8.817361e-001
5.707748486739075e-003,8.820729e-001
5.708039945372265e-003,8.824301e-001
5.708334206293540e-003,8.827908e-001
5.708497111618166e-003,8.829905e-001
5.708670242138298e-003,8.832027e-001
5.708827074530944e-003,8.833949e-001
5.708992523542976e-003,8.835977e-001
5.709210687554117e-003,8.838651e-001
5.709248861048486e-003,8.839118e-001
5.709798672126209e-003,8.845857e-001
5.710348483203933e-003,8.852595e-001
5.710898294281656e-003,8.859332e-001
5.711448105359379e-003,8.866070e-001
5.711997916437102e-003,8.872807e-001
5.712547727514826e-003,8.879544e-001
5.713097538592549e-003,8.886280e-001
5.963846058962675e-003,1.194532e+000
6.214594579332802e-003,1.488968e+000
6.465343099702928e-003,1.771935e+000
6.716091620073054e-003,2.043433e+000
6.966840140443180e-003,2.303461e+000
7.217588660813306e-003,2.552022e+000
7.468337181183431e-003,2.789113e+000
7.868337181183432e-003,3.123713e+000
8.268337181183433e-003,3.409050e+000
8.668337181183435e-003,3.640625e+000
9.068337181183436e-003,3.814785e+000
9.468337181183437e-003,3.928783e+000
9.868337181183438e-003,3.981503e+000
1.025103978262062e-002,3.972526e+000
1.065103978262062e-002,3.901184e+000
1.105103978262062e-002,3.768999e+000
1.145103978262062e-002,3.577375e+000
1.185103978262063e-002,3.329334e+000
1.225103978262063e-002,3.028786e+000
1.265103978262063e-002,2.680473e+000
1.305103978262063e-002,2.289888e+000
1.345103978262063e-002,1.863189e+000
1.385103978262063e-002,1.407107e+000
1.425103978262063e-002,9.288343e-001
1.465103978262063e-002,4.359130e-001
1.505103978262063e-002,-6.418342e-002
1.513292816857979e-002,-1.671802e-001
1.521481655453895e-002,-2.699040e-001
1.529670494049811e-002,-3.723548e-001
1.537859332645727e-002,-4.745326e-001
1.546048171241643e-002,-5.764374e-001
1.554237009837559e-002,-6.780691e-001
1.562425848433475e-002,-7.794279e-001
1.566899002931123e-002,-8.344922e-001
1.568017291555535e-002,-8.482355e-001
1.570253868804359e-002,-8.756859e-001
1.570288424115514e-002,-8.761098e-001
1.570357534737823e-002,-8.769571e-001
1.570435224877935e-002,-8.779096e-001
1.570494592549072e-002,-8.786374e-001
1.570535455805009e-002,-8.791384e-001
1.570567036976552e-002,-8.795255e-001
1.570590863283023e-002,-8.798177e-001
1.570611474371426e-002,-8.800703e-001
1.570632582356454e-002,-8.803291e-001
1.570655596763709e-002,-8.806112e-001
1.570681856729251e-002,-8.809330e-001
1.570709522807049e-002,-8.812722e-001
1.570736348184603e-002,-8.816010e-001
1.570764096208299e-002,-8.819411e-001
1.570792567037104e-002,-8.822901e-001
1.570821862122322e-002,-8.826491e-001
1.570839186355708e-002,-8.828615e-001
1.570854871135344e-002,-8.830537e-001
1.570871960188978e-002,-8.832632e-001
1.570890296851417e-002,-8.834879e-001
1.570908560304163e-002,-8.837118e-001
1.570945087209654e-002,-8.841594e-001
1.571122910200533e-002,-8.863386e-001
1.571490577492511e-002,-8.908435e-001
1.571858244784489e-002,-8.953469e-001
1.572225912076468e-002,-8.998489e-001
1.572593579368446e-002,-9.043495e-001
1.572961246660424e-002,-9.088486e-001
1.573328913952402e-002,-9.133463e-001
1.573696581244381e-002,-9.178426e-001
1.593786998974709e-002,-1.161850e+000
1.613877416705038e-002,-1.399127e+000
1.633967834435367e-002,-1.629673e+000
1.654058252165696e-002,-1.853489e+000
1.674148669896024e-002,-2.070575e+000
1.694239087626353e-002,-2.280930e+000
1.714329505356682e-002,-2.484555e+000
1.754329505356682e-002,-2.855333e+000
1.794329505356682e-002,-3.181081e+000
1.834329505356681e-002,-3.456661e+000
1.874329505356681e-002,-3.677728e+000
1.914329505356681e-002,-3.840795e+000
1.954329505356681e-002,-3.945812e+000
1.987892193774551e-002,-3.984670e+000
2.025497918395348e-002,-3.972396e+000
2.065497918395347e-002,-3.900180e+000
2.105497918395347e-002,-3.767398e+000
2.145497918395347e-002,-3.575202e+000
2.185497918395347e-002,-3.326622e+000
2.225497918395347e-002,-3.025580e+000
2.265497918395346e-002,-2.676823e+000
2.305497918395346e-002,-2.285851e+000
2.345497918395346e-002,-1.858829e+000
2.385497918395346e-002,-1.402493e+000
2.425497918395345e-002,-9.240386e-001
2.465497918395345e-002,-4.310114e-001
2.505497918395345e-002,6.912008e-002
2.552409266764397e-002,6.555968e-001
2.558015975337433e-002,7.249044e-001
2.569229392483505e-002,8.631126e-001
2.569549484187437e-002,8.670467e-001
2.570203162093328e-002,8.750643e-001
2.570284129081501e-002,8.760571e-001
2.570392085065731e-002,8.773807e-001
2.570470969515198e-002,8.783479e-001
2.570524045354331e-002,8.789985e-001
2.570561086196715e-002,8.794526e-001
2.570587551102763e-002,8.797771e-001
2.570608879108306e-002,8.800385e-001
2.570629054114818e-002,8.802858e-001
2.570652812076917e-002,8.805770e-001
2.570676084862692e-002,8.808623e-001
2.570701728480664e-002,8.811767e-001
2.570729222934449e-002,8.815137e-001
2.570755826337140e-002,8.818398e-001
2.570784067764623e-002,8.821859e-001
2.570813764573484e-002,8.825499e-001
2.570838668283036e-002,8.828551e-001
2.570853599099467e-002,8.830381e-001
2.570870993175685e-002,8.832513e-001
2.570886342149987e-002,8.834394e-001
2.570902504008769e-002,8.836375e-001
2.570934827726334e-002,8.840337e-001
2.570939861979688e-002,8.840954e-001
2.571051987792573e-002,8.854695e-001
2.571164113605460e-002,8.868434e-001
2.571276239418345e-002,8.882173e-001
2.571388365231231e-002,8.895911e-001
2.571500491044117e-002,8.909647e-001
2.571612616857003e-002,8.923383e-001
2.571724742669889e-002,8.937117e-001
2.595470911543566e-002,1.183048e+000
2.619217080417243e-002,1.462363e+000
2.642963249290920e-002,1.731656e+000
2.666709418164597e-002,1.990927e+000
2.690455587038274e-002,2.240177e+000
2.714201755911951e-002,2.479405e+000
2.737947924785628e-002,2.708612e+000
2.777947924785627e-002,3.053465e+000
2.817947924785627e-002,3.350163e+000
2.857947924785627e-002,3.594027e+000
2.897947924785627e-002,3.781211e+000
2.937947924785626e-002,3.908763e+000
2.977947924785626e-002,3.974672e+000
3.017947924785626e-002,3.977898e+000
3.057947924785626e-002,3.918389e+000
3.097947924785625e-002,3.797086e+000
3.137947924785625e-002,3.615900e+000
3.177947924785625e-002,3.377689e+000
3.217947924785625e-002,3.086210e+000
3.257947924785624e-002,2.746060e+000
3.297947924785624e-002,2.362602e+000
3.337947924785624e-002,1.941885e+000
3.377947924785624e-002,1.490544e+000
3.417947924785623e-002,1.015695e+000
3.457947924785623e-002,5.248287e-001
3.497947924785623e-002,2.558277e-002
3.535904123537671e-002,-4.498907e-001
3.569009899907619e-002,-8.604161e-001
3.569309364257706e-002,-8.641008e-001
3.569908292957881e-002,-8.714482e-001
3.569984531162022e-002,-8.723832e-001
3.570137007570304e-002,-8.742530e-001
3.570309510366389e-002,-8.763683e-001
3.570328968654521e-002,-8.766069e-001
3.570367885230785e-002,-8.770840e-001
3.570445718383315e-002,-8.780383e-001
3.570505407144727e-002,-8.787701e-001
3.570547727341815e-002,-8.792889e-001
3.570578983766113e-002,-8.796720e-001
3.570602379842878e-002,-8.799588e-001
3.570622745463580e-002,-8.802085e-001
