v1	V(input)	V(output)
5.500000000000000e+000	5.500000e+000	5.001402e+000
6.000000000000000e+000	6.000000e+000	5.002978e+000
6.500000000000000e+000	6.500000e+000	5.004554e+000
7.000000000000000e+000	7.000000e+000	5.006130e+000
7.500000000000000e+000	7.500000e+000	5.007706e+000
8.000000000000000e+000	8.000000e+000	5.009282e+000
8.500000000000000e+000	8.500000e+000	5.010858e+000
9.000000000000000e+000	9.000000e+000	5.012434e+000
9.500000000000000e+000	9.500000e+000	5.014010e+000
1.000000000000000e+001	1.000000e+001	5.015586e+000
